Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender
Manoranjan Bhakta,INC,0,Post Graduate,65,5926740,Andaman & Nicobar Islands,272061,1,M
A K Biswas,BSP,0,Graduate,61,7876500,Andaman & Nicobar Islands,65000,0,M
Asit Baran Dutta,IND,0,Graduate,50,3070000,Andaman & Nicobar Islands,0,0,M
Bishnu Pada Ray,BJP,0,Graduate,54,1250619,Andaman & Nicobar Islands,128710,0,M
Deepak Biswas,IND,0,Not Given,28,3000,Andaman & Nicobar Islands,0,0,M
Dr Shanmugam,LJNSP,0,Doctorate,66,6166416,Andaman & Nicobar Islands,67070,0,M
Gour Chandra Majumder,IND,0,Graduate,37,36200,Andaman & Nicobar Islands,0,0,M
K Kalimuthu,IND,1,8th Pass,51,472440,Andaman & Nicobar Islands,73878,0,M
K Perumal,SWD,0,Literate,65,7752141,Andaman & Nicobar Islands,0,0,M
N K P Nair,CPI(ML)(L),0,Literate,49,772588,Andaman & Nicobar Islands,188000,0,M
R S Uma Bharathy,NCP,1,Not Given,40,59977,Andaman & Nicobar Islands,35000,0,M
Tapan Kumar Bepari,CPM,0,Post Graduate,46,2435276,Andaman & Nicobar Islands,0,0,M
Madhusudhan Reddy Thakkala,TRS,0,Graduate Professional,59,7550000,Adilabad,120000,1,M
Dr S Venugopala Chary,TDP,0,Others,42,11580000,Adilabad,1247053,0,M
Mothe Barik Rao,PRBP,0,Graduate,32,,Adilabad,30000,0,M
Nainala Goverdhan,IND,0,Post Graduate,30,,Adilabad,0,0,M
D. Muralikrishna,BSP,0,Others,59,6763811,Amalapuram,748000,0,M
Dunna Janardhana Rao,TDP,0,Graduate,51,988000,Amalapuram,60000,0,M
Muneeswara Rao Bhupati,IND,0,Others,59,236200,Amalapuram,35000,0,M
Yalangi Ramesh,IND,0,Not Given,40,340000,Amalapuram,0,0,M
Chalapathirao Pappala,TDP,0,Graduate,58,5396505,Anakapalli,246000,1,M
Nanda Gopal Gandham,INC,0,Not Given,0,,Anakapalli,0,0,M
Anantha Venkata Rami Reddy,INC,0,Post Graduate,47,3890000,Anantapur,437636,1,M
A. Jagan Mohan Rao,TRS,0,Graduate,32,505000,Anantapur,0,0,M
B. S. Amarnath,IND,0,Graduate,42,33698,Anantapur,0,0,M
Gaddala Nagabhushanam,BSP,0,Graduate,41,97000,Anantapur,9000,0,M
K. Venkatesulu,PPOI,0,12th Pass,44,54000,Anantapur,0,0,M
Kalava Srinivasulu,TDP,0,Post Graduate,39,300320,Anantapur,88000,0,M
Yatham Pothalaiah,IND,0,Not Given,32,120000,Anantapur,0,0,M
Daggubati Purandareswari,INC,0,Others,44,40907640,Bapatla,5212201,1,F
Chellamalla Venkata Reddy,TRS,0,Graduate,0,70000,Bapatla,0,0,M
Daggubati Ramanaidu,TDP,0,Graduate,67,98790428,Bapatla,0,0,M
Inaganti Apparao,IND,0,Others,40,3298000,Bapatla,200000,0,M
Prathipati Srinivasu,IND,0,Graduate,0,,Bapatla,0,0,M
Midiyam Babu Rao,CPM,0,Graduate Professional,52,542000,Bhadrachalam,130000,1,M
Janni Appa Rao,BSP,0,12th Pass,30,100000,Bhadrachalam,0,0,M
Smt.Kprk Phaneeswaramma,TDP,0,Others,39,2941913,Bhadrachalam,42000,0,F
Kondapalli Pydithalli Naidu,TDP,0,Not Given,73,1979000,Bobbili,50000,1,M
G.Venkatesh,TRS,0,Graduate,47,38000,Bobbili,0,0,M
Jhansi Botcha,INC,0,Post Graduate,40,25900500,Bobbili,0,0,F
Peddinti Jaganmohan Rao,IND,0,Others,0,5988503,Bobbili,97000,0,M
D.K. Audikesavulu,TDP,0,Not Given,63,670576468,Chittoor,0,1,M
A.Malla Rao,TRS,0,Others,42,355000,Chittoor,0,0,M
D.A Nagaraju,IND,0,Not Given,46,,Chittoor,0,0,M
Dr. Ravuri Venkata Swamy,INC,0,Graduate,54,11815429,Chittoor,228886,0,M
S.Sahadeva Reddy,IND,0,Post Graduate,31,210000,Chittoor,0,0,M
Shaik Jeelani Basha,IND,0,Not Given,54,,Chittoor,0,0,M
Y.S. Vivekananda Reddy,INC,0,Graduate,51,36227380,Cuddapah,0,1,M
B.Narayana Reddy,RPI,0,Not Given,42,1507000,Cuddapah,27000,0,M
C.Balavarada Reddy,IND,0,Others,39,130000,Cuddapah,0,0,M
C.Gopi Narasimha Reddy,IND,0,Graduate,28,20000,Cuddapah,20000,0,M
G.Ravindranatha Reddy,JP,0,8th Pass,53,1811500,Cuddapah,310000,0,M
Indi Reddy Thimma Reddy,RJD,2,Not Given,38,1150000,Cuddapah,180000,0,M
Kondaboina Sreenivasulu K,PPOI,0,Not Given,35,,Cuddapah,0,0,M
N Bhaskara Reddy,PP,0,Not Given,0,381000,Cuddapah,20000,0,M
O.Subba Reddy,Akhil Bharatiya Jan Sangh,0,Others,54,408000,Cuddapah,30000,0,M
Pechara Venkateshwar Rao,TRS,0,Graduate,36,1250000,Cuddapah,0,0,M
Putha Ramaprasada Reddy,Ambedkar National Congress,0,8th Pass,37,50000,Cuddapah,0,0,M
Sivanatha Reddy Chadipiralla,NTRTDP(LP),3,10th Pass,40,1710000,Cuddapah,86755,0,M
T Bhaskar Reddy,IND,0,10th Pass,49,921500,Cuddapah,200000,0,M
Venkata Mysura Reddy Mule,TDP,1,Others,55,1485000,Cuddapah,0,0,M
Vitta Subba Rao,IND,0,Post Graduate,64,524324,Cuddapah,111900,0,M
Kavuru  Samba Siva Rao,INC,0,Not Given,60,117898221,Eluru,191621,1,M
B.N.V.Satyanarayana,TRS,0,Post Graduate,42,50000,Eluru,1050000,0,M
Bolla Bulli Ramaiah,TDP,0,Others,77,83368069,Eluru,3470256,0,M
D.S.V.Krishnaji,BSP,0,Others,38,3465000,Eluru,0,0,M
Koduri Sriramulu,IND,0,10th Pass,45,3146414,Eluru,142243,0,M
S.V.B.Reddy,IND,0,Others,57,1662000,Eluru,0,0,M
S.V.Subbarao,IND,0,Graduate,44,42927,Eluru,0,0,M
Rayapati  Sambasiva Rao,INC,0,Not Given,61,48198297,Guntur,9889900,1,M
Jupalli Hanumantha Rao Goud,BSP,0,10th Pass,39,1250000,Guntur,0,0,M
Muvva Venkat Rao,IND,0,Post Graduate,72,5890000,Guntur,0,0,M
Venkateswarlu Gundi,TRS,0,Others,38,805000,Guntur,0,0,M
Y. V. Rao,TDP,0,Graduate,71,27826692,Guntur,3977714,0,M
B.Vinod Kumar,TRS,0,Graduate,45,10011716,Hanamkonda,0,1,M
Chada Suresh Reddy,TDP,0,Graduate,45,23665000,Hanamkonda,120000,0,M
Dr.Dharmapur Sampath Rajaram Yadav,IND,0,Others,52,7700000,Hanamkonda,0,0,M
Nizamoddin,INC,0,Graduate,50,1405000,Hindupur,200779,1,M
B. Surender Kumar,TRS,0,Graduate,31,70000,Hindupur,0,0,M
B.K.Pardhasarathi,TDP,0,Graduate,45,4306482,Hindupur,2196288,0,M
Smt Desai Reddy Prabhavathi,IND,0,Not Given,44,570000,Hindupur,0,0,F
Asaduddin Owaisi,AIMIM,3,Graduate Professional,37,3902342,Hyderabad,0,0,M
Bhagwan Das,IND,0,Others,45,102000,Hyderabad,0,0,M
G.Subash Chanderji,BJP,0,Others,51,338000,Hyderabad,0,0,M
Konda Lakshma Reddy,INC,0,Graduate,56,1025000,Hyderabad,0,0,M
Majeedullah Khan @ Farhat Khan,MBT,0,12th Pass,36,700000,Hyderabad,0,0,M
Mohsin-Bin-Hussain Al-Kasari,IND,0,Others,28,4715000,Hyderabad,0,0,M
Salahuddin Ahmed S.K.,IND,0,Not Given,50,946744,Hyderabad,0,0,M
Smt.G.Shobha Rani,BSP,0,Others,41,3900,Hyderabad,250000,0,F
Smt.Varsha Dhawan,PPOI,0,12th Pass,48,,Hyderabad,0,0,M
Syed Gaffar,IND,0,Not Given,40,,Hyderabad,0,0,M
Mudragada Padmanabham,TDP,0,Not Given,0,,Kakinada,0,0,M
Nainalasetti Murthy,CPI(ML)(L),0,Not Given,51,900000,Kakinada,562000,0,M
K. Chandra Shakher Rao,TRS,0,Graduate,51,8598858,Karimnagar,2559507,1,M
Chennamaneni Vidyasagar Rao,BJP,0,Graduate Professional,61,5196600,Karimnagar,0,0,M
Kothapalli Sandri Menayya,BSP,0,Graduate,69,1815000,Karimnagar,400000,0,M
Mamidipalli Gangarajam,IND,0,12th Pass,50,72000,Karimnagar,0,0,M
Renuka Chowdhury,INC,1,Post Graduate,49,136912161,Khammam,300414,0,M
Aruna Chandra,IND,0,Not Given,44,200000,Khammam,0,0,F
Banoth Somla Naik,IND,0,Others,58,4460000,Khammam,306157,0,M
Burra Venkanna,IND,0,5th Pass,39,54000,Khammam,3000,0,M
Nalajala Saroja,PPOI,0,Not Given,46,2685000,Khammam,0,0,F
Nama Nageswara Rao,TDP,0,12th Pass,45,3683000,Khammam,0,0,M
Nama Naik Islavath,IND,0,Others,43,160000,Khammam,0,0,M
Padiga Yerraiah,IND,0,10th Pass,60,238000,Khammam,0,0,M
Pittala Venkata Narasaiah Mudira,MRS,0,10th Pass,49,635000,Khammam,50000,0,M
Kotla Jayasurya Prakasha Reddy,INC,0,Graduate,52,15941801,Kurnool,681000,1,M
Dr. Parameshwar Reddy,PPOI,0,Graduate Professional,36,78000,Kurnool,0,0,M
Giri Nivarthi Rao Yadav,IND,0,Post Graduate,52,4842200,Kurnool,0,0,M
James,IND,0,12th Pass,39,10000,Kurnool,0,0,M
K. V. Krishna Kumar,IND,1,Graduate,26,50000,Kurnool,0,0,M
Kambalapadu Ediga Krishnamurthi,TDP,0,Not Given,65,32496805,Kurnool,18682834,0,M
R. V. Mohana Reddy,JP,0,Graduate,42,235000,Kurnool,0,0,M
Reddipogu David,BSP,0,Not Given,47,537500,Kurnool,720000,0,M
T. Seshaphani,IND,0,12th Pass,34,2000,Kurnool,0,0,M
V. Ravinder Rao,TRS,0,Not Given,35,,Kurnool,0,0,M
Badiga Ramakrishna,INC,0,12th Pass,61,138545000,Machilipatnam,11559000,1,M
Adapala Sivannarayana,PPOI,0,Others,32,298906,Machilipatnam,0,0,M
Ambati Brahmanaiah,TDP,0,Post Graduate,64,1546471,Machilipatnam,168301,0,M
B.S.Rao,TRS,0,Others,42,8200000,Machilipatnam,0,0,M
Dodda Kameswara Rao,IND,0,10th Pass,49,1500000,Machilipatnam,0,0,M
Yenduri Subrahmanyeswara Rao (Mani),IND,0,Others,46,800000,Machilipatnam,0,0,M
D. Vittal Rao,INC,0,Graduate,53,65075830,Mahabubnagar,3000000,1,M
G. Ramchandraiah Yadav,BSP,0,Others,47,182,Mahabubnagar,0,0,M
Mohd. Mazher Hussain,Muslim League Kerala State Committee,0,Not Given,52,,Mahabubnagar,0,0,M
Smt. Gundala Vijaya Lakshmi,PPOI,0,12th Pass,56,50000,Mahabubnagar,0,0,F
Yelkoti Yella Reddy,TDP,0,12th Pass,64,1904000,Mahabubnagar,189910,0,M
A. Narendra,TRS,0,Graduate,49,2020000,Medak,500000,1,M
K. Laxmaiah Yadav,IND,0,Graduate,45,180000,Medak,0,0,M
Md. Ulfathali,IND,0,Not Given,62,200000,Medak,0,0,M
Nalla Suryaprakash,BSP,0,Graduate,43,10000,Medak,0,0,M
P Ramachandra Reddy,BJP,0,Post Graduate,73,6454939,Medak,640392,0,M
P. Jeevula Naik,IND,0,5th Pass,57,2379500,Medak,0,0,M
Jaipal Reddy Sudini,INC,0,Post Graduate,62,12264007,Miryalguda,1546865,1,M
Marry Nehemiah,IND,0,Graduate,50,80000,Miryalguda,0,0,M
Vangala Swamy Goud,TDP,0,Not Given,52,5001067,Miryalguda,1993070,0,M
Varikuppala Venkanna,MCPI(S),0,10th Pass,33,,Miryalguda,0,0,M
Yanala Narsi Reddy,IND,0,12th Pass,37,62000,Miryalguda,0,0,M
Dr.Manda Jagannath,TDP,0,Post Graduate,52,6545314,Nagarkurnool,2339000,1,M
Dr. G.Raghavulu,IND,0,Others,47,135000,Nagarkurnool,170000,0,M
K.S.Ratnam,IND,0,Not Given,46,6897500,Nagarkurnool,506545,0,M
P. Lalaiah,BSP,0,Graduate,60,50000,Nagarkurnool,0,0,M
