Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender
Shri Bishnu Pada Ray,BJP,1,Graduate,59,1241034,Andaman & Nicobar Islands,0,0,M
Shri P. R. Ganeshan,RJD,0,Not Given,71,329563,Andaman & Nicobar Islands,0,0,M
Shri Pradeep Kumar Ekka,JDP,0,Others,37,410000,Andaman & Nicobar Islands,0,0,M
Shri T. Ali,IND,0,12th Pass,37,445957,Andaman & Nicobar Islands,296000,0,M
Shri Tapan Kumar Bepari,CPM,0,Post Graduate,52,3986000,Andaman & Nicobar Islands,0,0,M
Shri Vakiath Valappil Khalid,IND,0,8th Pass,41,57000,Andaman & Nicobar Islands,48362,0,M
Shri. Kuldeep Rai Sharma,INC,1,Graduate Professional,41,5409630,Andaman & Nicobar Islands,10374,0,M
Shri. M. S. Mohan,BSP,0,10th Pass,50,5452500,Andaman & Nicobar Islands,300000,0,M
Shri. N. K. P. Nair,CPI(ML)(L),0,10th Pass,54,1488456,Andaman & Nicobar Islands,62000,0,M
Smti. R. S. Uma Bharathy,NCP,1,Graduate,44,73000,Andaman & Nicobar Islands,0,0,M
Ramesh Rathod,TDP,2,12th Pass,43,3410000,Adilabad,815241,0,M
A Laxman Rao,IND,0,10th Pass,47,1560000,Adilabad,0,0,M
Ade Tukaram,BJP,0,10th Pass,55,865000,Adilabad,370000,0,M
Banka Sahadev,IND,0,Not Given,56,118000,Adilabad,0,0,M
G Pentanna,IND,0,Post Graduate,36,436000,Adilabad,13000,0,M
Kotnak Ramesh,INC,0,12th Pass,39,2600000,Adilabad,0,0,M
Masram Nago Rao,PRAP,0,Post Graduate,59,350000,Adilabad,0,0,M
N Ramdas,IND,0,5th Pass,35,,Adilabad,0,0,M
Rathod Sadashiv Naik,BSP,0,Graduate,50,1150000,Adilabad,0,0,M
G V Harsha Kumar,INC,1,Post Graduate,50,7289000,Amalapuram,1014298,0,M
Akumarthi Suryanarayana,Trilinga Praja Pragati Party,0,5th Pass,50,395000,Amalapuram,0,0,M
Bheemarao Ramji Muthabathula,PPOI,0,10th Pass,39,50000,Amalapuram,0,0,M
Doctor G Varalakshmi,TDP,0,Graduate Professional,51,10853316,Amalapuram,0,0,F
G Sampada Rao,BSP,0,Graduate Professional,39,20000,Amalapuram,0,0,M
K Uma Maheswara Rao,BJP,0,Graduate Professional,65,16079000,Amalapuram,0,0,M
Kiran Kumar Binepe,PBHP,0,Not Given,43,15887,Amalapuram,0,0,M
Masa Ramadasu,RDMP,0,Not Given,45,20000,Amalapuram,0,0,M
P V Chakravarthi,RPI(KH),0,Graduate Professional,54,200000,Amalapuram,0,0,M
Pothula Prameela Devi,PRAP,0,Graduate,55,550000,Amalapuram,0,0,F
Yalangi Ramesh,IND,0,Graduate Professional,45,520000,Amalapuram,0,0,M
Sabbam Hari,INC,0,12th Pass,55,85032286,Anakapalle,450000,1,M
Allu Aravind,PRAP,1,Graduate,62,452181969,Anakapalle,53958644,0,M
Bheemisetti Nageswararao,RJD,0,Post Graduate,41,1120500,Anakapalle,200000,0,M
Boyina Nageswara Rao,JD(U),0,5th Pass,52,500000,Anakapalle,380898,0,M
Kirla Appa Rao,BJP,0,Not Given,57,50000,Anakapalle,0,0,M
Nanda Gopal Gandham,IND,0,Others,60,148180000,Anakapalle,30000000,0,M
Nookarapu Surya Prakasa Rao,TDP,0,Graduate,50,119726600,Anakapalle,0,0,M
Pathala Satya Rao,IND,0,Literate,46,150000,Anakapalle,0,0,M
Pulamarasetti .Venkata Ramana,PPOI,0,Graduate,28,3500,Anakapalle,0,0,M
Venkata Ramana Babu Pilla,BSP,0,10th Pass,35,6046173,Anakapalle,1798837,0,M
Anantha Venkata Rami Reddy,INC,0,Post Graduate,52,13015000,Anantapur,0,1,M
Amarnath,LSP,0,Graduate,32,488500,Anantapur,0,0,M
Ambati Rama Krishna Reddy,BJP,0,Graduate Professional,41,25550000,Anantapur,251000,0,M
Devella Murali,IND,0,5th Pass,45,,Anantapur,0,0,M
G Hari,PPOI,0,Post Graduate,30,80000,Anantapur,0,0,M
Gaddala Nagabhushanam,BSP,2,Post Graduate,48,575000,Anantapur,9000,0,M
J C Ramanujula Reddy,IND,0,8th Pass,52,2543000,Anantapur,0,0,M
K P Narayana Swamy,IND,0,Graduate,41,,Anantapur,0,0,M
Kalava Srinivasulu,TDP,0,Post Graduate,44,4205517,Anantapur,1950000,0,M
Krushnapuram Gayathri Devi,CPI(ML)(L),0,5th Pass,36,1057900,Anantapur,750000,0,F
Mansoor,PRAP,0,10th Pass,56,33790000,Anantapur,0,0,M
T Chandra Sekhar,IND,0,Not Given,30,800000,Anantapur,0,0,M
V. Kishore Chandra Deo,INC,0,Post Graduate,62,247410000,Araku,0,1,M
A Gumpa Swamy,IND,0,Illiterate,60,,Araku,0,0,M
G Balayya Dora,RJD,0,Graduate,38,509264,Araku,0,0,M
Illa Rami Reddy,IND,0,Literate,54,,Araku,0,0,M
Jayalakshmi Sambudu,IND,0,Not Given,39,,Araku,0,0,F
K Appa Rao,IND,0,10th Pass,48,1103000,Araku,0,0,M
Kurusa  Bojjaiah,BJP,0,10th Pass,56,1028805,Araku,0,0,M
Lake Raja Rao,BSP,0,12th Pass,50,350000,Araku,0,0,M
Meenaka Simhachalam,PRAP,0,Graduate,43,2029200,Araku,0,0,M
Midiyam Babu Rao,CPM,0,Graduate Professional,58,707000,Araku,0,0,M
Vadigala Pentayya,LSP,0,Graduate,56,1045000,Araku,780000,0,M
Panabaka Lakshmi,INC,0,Post Graduate,50,16635386,Bapatla,0,1,F
Battula Rosayya,BJP,0,Not Given,52,,Bapatla,0,0,M
Dara Sambaiah,BSP,0,Not Given,62,7170000,Bapatla,698162,0,M
Garikapati Sudhakar,RDMP,0,8th Pass,32,60000,Bapatla,0,0,M
Golla Babu Rao,IND,0,Post Graduate,34,50000,Bapatla,0,0,M
Gorremuchu Chinna Rao,IND,0,5th Pass,42,258000,Bapatla,110985,0,M
Gudipalli Sathya Babuji,IND,0,Graduate,40,3900000,Bapatla,0,0,M
Malyadri Sriram,TDP,0,Post Graduate,55,15870952,Bapatla,0,0,M
Nuthakki Rama Rao,PRAP,0,Post Graduate,61,32825159,Bapatla,0,0,M
Komatireddy Raj Gopal Reddy,INC,0,Graduate,41,194763618,Bhongir,6057899,1,M
Chintha Samba Murthy,BJP,0,Graduate,50,165000,Bhongir,0,0,M
Gandam Chandramouli,PRAP,0,Post Graduate,49,2700000,Bhongir,0,0,M
Mamidigalla John Babu,IND,0,Not Given,40,,Bhongir,0,0,M
Medi Narsimha,IND,0,10th Pass,31,360000,Bhongir,0,0,M
Nomula Narsimhaiah,CPM,3,Post Graduate,53,10247088,Bhongir,0,0,M
Palla Prabhakar Reddy,PPOI,0,Graduate,65,6600000,Bhongir,50000,0,M
Peruku Anjaiah,IND,0,12th Pass,46,570000,Bhongir,0,0,M
Poosa Bala Kishan,IND,0,12th Pass,35,42000,Bhongir,0,0,M
Racha Subhadra Reddy,LSP,0,Graduate,59,2950000,Bhongir,150000,0,F
Rupani Ramesh Vaddera,IND,0,12th Pass,31,160000,Bhongir,0,0,M
Sangu Mallayya,IND,0,Not Given,66,50000,Bhongir,0,0,M
Siddhartha Pooley,BSP,0,Post Graduate,39,110000,Bhongir,0,0,M
Sirupangi Ramulu,IND,1,5th Pass,55,1505000,Bhongir,0,0,M
Sudini Jaipal Reddy,INC,0,Post Graduate,67,56150333,Chevella,2042919,1,M
A.P.Jithender Reddy,TDP,1,Graduate,54,267668583,Chevella,3621000,0,M
Baddam Bal Reddy,BJP,1,12th Pass,64,6343740,Chevella,0,0,M
C. Srinivasa Rao,BSP,0,Post Graduate,39,1005000,Chevella,0,0,M
Dasari Sarala Devi,MCPI(S),1,Not Given,39,530000,Chevella,15000,0,M
Dr. Raghuveera Reddy,LSP,0,Graduate Professional,42,8150000,Chevella,700000,0,M
Eedagi Laxminarayana,IND,0,10th Pass,27,50000,Chevella,0,0,M
G.Mallesham Goud,IND,0,Graduate,32,400000,Chevella,0,0,M
Kasani Gyaneshwar,MANP,0,8th Pass,54,455121661,Chevella,0,0,M
Kummari Giri,PPOI,0,Not Given,28,,Chevella,0,0,M
Rameshwaram Jangaiah,IND,0,Not Given,52,130000,Chevella,0,0,M
S. Malla Reddy,IND,0,5th Pass,43,2823736,Chevella,0,0,M
Sama Srinivasulu,GRIP,0,10th Pass,34,,Chevella,0,0,M
Sayamollu Narsimulu,IND,0,10th Pass,30,,Chevella,0,0,M
Venkatram Nayak,IND,0,Graduate,34,1283750,Chevella,0,0,M
Naramalli Sivaprasad,TDP,0,Graduate Professional,57,6011000,Chittoor,0,1,M
A. Amarnadh,RKSP,0,Not Given,37,,Chittoor,0,0,M
B.Sivakumar,BJP,0,10th Pass,40,1549643,Chittoor,60000,0,M
G. Venkatachalam,LSP,0,Post Graduate,29,250000,Chittoor,115000,0,M
Jayaram Duggani,BSP,0,12th Pass,60,315000,Chittoor,0,0,M
Talari Manohar,PRAP,0,Post Graduate,54,4943512,Chittoor,2613277,0,M
Thippeswamy M,INC,1,Graduate Professional,55,4014000,Chittoor,500000,0,M
Kavuri Sambasiva Rao,INC,0,Graduate Professional,66,126050111,Eluru,945674,1,M
Dodda Kameswara Rao,IND,0,10th Pass,54,2010000,Eluru,0,0,M
Dowluri Govardhan,IND,1,5th Pass,32,33227,Eluru,15000,0,M
Kasi Naidu Kammili,IND,0,10th Pass,39,60000,Eluru,0,0,M
Kolusu Peda Reddaiah Yadav,PRAP,0,Graduate Professional,67,79364590,Eluru,190000,0,M
Maganti Venkateswara Rao(Babu),TDP,0,12th Pass,49,64298108,Eluru,1253750,0,M
Pillelli Sunil,BSP,0,Not Given,35,,Eluru,0,0,M
Savanapudi Nagaraju,MCPI(S),0,Not Given,48,600,Eluru,0,0,M
Siriki Srinivas,RDMP,0,Post Graduate,32,5000,Eluru,0,0,M
Tanuku Sekhar,IND,0,8th Pass,45,70600,Eluru,0,0,M
Y.V.S.V. Prasada Rao (Yerneni Prasada Rao),PPOI,0,Graduate,61,4315000,Eluru,373750,0,M
Sambasiva Rao Rayapati,INC,3,Graduate,65,147143582,Guntur,45204329,0,M
Amanulla Khan,LSP,0,Literate,37,90000,Guntur,0,0,M
Kommanaboina Lakshmaiah,RDHP,0,Not Given,39,222400,Guntur,0,0,M
Mallela Babu Rao,BSP,0,Post Graduate,61,15880237,Guntur,3133480,0,M
Srinivasa Rao Thotakura,Ajeya Bharat Party,0,Graduate Professional,34,,Guntur,0,0,M
Thota Chandra Sekhar,PRAP,0,Doctorate,47,39150000,Guntur,1500000,0,M
Velagapudi Lakshmana Rao,PPOI,0,10th Pass,59,17792174,Guntur,0,0,M
Yadlapati Swaruparani,BJP,0,Graduate,51,69021000,Guntur,1450000,0,F
Yarrakula Tulasi Ram Yadav,SP,0,Not Given,30,200000,Guntur,0,0,M
Kristappa Nimmala,TDP,0,Graduate,52,15917465,Hindupur,1216390,1,M
B. Nagabhushana Rao,IND,0,Graduate,76,4547188,Hindupur,335000,0,M
K. Jakeer,IND,0,8th Pass,40,80000,Hindupur,0,0,M
Kadapala Sreekantha Reddy,PRAP,0,Post Graduate,56,66073943,Hindupur,1484577,0,M
M Sreeramulu,BSP,0,Post Graduate,30,200000,Hindupur,0,0,M
Naresh Kumar,BJP,0,10th Pass,45,69665000,Hindupur,3600000,0,M
Niranjan Babu. K,LSP,0,Graduate Professional,30,20000,Hindupur,0,0,M
P Khasim Khan,INC,0,Graduate,53,5190960,Hindupur,2432826,0,M
P. Prasad,IND,0,Graduate Professional,32,280000,Hindupur,0,0,M
S. Muskin Vali,PPOI,0,Not Given,26,50000,Hindupur,0,0,M
Asaduddin Owaisi,AIMIM,4,Graduate Professional,41,9302233,Hyderabad,0,0,M
A. Fatima,PRAP,0,Graduate Professional,41,37000,Hyderabad,0,0,F
Altaf Ahmed Khan,IND,0,10th Pass,43,240000,Hyderabad,0,0,M
B.Ravi Yadav,IND,0,Graduate,33,1690187,Hyderabad,620000,0,M
D.Sadanand,IND,0,8th Pass,45,471500,Hyderabad,0,0,M
D.Surender,TNPP,0,8th Pass,36,1055000,Hyderabad,0,0,M
M.A.Basith,IND,0,10th Pass,55,300000,Hyderabad,0,0,M
M.A.Quddus Ghori,IND,1,Not Given,43,30000,Hyderabad,0,0,M
M.A.Sattar,IND,2,10th Pass,29,35000,Hyderabad,0,0,M
Ma Habeeb,IND,0,10th Pass,33,10000,Hyderabad,0,0,M
Md.Osman,IND,0,Illiterate,45,25000,Hyderabad,0,0,M
Moullim Mohsin Bin Hussain Al Kasary,IND,0,Graduate,33,13630000,Hyderabad,0,0,M
N.L.Srinivas,IND,0,12th Pass,31,197000,Hyderabad,0,0,M
P. Laxman Rao Goud,INC,0,12th Pass,55,18530669,Hyderabad,2000000,0,M
P.Venkateswara Rao,PPOI,0,Post Graduate,58,1978000,Hyderabad,600000,0,M
S. Gopal Singh,Akhil Bharatiya Jan Sangh,1,5th Pass,34,,Hyderabad,0,0,M
Samy Mohammed,BSP,0,Post Graduate,29,306000,Hyderabad,0,0,M
Sardar Singh,IND,0,8th Pass,62,731000,Hyderabad,168000,0,M
Satish Agarwal,BJP,0,Graduate,38,10695500,Hyderabad,4921846,0,M
Syed Abdul Gaffer,IND,0,8th Pass,51,20000,Hyderabad,0,0,M
Taher Kamal Khundmiri,JD(S),0,Not Given,52,10000,Hyderabad,0,0,M
Zahid Ali Khan,IND,0,10th Pass,26,65000,Hyderabad,0,0,M
Zahid Ali Khan,TDP,7,Graduate,66,96194429,Hyderabad,1144670,0,M
Y.S. Jagan Mohan Reddy,INC,0,Graduate,36,728151658,Kadapa,66396966,1,M
C Gopi Narasimha Reddy,JD(U),0,12th Pass,31,1356400,Kadapa,510000,0,M
C Sivanarayana Reddy,IND,0,Others,39,2429000,Kadapa,0,0,M
Dr. Khaleel Basha,PRAP,0,Graduate Professional,60,1990356,Kadapa,310743,0,M
G Prasanna Kumar,LSP,0,Post Graduate,55,32454000,Kadapa,0,0,M
G Rama Subba Reddy,PPOI,0,Others,57,3950000,Kadapa,950000,0,M
J Muni Reddy,BSP,1,12th Pass,31,747000,Kadapa,0,0,M
J Subbarayudu,IND,0,5th Pass,51,15000,Kadapa,0,0,M
K Chinnapa Reddy,Bharatiya Jan Shakti,0,10th Pass,41,346867,Kadapa,0,0,M
K Sainath Sarma,RDHP,2,12th Pass,38,268000,Kadapa,0,0,M
K Venkata Subba Reddy,RRS,0,5th Pass,42,2570000,Kadapa,0,0,M
N Kishore Kumar Reddy,JD(S),3,Others,32,1152000,Kadapa,400000,0,M
Palem Srikanth Reddy,TDP,0,Post Graduate,46,283709255,Kadapa,45000000,0,M
S Ali Sher,IND,0,10th Pass,47,6707300,Kadapa,1500,0,M
S Raja,IND,0,12th Pass,46,335000,Kadapa,0,0,M
V Narendra,IND,0,Graduate,39,174000,Kadapa,0,0,M
Vangala Shashi Bhushan Reddy,BJP,0,Others,38,164000,Kadapa,27000,0,M
Y Ramesh Reddy,IND,1,Not Given,35,5114000,Kadapa,0,0,M
Y Shekara Reddy,RPI(A),1,8th Pass,47,830000,Kadapa,50000,0,M
Vijaya Shanthi .M,TRS,0,10th Pass,43,271066905,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M
D.Yadeshwar,BSP(AP),0,Graduate,46,110000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M
K. Sudheer Reddy,LSP,0,Post Graduate,37,3810013,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M
Khaja Quayum Anwar Md.,PRAP,0,Graduate Professional,45,5290000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M
Kovuri Prabhakar,PPOI,0,Not Given,51,824000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M
Kundeti Ravi,IND,0,Post Graduate,32,226586,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M
Narendranath Chaganla,INC,0,12th Pass,45,562290014,KADAPA :BYE- ELECTION ON 08-05-2011,8977996,0,M
P. Niroop Reddy,BJP,0,Post Graduate,50,22746000,KADAPA :BYE- ELECTION ON 08-05-2011,1490000,0,M
Y.Shankar Goud,BSP,0,Post Graduate,44,3336000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M
M M Pallamraju,INC,0,Post Graduate,46,65589882,Kakinada,1112763,1,M
Akay Suryanarayana,IND,0,8th Pass,50,,Kakinada,0,0,M
Aluri Vijaya Lakhsmi,LSP,0,Post Graduate,64,25098100,Kakinada,0,0,F
Badampudi Baburao,IND,1,5th Pass,51,,Kakinada,0,0,M
Bikkina Visweswara Rao,BJP,0,Graduate Professional,34,8740000,Kakinada,952000,0,M
Bugatha Bangarrao,CPI(ML)(L),7,10th Pass,48,230560,Kakinada,0,0,M
C Surya Narayana Murthy,IND,0,Others,44,45300,Kakinada,0,0,M
Chalamalasetty Sunil,PRAP,0,Post Graduate,39,109877965,Kakinada,0,0,M
Danam Lazar Babu,IND,0,Graduate Professional,42,710000,Kakinada,400000,0,M
Dommeti Sudhakar,BSP,0,Post Graduate,51,1060000,Kakinada,70000,0,M
Gali Satyavathi,RPI,0,Not Given,40,120000,Kakinada,0,0,F
Gidla Simhachalam,RDMP,0,Graduate Professional,50,,Kakinada,0,0,M
K Udaya Kumar,TNPP,1,Graduate Professional,36,430000,Kakinada,0,0,M
N Pallam Raju,Ajeya Bharat Party,0,Graduate,52,4325000,Kakinada,500000,0,M
Namala Satyanarayana,RDHP,0,Graduate Professional,45,560000,Kakinada,0,0,M
Vasamsetty Satya,TDP,0,Graduate,44,24485000,Kakinada,5500000,0,M
Ponnam Prabhakar,INC,0,Graduate Professional,41,1287000,Karimnagar,0,1,M
Balla Suresh,IND,0,5th Pass,32,2000,Karimnagar,0,0,M
Barige Gattaiah Yadav,IND,0,Not Given,32,,Karimnagar,0,0,M
Ch. Janga Reddy,BJP,1,12th Pass,75,30128100,Karimnagar,18630,0,M
Gaddam Raji Reddy,IND,0,Not Given,48,1030000,Karimnagar,0,0,M
Kandem Prabhakar,IND,0,10th Pass,44,1700000,Karimnagar,0,0,M
Korivi Venugopal,IND,0,Graduate Professional,47,410000,Karimnagar,0,0,M
Lingampalli Srinivas Reddy,MCPI(S),0,10th Pass,39,75520,Karimnagar,0,0,M
Panakanti Satish Kumar,IND,0,Graduate Professional,46,181357,Karimnagar,138666,0,M
Peddi Ravinder,IND,0,Post Graduate,29,95000,Karimnagar,0,0,M
Ragula Ramulu,RPI(A),0,5th Pass,41,1500000,Karimnagar,0,0,M
T. Srimannarayana,PPOI,0,12th Pass,68,2115000,Karimnagar,0,0,M
Velichala Rajendar Rao,PRAP,0,Post Graduate,46,22730000,Karimnagar,0,0,M
Vinod Kumar Boinapally,TRS,0,Graduate Professional,49,50776910,Karimnagar,118258,0,M
Viresham Nalimela,BSP,0,Graduate Professional,58,37880000,Karimnagar,1276000,0,M
Nama Nageswara Rao,TDP,0,12th Pass,50,1737508117,Khammam,0,1,M
Avula Venkateswarlu,IND,2,Graduate,45,100000,Khammam,0,0,M
Banoth Laxma Naik,IND,0,10th Pass,52,500000,Khammam,0,0,M
Chanda Lingaiah,IND,0,Graduate,58,1735000,Khammam,0,0,M
Danda Lingaiah,IND,0,Not Given,59,530000,Khammam,0,0,M
Jalagam Hemamalini,PRAP,0,Graduate,40,1999000,Khammam,200000,0,F
Jupelli Satyanarayana,LSP,0,Post Graduate,62,1045000,Khammam,0,0,M
K. Ravinder,BJP,0,Graduate,45,2189000,Khammam,890000,0,M
M Raghuram Prasad,PPOI,0,Not Given,55,7280000,Khammam,24000,0,M
Mallavarapu Jeremaih,IND,0,Graduate Professional,63,46458000,Khammam,101000,0,M
Renuka Chowdhury,INC,1,Post Graduate,54,381527458,Khammam,0,0,M
Shaik Mader Saheb,TNPP,2,10th Pass,40,,Khammam,0,0,M
T Venkateswar Rao,BSP,0,Graduate,47,762000,Khammam,65000,0,M
Kotla Jaya Surya Prakash Reddy,INC,0,Graduate,57,53719195,Kurnool,3034000,1,M
B.T.Naidu,TDP,0,Post Graduate,36,5545000,Kurnool,350000,0,M
Dr.Dandiya Khaja Peera,PRAP,0,Graduate Professional,55,9830500,Kurnool,400000,0,M
Ravi Subramanyam K.A.,BJP,0,Graduate Professional,39,3150000,Kurnool,0,0,M
Konakalla Narayana Rao,TDP,0,12th Pass,59,8616000,Machilipatnam,3787000,1,M
Bhogadi Ramadevi,BJP,0,Not Given,56,1986000,Machilipatnam,70000,0,F
C Rama Lingeswara Rao,BSP,0,Others,33,250000,Machilipatnam,0,0,M
C Ramachandriaiah,PRAP,1,Graduate,60,50157255,Machilipatnam,9540751,0,M
K Vara Lakhsmi,PPOI,0,Literate,59,2030000,Machilipatnam,0,0,M
Koppula Venkateswara Rao,LSP,0,Not Given,45,,Machilipatnam,0,0,M
Ramakrishna Badiga,INC,0,12th Pass,66,225047000,Machilipatnam,3627000,0,M
Y Subramanyeswara Rao (Mani),IND,0,10th Pass,50,502000,Machilipatnam,0,0,M
P. Balram,INC,0,Graduate,45,17195194,Mahabubabad,14122000,1,M
B. Dilip,BJP,0,Graduate,35,11545000,Mahabubabad,8102375,0,M
Banoth Molchand,LSP,0,12th Pass,60,1010000,Mahabubabad,0,0,M
D.T. Naik,PRAP,0,Graduate Professional,61,61928000,Mahabubabad,20000000,0,M
Datla Nageswar Rao,IND,0,Graduate Professional,42,2700000,Mahabubabad,300000,0,M
Gummadi Pullaiah,BSP,0,Graduate,58,400000,Mahabubabad,0,0,M
Kalthi Veeraswamy,IND,0,8th Pass,52,125000,Mahabubabad,0,0,M
Kechela Ranga Reddy,IND,0,Not Given,44,600000,Mahabubabad,0,0,M
Kunja Srinivasa Rao,CPI,1,Graduate,32,310500,Mahabubabad,50000,0,M
P Satyanarayana,IND,0,12th Pass,32,622000,Mahabubabad,0,0,M
Padiga Yerraiah,IND,0,Not Given,64,,Mahabubabad,0,0,M
Podem Sammaiah,PPOI,0,Post Graduate,31,10000,Mahabubabad,0,0,M
K. Chandrasekhara Rao,TRS,2,Graduate,55,22669420,Mahbubnagar,0,0,M
Abdul Kareem Khaja Mohammad,LSP,0,Graduate,50,,Mahbubnagar,0,0,M
Asirvadam,GRIP,0,Post Graduate,35,,Mahbubnagar,0,0,M
B. Balraju Goud,MANP,0,10th Pass,44,97743082,Mahbubnagar,39780111,0,M
D.Dasaratha Ramulu,IND,0,12th Pass,31,,Mahbubnagar,0,0,M
Depally Maisaiah,IND,0,10th Pass,27,,Mahbubnagar,0,0,M
Depally Sayanna,IND,0,Not Given,47,,Mahbubnagar,0,0,M
G.Vijayalaxmi,PPOI,0,Not Given,61,105000,Mahbubnagar,0,0,F
Gajju Pedda Narsimhulu,IND,0,Not Given,35,,Mahbubnagar,0,0,M
Gangapuri Ravinder Goud,IND,0,Not Given,28,,Mahbubnagar,0,0,M
K Yadagiri Reddy,BJP,4,Graduate,51,4100000,Mahbubnagar,0,0,M
K.Venkatesh,TNPP,0,Graduate,37,250000,Mahbubnagar,100000,0,M
Kanduri Narsimhulu,IND,0,Not Given,52,,Mahbubnagar,0,0,M
Kanduru Kurmaiah,IND,0,Not Given,56,,Mahbubnagar,0,0,M
Karre Jangaiah,IND,0,10th Pass,29,,Mahbubnagar,0,0,M
Kothur Nagender Reddy,IND,0,Not Given,50,350000,Mahbubnagar,16000,0,M
Laxmamma,IND,0,Not Given,30,,Mahbubnagar,0,0,F
M.A.Jabbar,IND,0,Not Given,39,,Mahbubnagar,0,0,M
Mala Jangilamma,IND,0,Not Given,50,,Mahbubnagar,0,0,F
Mohammad Ghouse Mohinuddin,IND,0,Not Given,76,40,Mahbubnagar,0,0,M
Muniswamy C.R,Samajwadi Janata Party (Rashtriya),0,Not Given,32,,Mahbubnagar,0,0,M
Palem Sudharshan Goud,BSP,0,Not Given,41,120000,Mahbubnagar,0,0,M
Pandu,IND,0,Not Given,29,,Mahbubnagar,0,0,M
Rajesh Naik,IND,0,10th Pass,30,17000,Mahbubnagar,0,0,M
Ramadasu,IND,0,10th Pass,41,9000,Mahbubnagar,0,0,M
Rangamma,IND,0,Not Given,50,,Mahbubnagar,0,0,M
Sathyamma,IND,0,Illiterate,32,,Mahbubnagar,0,0,F
V.Venkateshwarlu,IND,0,12th Pass,32,,Mahbubnagar,0,0,M
Vittal Rao D,INC,1,Graduate,57,60409958,Mahbubnagar,4500000,0,M
Yetti Chinna Venkaiah,IND,0,Not Given,47,,Mahbubnagar,0,0,M
Yetty Lingaiah,IND,0,Not Given,52,,Mahbubnagar,0,0,M
Sarvey Satyanarayana,INC,1,Graduate Professional,54,10112521,Malkajgiri,116848,0,M
Bheem Sen,TDP,0,Graduate Professional,60,2856116,Malkajgiri,0,0,M
C Francis Mjf,SP,0,Graduate,57,60000,Malkajgiri,0,0,M
C Venkata Subba Rao,IND,0,Graduate,52,1855000,Malkajgiri,810355,0,M
Dr.Lavu Rathaiah,LSP,1,Doctorate,56,155460261,Malkajgiri,57975695,0,M
Indrasena Reddy,BJP,0,Post Graduate,56,24115000,Malkajgiri,235000,0,M
J Bhaskar,IND,0,Not Given,34,,Malkajgiri,0,0,M
K Bhojraj,IND,1,Not Given,35,,Malkajgiri,0,0,M
K Srinivasa Raju,IND,0,Graduate,44,2580000,Malkajgiri,1284000,0,M
Kante Kanakaiah Ganagaputra,IND,0,Graduate,63,9148383,Malkajgiri,1404,0,M
Lt.Col.(Retd) Duserla Paparaidu,IND,0,Post Graduate,62,12500000,Malkajgiri,600000,0,M
M Babu Rao,BSP,2,12th Pass,52,14100000,Malkajgiri,1115000,0,M
Md Mansoor Ali,IND,0,12th Pass,31,150000,Malkajgiri,0,0,M
N V Rama Reddy,PPOI,0,10th Pass,54,36650006,Malkajgiri,96384,0,M
Narendar Kumbala,BPD,0,Post Graduate,39,120000,Malkajgiri,0,0,M
P Ramakrishna,RKSP,0,Not Given,42,,Malkajgiri,2100000,0,M
S D Krishnamurthy,TNPP,0,Post Graduate,51,1430000,Malkajgiri,0,0,M
S.Victor,IND,0,10th Pass,40,882000,Malkajgiri,0,0,M
Thulla Devender Goud,PRAP,0,Graduate,56,352257953,Malkajgiri,0,0,M
Vijaya Shanthi .M,TRS,0,10th Pass,43,271066905,Medak,0,1,F
D.Yadeshwar,BSP(AP),0,Graduate,46,110000,Medak,0,0,M
K. Sudheer Reddy,LSP,0,Post Graduate,37,3810013,Medak,0,0,M
Khaja Quayum Anwar Md.,PRAP,0,Graduate Professional,45,5290000,Medak,0,0,M
Kovuri Prabhakar,PPOI,0,Not Given,51,824000,Medak,0,0,M
Kundeti Ravi,IND,0,Post Graduate,32,226586,Medak,0,0,M
Narendranath Chaganla,INC,0,12th Pass,45,562290014,Medak,8977996,0,M
P. Niroop Reddy,BJP,0,Post Graduate,50,22746000,Medak,1490000,0,M
Y.Shankar Goud,BSP,0,Post Graduate,44,3336000,Medak,0,0,M
Dr. Manda Jagannath,INC,0,Post Graduate,57,28126000,Nagarkurnool,3123000,1,M
A.V.Shiva Kumar,IND,0,10th Pass,42,500000,Nagarkurnool,180000,0,M
A.Venkatesh,IND,0,12th Pass,27,,Nagarkurnool,0,0,M
Devani Satyanarayana,PRAP,3,Not Given,38,395000,Nagarkurnool,200000,0,M
G. Vidyasagar,LSP,0,Graduate,60,1011000,Nagarkurnool,0,0,M
Guvvala Balaraj,TRS,0,Graduate Professional,31,22769600,Nagarkurnool,9560000,0,M
Hanumanthu,IND,0,10th Pass,28,1563000,Nagarkurnool,23000,0,M
N.Kurumaiah,IND,0,Not Given,27,,Nagarkurnool,0,0,M
S.P.Ferry Roy,IND,0,Graduate,27,210000,Nagarkurnool,0,0,M
Sirigiri Mannem,IND,0,Graduate,36,250000,Nagarkurnool,0,0,M
