Rank,Country,GDP(in US$),GDP (abbrev.),GDP growth %,Population (2017),GDP per capita(in US$),Share of World GDP %
28,Norway,399488897844,$399 billion,1.92,5296326,75428,0.49
29,United Arab Emirates,382575085092,$383 billion,0.79,9487203,40325,0.47
30,Nigeria,375745486521,$376 billion,0.81,190873244,1969,0.46
31,Israel,353268411919,$353 billion,3.33,8243848,42852,0.44
32,South Africa,348871647960,$349 billion,1.32,57009756,6120,0.43
33,Hong Kong,341449340451,$341 billion,3.79,7306322,46733,0.42
34,Ireland,331430014003,$331 billion,7.80,4753279,69727,0.41
35,Denmark,329865537183,$330 billion,2.24,5732274,57545,0.41
36,Singapore,323907234412,$324 billion,3.62,5708041,56746,0.40
37,Malaysia,314710259511,$315 billion,5.90,31104646,10118,0.39
38,Colombia,314457601860,$314 billion,1.79,48909839,6429,0.39
39,Philippines,313595208737,$314 billion,6.68,105172925,2982,0.39
40,Pakistan,304951818494,$305 billion,5.70,207906209,1467,0.38
41,Chile,277075944402,$277 billion,1.49,18470439,15001,0.34
42,Finland,252301837573,$252 billion,2.63,5511371,45778,0.31
43,Bangladesh,249723862487,$250 billion,7.28,159685424,1564,0.31
44,Egypt,235369129338,$235 billion,4.18,96442591,2441,0.29
45,Vietnam,223779865815,$224 billion,6.81,94600648,2366,0.28
46,Portugal,219308128887,$219 billion,2.68,10288527,21316,0.27
47,Czech Republic (Czechia),215913545038,$216 billion,4.29,10641034,20291,0.27
48,Romania,211883923504,$212 billion,7.26,19653969,10781,0.26
49,Peru,211389272242,$211 billion,2.53,31444298,6723,0.26
50,New Zealand,204139049909,$204 billion,3.03,4702034,43415,0.25
51,Greece,203085551429,$203 billion,1.35,10569450,19214,0.25
52,Iraq,192060810811,$192 billion,-2.07,37552781,5114,0.24
53,Algeria,167555280113,$168 billion,1.60,41389189,4048,0.21
54,Qatar,166928571429,$167 billion,1.58,2724728,61264,0.21
55,Kazakhstan,162886867832,$163 billion,4.10,18080019,9009,0.20
56,Hungary,139761138103,$140 billion,3.99,9729823,14364,0.17
57,Angola,122123822334,$122 billion,-0.15,29816766,4096,0.15
58,Kuwait,120126277613,$120 billion,-2.87,4056099,29616,0.15
59,Sudan,117487857143,$117 billion,4.28,40813397,2879,0.15
60,Ukraine,112154185121,$112 billion,2.52,44487709,2521,0.14
61,Morocco,109708728849,$110 billion,4.09,35581255,3083,0.14
62,Ecuador,104295862000,$104 billion,2.37,16785361,6214,0.13
63,Cuba,96851000000,$96.85 billion,1.78,11339254,8541,0.12
64,Slovakia,95617670260,$95.62 billion,3.40,5447900,17551,0.12
65,Sri Lanka,87357205923,$87.36 billion,3.31,21128032,4135,0.11
66,Ethiopia,80561496134,$80.56 billion,10.25,106399924,757,0.10
67,Kenya,79263075749,$79.26 billion,4.87,50221142,1578,0.10
68,Dominican Republic,75931656815,$75.93 billion,4.55,10513104,7223,0.09
69,Guatemala,75620095538,$75.62 billion,2.76,16914970,4471,0.09
70,Oman,70783875163,$70.78 billion,-0.27,4665928,15170,0.09
71,Myanmar,67068745521,$67.07 billion,6.76,53382523,1256,0.08
72,Luxembourg,62316359824,$62.32 billion,2.30,591910,105280,0.08
73,Panama,62283756584,$62.28 billion,5.32,4106769,15166,0.08
