position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
17	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	5uDWpt4S_i4	2020-04-01T02:37:27Z	2020-04-01 02:37:27	LibreOffice Calc - Vlookup	LibreOffice Calc FREE Spreadsheet software with all the capabilities of Excel and Google Sheets	27	Education	PT2M33S	153	2d	hd	false		1	616	18	0	0	1
18	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	di-PmhoaqpM	2020-03-31T18:00:12Z	2020-03-31 18:00:12	Hypothesis Test for Mean µ	Statistics Lecture Hypothesis Testing	27	Education	PT17M22S	1042	2d	hd	false	https://i.ytimg.com/vi/di-PmhoaqpM/maxresdefault.jpg	1	316	8	0	0	1
19	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	n-diG3WnBQc	2020-03-25T17:05:17Z	2020-03-25 17:05:17	Hypothesis Test for Proportion	Hypothesis Test for Proportion with two examples.	27	Education	PT14M11S	851	2d	hd	false	https://i.ytimg.com/vi/n-diG3WnBQc/maxresdefault.jpg	1	379	10	0	0	1
20	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	-tQDr4kzAGY	2020-03-24T04:00:02Z	2020-03-24 04:00:02	RStudio Cloud - upload data set	Rstudio cloud file upload	27	Education	PT2M57S	177	2d	hd	false	https://i.ytimg.com/vi/-tQDr4kzAGY/maxresdefault.jpg	1	387	8	0	0	1
21	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	cbPMN_8tZgk	2020-03-19T18:30:32Z	2020-03-19 18:30:32	Intro to Hypothesis Testing (Part 1)	Hypothesis Test: a method or procedure that uses sample data to decide between two competing, mutually exclusive claims or hypotheses	27	Education	PT5M57S	357	2d	hd	false	https://i.ytimg.com/vi/cbPMN_8tZgk/maxresdefault.jpg	1	574	16	0	0	2
22	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	FacGfXQw4xU	2020-03-19T18:30:31Z	2020-03-19 18:30:31	Intro to Hypothesis Testing (part 2)	Hypothesis Testing Example: To determine whether the pipe welds in a nuclear powerplant meet specifications, a random sample of welds is selected and strength tests conducted on each weld in the sample. Specifications require that the mean weld strength at the plant exceed 100 lb/in2.	27	Education	PT6M35S	395	2d	hd	false	https://i.ytimg.com/vi/FacGfXQw4xU/maxresdefault.jpg	1	352	9	0	0	0
23	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	j-OYiURm4MA	2020-03-19T18:30:31Z	2020-03-19 18:30:31	Intro to Hypothesis Testing (part 3)	Hypothesis Test Errors: TYPE 1 Error: the error of Rejecting Ho when Ho is True. Discovering something that is really not there. P(TYPE 1 Error) = α α is set by the researcher at the very outset of the study α is called the “significance level” or “level of significance” of the test Typical choices for α are 0.10, 0.05, 0.01 TYPE 2 Error: the error of Failing to Reject Ho when Ho is False. No action taken when there should have been action. P(TYPE 2 Error) = β β is not controlled directly 1 – β = Power of Hypothesis Test	27	Education	PT12M52S	772	2d	hd	false	https://i.ytimg.com/vi/j-OYiURm4MA/maxresdefault.jpg	1	322	13	1	0	3
24	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	nXIzNAa4mFo	2020-03-18T17:56:55Z	2020-03-18 17:56:55	Create Training and Test data in R	Learn how to randomize, shuffle, and split raw data up into training and test data sets before you run you machine learning algorithms. Holdout method	27	Education	PT11M26S	686	2d	hd	false	https://i.ytimg.com/vi/nXIzNAa4mFo/maxresdefault.jpg	1	1216	36	0	0	3
25	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	GKdv76N5IHY	2020-03-18T17:56:48Z	2020-03-18 17:56:48	Drop Levels for Factors in R	Learn how to create a factor vector from a character vector and update the levels of the factor, including droplevels.	27	Education	PT8M20S	500	2d	hd	false	https://i.ytimg.com/vi/GKdv76N5IHY/maxresdefault.jpg	1	547	11	0	0	0
26	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	f42KEUzfuP0	2019-12-19T21:00:36Z	2019-12-19 21:00:36	Final Grade Computation - (Professor, what's my grade?)	Students ask me what they need to score on the Final Exam in order to get a certain letter grade for a class. Here is a tutorial that'll show you how to get this value using Goal Seek in Excel.	27	Education	PT7M46S	466	2d	hd	false	https://i.ytimg.com/vi/f42KEUzfuP0/maxresdefault.jpg	1	332	7	1	0	0
27	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	mJ9ZT00qDFA	2019-12-19T21:00:31Z	2019-12-19 21:00:31	Excel - Transpose Array Function	transpose an array of cells in excel with this array function shift + control + enter	27	Education	PT3M17S	197	2d	hd	false	https://i.ytimg.com/vi/mJ9ZT00qDFA/maxresdefault.jpg	1	140	3	0	0	0
