position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
11	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	ClWbEfSov1Y	2020-07-01T17:49:57Z	2020-07-01 17:49:57	What is Type 1 and Type 2 Errors	#What is #Type1 and #Type2 #Errors? Trainer: https://in.linkedin.com/in/ashokveda Watch above video to understand What is Type 1 and Type 2 Errors? DataMites is providing global valid data science courses. If you wants to be certified data scientist, then Join Datamites data science program, For Classroom training details visit: Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/ For Online training details visit: https://datamites.com/data-science-online-courses-training/ #DataScience #MachineLearning	27	Education	PT4M27S	267	2d	hd	false	https://i.ytimg.com/vi/ClWbEfSov1Y/maxresdefault.jpg		166	12	0	0	0
12	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	gQqujyGwfAY	2020-06-24T13:00:37Z	2020-06-24 13:00:37	AI Pest Monitoring - DataMites AI Internship Projects	AI Pest Monitoring - DataMites AI Internship Projects	27	Education	PT1M12S	72	2d	hd	false	https://i.ytimg.com/vi/gQqujyGwfAY/maxresdefault.jpg		210	11	0	0	0
13	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	jRQiOLqVinw	2020-06-24T12:59:38Z	2020-06-24 12:59:38	AI Nutritional Analyzer - DataMites AI Internship Projects	AI Nutritional Analyzer - DataMites AI Internship Projects	27	Education	PT7M16S	436	2d	hd	false	https://i.ytimg.com/vi/jRQiOLqVinw/maxresdefault.jpg		159	10	0	0	2
14	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	r7y7ouNJrAw	2020-06-24T12:58:40Z	2020-06-24 12:58:40	AI Workforce Management - Data Science Internship Projects	AI Workforce Management - Data Science Internship Projects #DataMites #Internship #Projects	27	Education	PT1M51S	111	2d	hd	false	https://i.ytimg.com/vi/r7y7ouNJrAw/maxresdefault.jpg		154	12	1	0	2
15	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	1QDHtySB0Mc	2020-06-05T10:46:08Z	2020-06-05 10:46:08	Whats is ADAM Optimiser?	#What is #ADAM Optimiser? Trainer: https://in.linkedin.com/in/ashokveda Watch above video to understand Whats is ADAM Optimiser? DataMites is providing global valid data science courses. If you wants to be certified data scientist, then Join Datamites data science program, For Classroom training details visit: https://datamites.com/data-science-course-training-bangalore/ For Online training details visit: https://datamites.com/data-science-online-courses-training/ #DataScience	27	Education	PT1M52S	112	2d	hd	false	https://i.ytimg.com/vi/1QDHtySB0Mc/maxresdefault.jpg		499	18	3	0	0
16	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	Le-dlfWSfQY	2020-04-15T12:16:43Z	2020-04-15 12:16:43	Thanks to Doctors, Nurses & Police for Protecting People from Coronavirus - DataMites	Thanks to Doctors, Nurses & Police for Protecting People from Coronavirus - DataMites https://datamites.com/	27	Education	PT21S	21	2d	hd	false	https://i.ytimg.com/vi/Le-dlfWSfQY/maxresdefault.jpg		10354	124	4	0	4
17	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	p88UPJckN7M	2020-04-01T13:15:01Z	2020-04-01 13:15:01	What is ReLU - Data Science Interview Questions - DataMites Courses	Trainer: Mr. Ashok Veda - https://in.linkedin.com/in/ashokveda Watch video to understand What is ReLU - one of the important Data Science & Machine Learning Interview Questions. #WhatisReLU #DataScience #MachineLearning #InterviewQuestions #DataMites is leading training institute for data science, machine learning, Artificial Intelligence (AI), Deep Learning courses. Learn data science with machine learning, NLP, AI, Deep Learning, Tableau, Stats, Maths, Python / R Programming and Datamining. Work on Live projects and get certified as "data scientist". List of DataMites Courses Certified Data Scientist Python for Data Science Maths for Data Science Statistics for Data Science Python for Machine learning Machine learning Expert NLP Deep learning with Python Machine Learning Expert Artificial intelligence Expert For more details about course visit: https://datamites.com/ For ONLINE Training visit: https://datamites.com/data-science-online-courses-training/ DataMites Classroom training centers in INDIA. Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Hyderabad: https://datamites.com/data-science-course-training-hyderabad/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ All the best. #ReLU	27	Education	PT2M49S	169	2d	hd	false	https://i.ytimg.com/vi/p88UPJckN7M/maxresdefault.jpg		460	36	0	0	1
18	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	rSRJ8JoXhLE	2020-03-19T10:50:20Z	2020-03-19 10:50:20	What is SMOTE - Data Science & Machine Learning Interview Questions - DataMites	Trainer: Mr. Ashok Veda - https://in.linkedin.com/in/ashokveda Watch video to understand What is SMOTE - one of the important Data Science & Machine Learning Interview Questions. #WhatisSMOTE #DataScience #MachineLearning #InterviewQuestions #DataMites is leading training institute for data science, machine learning, Artificial Intelligence (AI), Deep Learning courses. Learn data science with machine learning, NLP, AI, Deep Learning, Tableau, Stats, Maths, Python / R Programming and Datamining. Work on Live projects and get certified as "data scientist". List of DataMites Courses Certified Data Scientist Python for Data Science Maths for Data Science Statistics for Data Science Python for Machine learning Machine learning Expert NLP Deep learning with Python Machine Learning Expert Artificial intelligence Expert For more details about course visit: https://datamites.com/ For ONLINE Training visit: https://datamites.com/data-science-online-courses-training/ DataMites Classroom training centers in INDIA. Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ Data Science in Hyderabad: https://datamites.com/data-science-course-training-hyderabad/ All the best. #SMOTE	27	Education	PT6M	360	2d	hd	false	https://i.ytimg.com/vi/rSRJ8JoXhLE/maxresdefault.jpg		689	39	0	0	1
19	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	xrjXXwPON4o	2020-03-17T13:33:17Z	2020-03-17 13:33:17	What is T Test - Data Science & Machine Learning Interview Questions	Trainer: Mr. Ashok Veda - https://in.linkedin.com/in/ashokveda Watch video to understand What is T Test - one of the important Data Science & Machine Learning Interview Questions. #WhatisTTest #DataScience #MachineLearning #InterviewQuestions #DataMites is leading training institute for data science, machine learning, Artificial Intelligence (AI), Deep Learning courses. Learn data science with machine learning, NLP, AI, Deep Learning, Tableau, Stats, Maths, Python / R Programming and Datamining. Work on Live projects and get certified as "data scientist". List of DataMites Courses Certified Data Scientist Python for Data Science Maths for Data Science Statistics for Data Science Python for Machine learning Machine learning Expert NLP Deep learning with Python Machine Learning Expert Artificial intelligence Expert For more details about course visit: https://datamites.com/ For ONLINE Training visit: https://datamites.com/data-science-online-courses-training/ DataMites Classroom training centers in INDIA. Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ Data Science in Hyderabad: https://datamites.com/data-science-course-training-hyderabad/ All the best. #TTest	27	Education	PT11M9S	669	2d	hd	false	https://i.ytimg.com/vi/xrjXXwPON4o/maxresdefault.jpg		543	35	1	0	2
20	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	93BdEzvsXFc	2020-03-13T08:58:47Z	2020-03-13 08:58:47	What is PCA - Data Science & Machine Learning Interview Questions	Watch video to understand What is PCA - one of the important Data Science & Machine Learning Interview Questions #WhatisPCA #DataScience #MachineLearning #InterviewQuestions #DataMites is leading training institute for data science, machine learning, Artificial Intelligence (AI), Deep Learning courses. Learn data science with machine learning, NLP, AI, Deep Learning, Tableau, Stats, Maths, Python / R Programming and Datamining. Work on Live projects and get certified as "data scientist". List of DataMites Courses Certified Data Scientist Python for Data Science Maths for Data Science Statistics for Data Science Python for Machine learning Machine learning Expert NLP Deep learning with Python Machine Learning Expert Artificial intelligence Expert For more details about course visit: https://datamites.com/ DataMites Classroom training centers in INDIA. Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ Data Science in Hyderabad: https://datamites.com/data-science-course-training-hyderabad/ All the best. #PCA	27	Education	PT7M11S	431	2d	hd	false	https://i.ytimg.com/vi/93BdEzvsXFc/maxresdefault.jpg		997	39	0	0	0
