States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,40,0,50,2020-06-24,11.7401,92.6586
Andhra Pradesh,4599,119,10002,2020-06-24,15.9129,79.74
Arunachal Pradesh,22,0,148,2020-06-24,28.218,94.7278
Assam,3762,9,5831,2020-06-24,26.2006,92.9376
Bihar,6104,56,8153,2020-06-24,25.0961,85.3131
Chandigarh,322,6,418,2020-06-24,30.7333,76.7794
Chhattisgarh,1553,12,2362,2020-06-24,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,29,0,120,2020-06-24,,
Delhi,39313,2301,66602,2020-06-24,28.7041,77.1025
Goa,205,1,909,2020-06-24,15.2993,74.124
Gujarat,20513,1710,28371,2020-06-24,22.2587,71.1924
Haryana,6498,178,11520,2020-06-24,29.0588,76.0856
Himachal Pradesh,443,8,775,2020-06-24,31.1048,77.1734
Jammu and Kashmir,3642,87,6236,2020-06-24,33.7782,76.5762
Jharkhand,1520,11,2185,2020-06-24,23.6102,85.2799
Karnataka,6004,150,9721,2020-06-24,15.3173,75.7139
Kerala,1809,22,3451,2020-06-24,10.8505,76.2711
Ladakh,148,1,932,2020-06-24,34.2996,78.2932
Madhya Pradesh,9335,525,12261,2020-06-24,22.9734,78.6569
Maharashtra,69631,6531,139010,2020-06-24,19.7515,75.7139
Manipur,258,0,921,2020-06-24,24.6637,93.9063
Meghalaya,37,1,46,2020-06-24,25.467,91.3662
Mizoram,9,0,142,2020-06-24,23.1645,92.9376
Nagaland,141,0,330,2020-06-24,26.1584,94.5624
Odisha,3988,17,5470,2020-06-24,20.9517,85.0985
Puducherry,165,9,402,2020-06-24,11.9416,79.8083
Punjab,3047,105,4397,2020-06-24,31.1471,75.3412
Rajasthan,12213,365,15627,2020-06-24,27.0238,74.2179
Sikkim,29,0,79,2020-06-24,,
Tamil Nadu,35339,833,64603,2020-06-24,11.1271,78.6569
Telangana,4224,220,9553,2020-06-24,,
Tripura,807,1,1259,2020-06-24,23.9408,91.9882
Uttarakhand,1602,30,2535,2020-06-24,30.0668,79.0193
Uttar Pradesh,12116,588,18893,2020-06-24,26.8467,80.9462
West Bengal,9218,580,14728,2020-06-24,22.9868,87.855
