States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-11,11.7401,92.6586
Andhra Pradesh,1980,925,45,2020-05-11,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-11,28.218,94.7278
Assam,63,34,2,2020-05-11,26.2006,92.9376
Bihar,696,365,6,2020-05-11,25.0961,85.3131
Chandigarh,169,24,2,2020-05-11,30.7333,76.7794
Chhattisgarh,59,49,0,2020-05-11,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-11,,
Delhi,6923,2069,73,2020-05-11,28.7041,77.1025
Goa,7,7,0,2020-05-11,15.2993,74.124
Gujarat,8194,2545,493,2020-05-11,22.2587,71.1924
Haryana,703,300,10,2020-05-11,29.0588,76.0856
Himachal Pradesh,55,39,2,2020-05-11,31.1048,77.1734
Jammu and Kashmir,861,383,9,2020-05-11,33.7782,76.5762
Jharkhand,157,78,3,2020-05-11,23.6102,85.2799
Karnataka,848,424,31,2020-05-11,15.3173,75.7139
Kerala,512,489,4,2020-05-11,10.8505,76.2711
Ladakh,42,21,0,2020-05-11,34.2996,78.2932
Madhya Pradesh,3614,1676,215,2020-05-11,22.9734,78.6569
Maharashtra,22171,4199,832,2020-05-11,19.7515,75.7139
Manipur,2,2,0,2020-05-11,24.6637,93.9063
Meghalaya,13,10,1,2020-05-11,25.467,91.3662
Mizoram,1,1,0,2020-05-11,23.1645,92.9376
Odisha,377,68,3,2020-05-11,20.9517,85.0985
Puducherry,9,6,0,2020-05-11,11.9416,79.8083
Punjab,1823,166,31,2020-05-11,31.1471,75.3412
Rajasthan,3814,2176,107,2020-05-11,27.0238,74.2179
Tamil Nadu,7204,1959,47,2020-05-11,11.1271,78.6569
Telengana,1196,750,30,2020-05-11,18.1124,79.0193
Tripura,150,2,0,2020-05-11,23.9408,91.9882
Uttarakhand,68,46,1,2020-05-11,30.0668,79.0193
Uttar Pradesh,3467,1653,74,2020-05-11,26.8467,80.9462
West Bengal,1939,417,185,2020-05-11,22.9868,87.855
