States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-13,11.7401,92.6586
Andhra Pradesh,2090,1056,46,2020-05-13,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-13,28.218,94.7278
Assam,65,39,2,2020-05-13,26.2006,92.9376
Bihar,831,383,6,2020-05-13,25.0961,85.3131
Chandigarh,187,28,3,2020-05-13,30.7333,76.7794
Chhattisgarh,59,54,0,2020-05-13,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-13,,
Delhi,7639,2512,86,2020-05-13,28.7041,77.1025
Goa,7,7,0,2020-05-13,15.2993,74.124
Gujarat,8903,3246,537,2020-05-13,22.2587,71.1924
Haryana,780,342,11,2020-05-13,29.0588,76.0856
Himachal Pradesh,65,39,2,2020-05-13,31.1048,77.1734
Jammu and Kashmir,934,455,10,2020-05-13,33.7782,76.5762
Jharkhand,172,79,3,2020-05-13,23.6102,85.2799
Karnataka,925,433,31,2020-05-13,15.3173,75.7139
Kerala,524,489,4,2020-05-13,10.8505,76.2711
Ladakh,42,21,0,2020-05-13,34.2996,78.2932
Madhya Pradesh,3986,1860,225,2020-05-13,22.9734,78.6569
Maharashtra,24427,5125,921,2020-05-13,19.7515,75.7139
Manipur,2,2,0,2020-05-13,24.6637,93.9063
Meghalaya,13,10,1,2020-05-13,25.467,91.3662
Mizoram,1,1,0,2020-05-13,23.1645,92.9376
Odisha,437,116,3,2020-05-13,20.9517,85.0985
Puducherry,13,9,1,2020-05-13,11.9416,79.8083
Punjab,1914,171,32,2020-05-13,31.1471,75.3412
Rajasthan,4126,2378,117,2020-05-13,27.0238,74.2179
Tamil Nadu,8718,2134,61,2020-05-13,11.1271,78.6569
Telengana,1326,830,32,2020-05-13,18.1124,79.0193
Tripura,154,2,0,2020-05-13,23.9408,91.9882
Uttarakhand,69,46,1,2020-05-13,30.0668,79.0193
Uttar Pradesh,3664,1873,82,2020-05-13,26.8467,80.9462
West Bengal,2173,612,198,2020-05-13,22.9868,87.855
