States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-22,11.7401,92.6586
Andhra Pradesh,2647,1709,53,2020-05-22,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-22,28.218,94.7278
Assam,203,54,4,2020-05-22,26.2006,92.9376
Bihar,1982,593,11,2020-05-22,25.0961,85.3131
Chandigarh,217,139,3,2020-05-22,30.7333,76.7794
Chhattisgarh,128,59,0,2020-05-22,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-22,,
Delhi,11659,5567,194,2020-05-22,28.7041,77.1025
Goa,52,7,0,2020-05-22,15.2993,74.124
Gujarat,12905,5488,773,2020-05-22,22.2587,71.1924
Haryana,1031,681,15,2020-05-22,29.0588,76.0856
Himachal Pradesh,152,59,3,2020-05-22,31.1048,77.1734
Jammu and Kashmir,1449,684,20,2020-05-22,33.7782,76.5762
Jharkhand,290,129,3,2020-05-22,23.6102,85.2799
Karnataka,1605,571,41,2020-05-22,15.3173,75.7139
Kerala,690,510,4,2020-05-22,10.8505,76.2711
Ladakh,44,43,0,2020-05-22,34.2996,78.2932
Madhya Pradesh,5981,2843,270,2020-05-22,22.9734,78.6569
Maharashtra,41642,11726,1454,2020-05-22,19.7515,75.7139
Manipur,25,2,0,2020-05-22,24.6637,93.9063
Meghalaya,14,12,1,2020-05-22,25.467,91.3662
Mizoram,1,1,0,2020-05-22,23.1645,92.9376
Odisha,1103,393,7,2020-05-22,20.9517,85.0985
Puducherry,20,10,0,2020-05-22,11.9416,79.8083
Punjab,2028,1819,39,2020-05-22,31.1471,75.3412
Rajasthan,6227,3485,151,2020-05-22,27.0238,74.2179
Tamil Nadu,13967,6282,94,2020-05-22,11.1271,78.6569
Telengana,1699,1035,45,2020-05-22,18.1124,79.0193
Tripura,173,148,0,2020-05-22,23.9408,91.9882
Uttarakhand,146,54,1,2020-05-22,30.0668,79.0193
Uttar Pradesh,5515,3204,138,2020-05-22,26.8467,80.9462
West Bengal,3197,1193,259,2020-05-22,22.9868,87.855
