States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,41,2020-06-16,11.7401,92.6586
Andhra Pradesh,3316,88,6456,2020-06-16,15.9129,79.74
Arunachal Pradesh,7,0,91,2020-06-16,28.218,94.7278
Assam,2166,8,4158,2020-06-16,26.2006,92.9376
Bihar,4409,40,6650,2020-06-16,25.0961,85.3131
Chandigarh,296,6,354,2020-06-16,30.7333,76.7794
Chhattisgarh,890,8,1756,2020-06-16,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,5,0,36,2020-06-16,,
Delhi,16427,1400,42829,2020-06-16,28.7041,77.1025
Goa,85,0,592,2020-06-16,15.2993,74.124
Gujarat,16664,1505,24055,2020-06-16,22.2587,71.1924
Haryana,3565,100,7722,2020-06-16,29.0588,76.0856
Himachal Pradesh,353,8,556,2020-06-16,31.1048,77.1734
Jammu and Kashmir,2604,62,5220,2020-06-16,33.7782,76.5762
Jharkhand,905,8,1763,2020-06-16,23.6102,85.2799
Karnataka,4135,89,7213,2020-06-16,15.3173,75.7139
Kerala,1175,20,2543,2020-06-16,10.8505,76.2711
Ladakh,82,1,555,2020-06-16,34.2996,78.2932
Madhya Pradesh,7903,465,10935,2020-06-16,22.9734,78.6569
Maharashtra,56049,4128,110744,2020-06-16,19.7515,75.7139
Manipur,151,0,490,2020-06-16,24.6637,93.9063
Meghalaya,25,1,44,2020-06-16,25.467,91.3662
Mizoram,1,0,117,2020-06-16,23.1645,92.9376
Nagaland,92,0,177,2020-06-16,26.1584,94.5624
Odisha,2854,11,4055,2020-06-16,20.9517,85.0985
Puducherry,95,5,202,2020-06-16,11.9416,79.8083
Punjab,2443,71,3267,2020-06-16,31.1471,75.3412
Rajasthan,9785,301,12981,2020-06-16,27.0238,74.2179
Sikkim,4,0,68,2020-06-16,,
Tamil Nadu,25344,479,46504,2020-06-16,11.1271,78.6569
Telangana,2766,187,5193,2020-06-16,,
Tripura,433,1,1086,2020-06-16,23.9408,91.9882
Uttarakhand,1189,24,1845,2020-06-16,30.0668,79.0193
Uttar Pradesh,8268,399,13615,2020-06-16,26.8467,80.9462
West Bengal,5494,485,11494,2020-06-16,22.9868,87.855
