States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,33,2020-06-10,11.7401,92.6586
Andhra Pradesh,2802,77,5070,2020-06-10,15.9129,79.74
Arunachal Pradesh,1,0,57,2020-06-10,28.218,94.7278
Assam,1085,4,2937,2020-06-10,26.2006,92.9376
Bihar,2864,32,5459,2020-06-10,25.0961,85.3131
Chandigarh,286,5,323,2020-06-10,30.7333,76.7794
Chhattisgarh,386,6,1240,2020-06-10,21.2787,81.8661
Dadar Nagar Haveli,2,0,22,2020-06-10,,
Delhi,11861,905,31309,2020-06-10,28.7041,77.1025
Goa,67,0,359,2020-06-10,15.2993,74.124
Gujarat,14365,1313,21014,2020-06-10,22.2587,71.1924
Haryana,2134,45,5209,2020-06-10,29.0588,76.0856
Himachal Pradesh,249,5,445,2020-06-10,31.1048,77.1734
Jammu and Kashmir,1506,48,4346,2020-06-10,33.7782,76.5762
Jharkhand,559,8,1411,2020-06-10,23.6102,85.2799
Karnataka,2604,66,5921,2020-06-10,15.3173,75.7139
Kerala,848,16,2096,2020-06-10,10.8505,76.2711
Ladakh,52,1,108,2020-06-10,34.2996,78.2932
Madhya Pradesh,6729,420,9849,2020-06-10,22.9734,78.6569
Maharashtra,42638,3289,90787,2020-06-10,19.7515,75.7139
Manipur,61,0,304,2020-06-10,24.6637,93.9063
Meghalaya,13,1,43,2020-06-10,25.467,91.3662
Mizoram,1,0,88,2020-06-10,23.1645,92.9376
Nagaland,10,0,127,2020-06-10,26.1584,94.5624
Odisha,2133,9,3140,2020-06-10,20.9517,85.0985
Puducherry,52,0,127,2020-06-10,11.9416,79.8083
Punjab,2167,55,2719,2020-06-10,31.1471,75.3412
Rajasthan,8328,255,11245,2020-06-10,27.0238,74.2179
Sikkim,0,0,13,2020-06-10,,
Tamil Nadu,18325,307,34914,2020-06-10,11.1271,78.6569
Telengana,1809,148,3920,2020-06-10,18.1124,79.0193
Tripura,192,1,864,2020-06-10,23.9408,91.9882
Uttarakhand,755,13,1537,2020-06-10,30.0668,79.0193
Uttar Pradesh,6669,301,11335,2020-06-10,26.8467,80.9462
West Bengal,3620,415,8985,2020-06-10,22.9868,87.855
