States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,77,0,149,2020-07-09,11.7401,92.6586
Andhra Pradesh,11101,264,22259,2020-07-09,15.9129,79.74
Arunachal Pradesh,109,2,287,2020-07-09,28.218,94.7278
Assam,8729,16,13336,2020-07-09,26.2006,92.9376
Bihar,9554,107,13189,2020-07-09,25.0961,85.3131
Chandigarh,402,7,513,2020-07-09,30.7333,76.7794
Chhattisgarh,2835,14,3525,2020-07-09,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,184,0,408,2020-07-09,,
Delhi,78199,3213,104864,2020-07-09,28.7041,77.1025
Goa,1207,8,2039,2020-07-09,15.2993,74.124
Gujarat,27289,1993,38333,2020-07-09,22.2587,71.1924
Haryana,14106,282,18690,2020-07-09,29.0588,76.0856
Himachal Pradesh,833,11,1101,2020-07-09,31.1048,77.1734
Jammu and Kashmir,5567,149,9261,2020-07-09,33.7782,76.5762
Jharkhand,2170,22,3096,2020-07-09,23.6102,85.2799
Karnataka,11876,470,28877,2020-07-09,15.3173,75.7139
Kerala,3559,27,6195,2020-07-09,10.8505,76.2711
Ladakh,836,1,1041,2020-07-09,34.2996,78.2932
Madhya Pradesh,11987,629,16036,2020-07-09,22.9734,78.6569
Maharashtra,123192,9448,223724,2020-07-09,19.7515,75.7139
Manipur,793,0,1435,2020-07-09,24.6637,93.9063
Meghalaya,43,1,80,2020-07-09,25.467,91.3662
Mizoram,133,0,197,2020-07-09,23.1645,92.9376
Nagaland,304,0,657,2020-07-09,26.1584,94.5624
Odisha,7006,48,10624,2020-07-09,20.9517,85.0985
Puducherry,480,14,1008,2020-07-09,11.9416,79.8083
Punjab,4828,178,6907,2020-07-09,31.1471,75.3412
Rajasthan,16866,482,22063,2020-07-09,27.0238,74.2179
Sikkim,71,0,133,2020-07-09,,
Tamil Nadu,74167,1700,122350,2020-07-09,11.1271,78.6569
Telangana,17279,324,29536,2020-07-09,,
Tripura,1324,1,1761,2020-07-09,23.9408,91.9882
Uttarakhand,2650,46,3258,2020-07-09,30.0668,79.0193
Uttar Pradesh,20331,845,31156,2020-07-09,26.8467,80.9462
West Bengal,16291,827,24823,2020-07-09,22.9868,87.855
