States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,46,0,90,2020-06-30,11.7401,92.6586
Andhra Pradesh,6232,180,13891,2020-06-30,15.9129,79.74
Arunachal Pradesh,61,1,187,2020-06-30,28.218,94.7278
Assam,5333,11,7752,2020-06-30,26.2006,92.9376
Bihar,7390,62,9640,2020-06-30,25.0961,85.3131
Chandigarh,349,6,435,2020-06-30,30.7333,76.7794
Chhattisgarh,2173,13,2761,2020-06-30,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,77,0,203,2020-06-30,,
Delhi,56235,2680,85161,2020-06-30,28.7041,77.1025
Goa,478,3,1198,2020-06-30,15.2993,74.124
Gujarat,23240,1827,31938,2020-06-30,22.2587,71.1924
Haryana,9502,232,14210,2020-06-30,29.0588,76.0856
Himachal Pradesh,556,9,942,2020-06-30,31.1048,77.1734
Jammu and Kashmir,4585,95,7237,2020-06-30,33.7782,76.5762
Jharkhand,1845,15,2426,2020-06-30,23.6102,85.2799
Karnataka,7683,226,14295,2020-06-30,15.3173,75.7139
Kerala,2152,22,4189,2020-06-30,10.8505,76.2711
Ladakh,616,1,964,2020-06-30,34.2996,78.2932
Madhya Pradesh,10199,564,13370,2020-06-30,22.9734,78.6569
Maharashtra,88960,7610,169883,2020-06-30,19.7515,75.7139
Manipur,494,0,1227,2020-06-30,24.6637,93.9063
Meghalaya,42,1,47,2020-06-30,25.467,91.3662
Mizoram,55,0,148,2020-06-30,23.1645,92.9376
Nagaland,168,0,434,2020-06-30,26.1584,94.5624
Odisha,4946,23,6859,2020-06-30,20.9517,85.0985
Puducherry,221,10,619,2020-06-30,11.9416,79.8083
Punjab,3764,138,5418,2020-06-30,31.1471,75.3412
Rajasthan,13618,405,17660,2020-06-30,27.0238,74.2179
Sikkim,50,0,88,2020-06-30,,
Tamil Nadu,47749,1141,86224,2020-06-30,11.1271,78.6569
Telangana,5582,253,15394,2020-06-30,,
Tripura,1085,1,1380,2020-06-30,23.9408,91.9882
Uttarakhand,2111,39,2831,2020-06-30,30.0668,79.0193
Uttar Pradesh,15506,672,22828,2020-06-30,26.8467,80.9462
West Bengal,11719,653,17907,2020-06-30,22.9868,87.855
