States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,33,2020-06-02,11.7401,92.6586
Andhra Pradesh,2378,64,3783,2020-06-02,15.9129,79.74
Arunachal Pradesh,1,0,22,2020-06-02,28.218,94.7278
Assam,277,4,1390,2020-06-02,26.2006,92.9376
Bihar,1900,24,3926,2020-06-02,25.0961,85.3131
Chandigarh,199,4,294,2020-06-02,30.7333,76.7794
Chhattisgarh,122,1,547,2020-06-02,21.2787,81.8661
Dadar Nagar Haveli,1,0,3,2020-06-02,,
Delhi,8746,523,20834,2020-06-02,28.7041,77.1025
Goa,42,0,71,2020-06-02,15.2993,74.124
Gujarat,10780,1063,17200,2020-06-02,22.2587,71.1924
Haryana,1055,21,2356,2020-06-02,29.0588,76.0856
Himachal Pradesh,122,5,340,2020-06-02,31.1048,77.1734
Jammu and Kashmir,946,31,2601,2020-06-02,33.7782,76.5762
Jharkhand,296,5,659,2020-06-02,23.6102,85.2799
Karnataka,1328,52,3408,2020-06-02,15.3173,75.7139
Kerala,608,10,1326,2020-06-02,10.8505,76.2711
Ladakh,43,0,77,2020-06-02,34.2996,78.2932
Madhya Pradesh,5003,358,8283,2020-06-02,22.9734,78.6569
Maharashtra,30108,2362,70013,2020-06-02,19.7515,75.7139
Manipur,11,0,83,2020-06-02,24.6637,93.9063
Meghalaya,12,1,27,2020-06-02,25.467,91.3662
Mizoram,1,0,1,2020-06-02,23.1645,92.9376
Nagaland,0,0,43,2020-06-02,26.1584,94.5624
Odisha,1245,7,2104,2020-06-02,20.9517,85.0985
Puducherry,25,0,74,2020-06-02,11.9416,79.8083
Punjab,2000,45,2301,2020-06-02,31.1471,75.3412
Rajasthan,6040,198,8980,2020-06-02,27.0238,74.2179
Sikkim,0,0,1,2020-06-02,,
Tamil Nadu,13170,184,23495,2020-06-02,11.1271,78.6569
Telengana,1491,88,2792,2020-06-02,18.1124,79.0193
Tripura,173,0,420,2020-06-02,23.9408,91.9882
Uttarakhand,222,6,958,2020-06-02,30.0668,79.0193
Uttar Pradesh,4843,217,8075,2020-06-02,26.8467,80.9462
West Bengal,2306,325,5772,2020-06-02,22.9868,87.855
