States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-15,11.7401,92.6586
Andhra Pradesh,2205,1192,48,2020-05-15,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-15,28.218,94.7278
Assam,87,39,2,2020-05-15,26.2006,92.9376
Bihar,994,411,7,2020-05-15,25.0961,85.3131
Chandigarh,191,37,3,2020-05-15,30.7333,76.7794
Chhattisgarh,60,56,0,2020-05-15,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-15,,
Delhi,8470,3045,115,2020-05-15,28.7041,77.1025
Goa,14,7,0,2020-05-15,15.2993,74.124
Gujarat,9591,3753,586,2020-05-15,22.2587,71.1924
Haryana,818,439,11,2020-05-15,29.0588,76.0856
Himachal Pradesh,74,39,2,2020-05-15,31.1048,77.1734
Jammu and Kashmir,983,485,11,2020-05-15,33.7782,76.5762
Jharkhand,197,87,3,2020-05-15,23.6102,85.2799
Karnataka,987,460,35,2020-05-15,15.3173,75.7139
Kerala,560,491,4,2020-05-15,10.8505,76.2711
Ladakh,43,22,0,2020-05-15,34.2996,78.2932
Madhya Pradesh,4426,2171,237,2020-05-15,22.9734,78.6569
Maharashtra,27524,6059,1019,2020-05-15,19.7515,75.7139
Manipur,3,2,0,2020-05-15,24.6637,93.9063
Meghalaya,13,11,1,2020-05-15,25.467,91.3662
Mizoram,1,1,0,2020-05-15,23.1645,92.9376
Odisha,611,158,3,2020-05-15,20.9517,85.0985
Puducherry,13,9,1,2020-05-15,11.9416,79.8083
Punjab,1935,223,32,2020-05-15,31.1471,75.3412
Rajasthan,4534,2580,125,2020-05-15,27.0238,74.2179
Tamil Nadu,9674,2240,66,2020-05-15,11.1271,78.6569
Telengana,1414,950,34,2020-05-15,18.1124,79.0193
Tripura,156,29,0,2020-05-15,23.9408,91.9882
Uttarakhand,78,50,1,2020-05-15,30.0668,79.0193
Uttar Pradesh,3902,2072,88,2020-05-15,26.8467,80.9462
West Bengal,2377,768,215,2020-05-15,22.9868,87.855
