States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,16,0,2020-05-03,11.7401,92.6586
Andhra Pradesh,1525,441,33,2020-05-03,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-03,28.218,94.7278
Assam,43,32,1,2020-05-03,26.2006,92.9376
Bihar,481,107,4,2020-05-03,25.0961,85.3131
Chandigarh,88,17,0,2020-05-03,30.7333,76.7794
Chhattisgarh,43,36,0,2020-05-03,21.2787,81.8661
Delhi,4122,1256,64,2020-05-03,28.7041,77.1025
Goa,7,7,0,2020-05-03,15.2993,74.124
Gujarat,5054,896,262,2020-05-03,22.2587,71.1924
Haryana,360,227,4,2020-05-03,29.0588,76.0856
Himachal Pradesh,40,33,1,2020-05-03,31.1048,77.1734
Jammu and Kashmir,666,254,8,2020-05-03,33.7782,76.5762
Jharkhand,115,22,3,2020-05-03,23.6102,85.2799
Karnataka,601,271,25,2020-05-03,15.3173,75.7139
Kerala,499,400,4,2020-05-03,10.8505,76.2711
Ladakh,22,17,0,2020-05-03,34.2996,78.2932
Madhya Pradesh,2846,624,151,2020-05-03,22.9734,78.6569
Maharashtra,12296,2000,521,2020-05-03,19.7515,75.7139
Manipur,2,2,0,2020-05-03,24.6637,93.9063
Meghalaya,12,0,1,2020-05-03,25.467,91.3662
Mizoram,1,0,0,2020-05-03,23.1645,92.9376
Odisha,157,56,1,2020-05-03,20.9517,85.0985
Puducherry,8,5,0,2020-05-03,11.9416,79.8083
Punjab,772,112,20,2020-05-03,31.1471,75.3412
Rajasthan,2770,1121,65,2020-05-03,27.0238,74.2179
Tamil Nadu,2757,1341,29,2020-05-03,11.1271,78.6569
Telengana,1063,458,28,2020-05-03,18.1124,79.0193
Tripura,4,2,0,2020-05-03,23.9408,91.9882
Uttarakhand,59,39,0,2020-05-03,30.0668,79.0193
Uttar Pradesh,2487,689,43,2020-05-03,26.8467,80.9462
West Bengal,922,151,33,2020-05-03,22.9868,87.855
