States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,16,11,0,22/4/20,11.7401,92.6586
Andhra Pradesh,757,96,22,22/4/20,15.9129,79.74
Arunachal Pradesh,1,1,0,22/4/20,28.218,94.7278
Assam,35,19,1,22/4/20,26.2006,92.9376
Bihar,126,42,2,22/4/20,25.0961,85.3131
Chandigarh,27,14,0,22/4/20,30.7333,76.7794
Chhattisgarh,36,26,0,22/4/20,21.2787,81.8661
Delhi,2156,611,47,22/4/20,28.7041,77.1025
Goa,7,7,0,22/4/20,15.2993,74.124
Gujarat,2178,139,90,22/4/20,22.2587,71.1924
Haryana,254,127,3,22/4/20,29.0588,76.0856
Himachal Pradesh,39,16,1,22/4/20,31.1048,77.1734
Jammu and Kashmir,380,81,5,22/4/20,33.7782,76.5762
Jharkhand#,45,0,3,22/4/20,,
Karnataka,418,129,17,22/4/20,15.3173,75.7139
Kerala,427,307,3,22/4/20,10.8505,76.2711
Ladakh,18,14,0,22/4/20,34.2996,78.2932
Madhya Pradesh,1552,148,76,22/4/20,22.9734,78.6569
Maharashtra,5218,722,251,22/4/20,19.7515,75.7139
Manipur,2,2,0,22/4/20,24.6637,93.9063
Meghalaya,12,0,1,22/4/20,25.467,91.3662
Mizoram,1,0,0,22/4/20,23.1645,92.9376
Odisha,79,24,1,22/4/20,20.9517,85.0985
Puducherry,7,3,0,22/4/20,11.9416,79.8083
Punjab,245,39,16,22/4/20,31.1471,75.3412
Rajasthan,1659,230,25,22/4/20,27.0238,74.2179
Tamil Nadu,1596,635,18,22/4/20,11.1271,78.6569
Telengana,928,194,23,22/4/20,18.1124,79.0193
Tripura,2,1,0,22/4/20,23.9408,91.9882
Uttarakhand,46,19,0,22/4/20,30.0668,79.0193
Uttar Pradesh,1294,140,20,22/4/20,26.8467,80.9462
West Bengal,423,73,15,22/4/20,22.9868,87.855
