States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,44,2020-06-19,11.7401,92.6586
Andhra Pradesh,3789,92,7518,2020-06-19,15.9129,79.74
Arunachal Pradesh,10,0,103,2020-06-19,28.218,94.7278
Assam,2654,9,4777,2020-06-19,26.2006,92.9376
Bihar,5056,44,7025,2020-06-19,25.0961,85.3131
Chandigarh,306,6,374,2020-06-19,30.7333,76.7794
Chhattisgarh,1228,10,1946,2020-06-19,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,13,0,58,2020-06-19,,
Delhi,21341,1969,49979,2020-06-19,28.7041,77.1025
Goa,109,0,705,2020-06-19,15.2993,74.124
Gujarat,17819,1591,25601,2020-06-19,22.2587,71.1924
Haryana,4556,134,9218,2020-06-19,29.0588,76.0856
Himachal Pradesh,382,8,595,2020-06-19,31.1048,77.1734
Jammu and Kashmir,3144,71,5555,2020-06-19,33.7782,76.5762
Jharkhand,1198,11,1920,2020-06-19,23.6102,85.2799
Karnataka,4983,114,7944,2020-06-19,15.3173,75.7139
Kerala,1415,21,2794,2020-06-19,10.8505,76.2711
Ladakh,95,1,687,2020-06-19,34.2996,78.2932
Madhya Pradesh,8632,486,11426,2020-06-19,22.9734,78.6569
Maharashtra,60838,5751,120504,2020-06-19,19.7515,75.7139
Manipur,199,0,606,2020-06-19,24.6637,93.9063
Meghalaya,30,1,44,2020-06-19,25.467,91.3662
Mizoram,1,0,130,2020-06-19,23.1645,92.9376
Nagaland,103,0,193,2020-06-19,26.1584,94.5624
Odisha,3144,11,4512,2020-06-19,20.9517,85.0985
Puducherry,109,7,271,2020-06-19,11.9416,79.8083
Punjab,2570,83,3615,2020-06-19,31.1471,75.3412
Rajasthan,10742,323,13857,2020-06-19,27.0238,74.2179
Sikkim,5,0,70,2020-06-19,,
Tamil Nadu,28641,625,52334,2020-06-19,11.1271,78.6569
Telangana,3301,195,6027,2020-06-19,,
Tripura,639,1,1155,2020-06-19,23.9408,91.9882
Uttarakhand,1386,26,2102,2020-06-19,30.0668,79.0193
Uttar Pradesh,9239,465,15181,2020-06-19,26.8467,80.9462
West Bengal,7001,518,12735,2020-06-19,22.9868,87.855
