States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,15,0,2020-04-30,11.7401,92.6586
Andhra Pradesh,1332,287,31,2020-04-30,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-30,28.218,94.7278
Assam,38,29,1,2020-04-30,26.2006,92.9376
Bihar,392,65,2,2020-04-30,25.0961,85.3131
Chandigarh,56,17,0,2020-04-30,30.7333,76.7794
Chhattisgarh,38,34,0,2020-04-30,21.2787,81.8661
Delhi,3439,1092,56,2020-04-30,28.7041,77.1025
Goa,7,7,0,2020-04-30,15.2993,74.124
Gujarat,4082,527,197,2020-04-30,22.2587,71.1924
Haryana,310,209,3,2020-04-30,29.0588,76.0856
Himachal Pradesh,40,25,1,2020-04-30,31.1048,77.1734
Jammu and Kashmir,581,192,8,2020-04-30,33.7782,76.5762
Jharkhand,107,19,3,2020-04-30,23.6102,85.2799
Karnataka,535,216,21,2020-04-30,15.3173,75.7139
Kerala,495,369,4,2020-04-30,10.8505,76.2711
Ladakh,22,16,0,2020-04-30,34.2996,78.2932
Madhya Pradesh,2561,461,129,2020-04-30,22.9734,78.6569
Maharashtra,9915,1593,432,2020-04-30,19.7515,75.7139
Manipur,2,2,0,2020-04-30,24.6637,93.9063
Meghalaya,12,0,1,2020-04-30,25.467,91.3662
Mizoram,1,0,0,2020-04-30,23.1645,92.9376
Odisha,125,39,1,2020-04-30,20.9517,85.0985
Puducherry,8,3,0,2020-04-30,11.9416,79.8083
Punjab,357,90,19,2020-04-30,31.1471,75.3412
Rajasthan,2438,768,51,2020-04-30,27.0238,74.2179
Tamil Nadu,2162,1210,27,2020-04-30,11.1271,78.6569
Telengana,1012,367,26,2020-04-30,18.1124,79.0193
Tripura,2,2,0,2020-04-30,23.9408,91.9882
Uttarakhand,55,36,0,2020-04-30,30.0668,79.0193
Uttar Pradesh,2134,510,39,2020-04-30,26.8467,80.9462
West Bengal,758,124,22,2020-04-30,22.9868,87.855
