States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,109,0,166,2020-07-15,11.7401,92.6586
Andhra Pradesh,17467,408,33019,2020-07-15,15.9129,79.74
Arunachal Pradesh,153,3,462,2020-07-15,28.218,94.7278
Assam,11416,40,17807,2020-07-15,26.2006,92.9376
Bihar,12849,174,19284,2020-07-15,25.0961,85.3131
Chandigarh,446,10,600,2020-07-15,30.7333,76.7794
Chhattisgarh,3275,20,4379,2020-07-15,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,310,1,520,2020-07-15,,
Delhi,93236,3446,115346,2020-07-15,28.7041,77.1025
Goa,1607,18,2753,2020-07-15,15.2993,74.124
Gujarat,30503,2069,43637,2020-07-15,22.2587,71.1924
Haryana,17090,312,22628,2020-07-15,29.0588,76.0856
Himachal Pradesh,951,11,1309,2020-07-15,31.1048,77.1734
Jammu and Kashmir,6223,195,11173,2020-07-15,33.7782,76.5762
Jharkhand,2427,36,4091,2020-07-15,23.6102,85.2799
Karnataka,17390,842,44077,2020-07-15,15.3173,75.7139
Kerala,4438,34,8930,2020-07-15,10.8505,76.2711
Ladakh,946,1,1093,2020-07-15,34.2996,78.2932
Madhya Pradesh,13575,673,19005,2020-07-15,22.9734,78.6569
Maharashtra,149007,10695,267665,2020-07-15,19.7515,75.7139
Manipur,970,0,1672,2020-07-15,24.6637,93.9063
Meghalaya,66,2,318,2020-07-15,25.467,91.3662
Mizoram,159,0,238,2020-07-15,23.1645,92.9376
Nagaland,346,0,896,2020-07-15,26.1584,94.5624
Odisha,9864,74,14280,2020-07-15,20.9517,85.0985
Puducherry,829,18,1531,2020-07-15,11.9416,79.8083
Punjab,5663,213,8511,2020-07-15,31.1471,75.3412
Rajasthan,19161,525,25571,2020-07-15,27.0238,74.2179
Sikkim,87,0,209,2020-07-15,,
Tamil Nadu,97310,2099,147324,2020-07-15,11.1271,78.6569
Telangana,24840,375,37745,2020-07-15,,
Tripura,1538,2,2170,2020-07-15,23.9408,91.9882
Uttarakhand,2867,50,3686,2020-07-15,30.0668,79.0193
Uttar Pradesh,24983,983,39724,2020-07-15,26.8467,80.9462
West Bengal,19931,980,32838,2020-07-15,22.9868,87.855
