States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,35,0,45,2020-06-20,11.7401,92.6586
Andhra Pradesh,3917,96,7961,2020-06-20,15.9129,79.74
Arunachal Pradesh,11,0,103,2020-06-20,28.218,94.7278
Assam,3039,9,4904,2020-06-20,26.2006,92.9376
Bihar,5098,50,7181,2020-06-20,25.0961,85.3131
Chandigarh,315,6,381,2020-06-20,30.7333,76.7794
Chhattisgarh,1331,10,2028,2020-06-20,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,14,0,62,2020-06-20,,
Delhi,23569,2035,53116,2020-06-20,28.7041,77.1025
Goa,118,0,725,2020-06-20,15.2993,74.124
Gujarat,18159,1618,26141,2020-06-20,22.2587,71.1924
Haryana,4889,144,9743,2020-06-20,29.0588,76.0856
Himachal Pradesh,388,8,619,2020-06-20,31.1048,77.1734
Jammu and Kashmir,3194,75,5680,2020-06-20,33.7782,76.5762
Jharkhand,1332,11,1965,2020-06-20,23.6102,85.2799
Karnataka,5210,124,8281,2020-06-20,15.3173,75.7139
Kerala,1511,21,2912,2020-06-20,10.8505,76.2711
Ladakh,95,1,744,2020-06-20,34.2996,78.2932
Madhya Pradesh,8748,495,11582,2020-06-20,22.9734,78.6569
Maharashtra,62773,5893,124331,2020-06-20,19.7515,75.7139
Manipur,218,0,681,2020-06-20,24.6637,93.9063
Meghalaya,33,1,44,2020-06-20,25.467,91.3662
Mizoram,1,0,130,2020-06-20,23.1645,92.9376
Nagaland,125,0,198,2020-06-20,26.1584,94.5624
Odisha,3297,11,4677,2020-06-20,20.9517,85.0985
Puducherry,118,7,286,2020-06-20,11.9416,79.8083
Punjab,2636,92,3832,2020-06-20,31.1471,75.3412
Rajasthan,10997,333,14156,2020-06-20,27.0238,74.2179
Sikkim,5,0,70,2020-06-20,,
Tamil Nadu,30271,666,54449,2020-06-20,11.1271,78.6569
Telangana,3353,198,6526,2020-06-20,,
Tripura,657,1,1178,2020-06-20,23.9408,91.9882
Uttarakhand,1433,26,2177,2020-06-20,30.0668,79.0193
Uttar Pradesh,9638,488,15785,2020-06-20,26.8467,80.9462
West Bengal,7303,529,13090,2020-06-20,22.9868,87.855
