States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,38,2020-06-15,11.7401,92.6586
Andhra Pradesh,3314,84,6163,2020-06-15,15.9129,79.74
Arunachal Pradesh,7,0,91,2020-06-15,28.218,94.7278
Assam,1960,8,4049,2020-06-15,26.2006,92.9376
Bihar,4170,39,6470,2020-06-15,25.0961,85.3131
Chandigarh,293,5,352,2020-06-15,30.7333,76.7794
Chhattisgarh,763,8,1662,2020-06-15,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,2,0,36,2020-06-15,,
Delhi,15823,1327,41182,2020-06-15,28.7041,77.1025
Goa,74,0,564,2020-06-15,15.2993,74.124
Gujarat,16325,1477,23544,2020-06-15,22.2587,71.1924
Haryana,3003,88,7208,2020-06-15,29.0588,76.0856
Himachal Pradesh,337,7,518,2020-06-15,31.1048,77.1734
Jammu and Kashmir,2389,59,5041,2020-06-15,33.7782,76.5762
Jharkhand,905,8,1745,2020-06-15,23.6102,85.2799
Karnataka,3955,86,7000,2020-06-15,15.3173,75.7139
Kerala,1102,19,2461,2020-06-15,10.8505,76.2711
Ladakh,80,1,549,2020-06-15,34.2996,78.2932
Madhya Pradesh,7677,459,10802,2020-06-15,22.9734,78.6569
Maharashtra,50978,3950,107958,2020-06-15,19.7515,75.7139
Manipur,91,0,458,2020-06-15,24.6637,93.9063
Meghalaya,25,1,44,2020-06-15,25.467,91.3662
Mizoram,1,0,112,2020-06-15,23.1645,92.9376
Nagaland,88,0,168,2020-06-15,26.1584,94.5624
Odisha,2708,11,3909,2020-06-15,20.9517,85.0985
Puducherry,91,5,194,2020-06-15,11.9416,79.8083
Punjab,2356,67,3140,2020-06-15,31.1471,75.3412
Rajasthan,9566,292,12694,2020-06-15,27.0238,74.2179
Sikkim,4,0,68,2020-06-15,,
Tamil Nadu,24547,435,44661,2020-06-15,11.1271,78.6569
Telangana,2377,185,4974,2020-06-15,,
Tripura,315,1,1076,2020-06-15,23.9408,91.9882
Uttarakhand,1111,24,1819,2020-06-15,30.0668,79.0193
Uttar Pradesh,8268,399,13615,2020-06-15,26.8467,80.9462
West Bengal,5060,475,11087,2020-06-15,22.9868,87.855
