States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-24,11.7401,92.6586
Andhra Pradesh,2757,1809,56,2020-05-24,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-24,28.218,94.7278
Assam,329,55,4,2020-05-24,26.2006,92.9376
Bihar,2380,653,11,2020-05-24,25.0961,85.3131
Chandigarh,225,179,3,2020-05-24,30.7333,76.7794
Chhattisgarh,214,64,0,2020-05-24,21.2787,81.8661
Dadar Nagar Haveli,2,0,0,2020-05-24,,
Delhi,12910,6267,231,2020-05-24,28.7041,77.1025
Goa,55,16,0,2020-05-24,15.2993,74.124
Gujarat,13664,6169,829,2020-05-24,22.2587,71.1924
Haryana,1131,750,16,2020-05-24,29.0588,76.0856
Himachal Pradesh,185,61,3,2020-05-24,31.1048,77.1734
Jammu and Kashmir,1569,774,21,2020-05-24,33.7782,76.5762
Jharkhand,350,141,4,2020-05-24,23.6102,85.2799
Karnataka,1959,608,42,2020-05-24,15.3173,75.7139
Kerala,795,515,4,2020-05-24,10.8505,76.2711
Ladakh,49,43,0,2020-05-24,34.2996,78.2932
Madhya Pradesh,6371,3267,281,2020-05-24,22.9734,78.6569
Maharashtra,47190,13404,1577,2020-05-24,19.7515,75.7139
Manipur,29,4,0,2020-05-24,24.6637,93.9063
Meghalaya,14,12,1,2020-05-24,25.467,91.3662
Mizoram,1,1,0,2020-05-24,23.1645,92.9376
Odisha,1269,497,7,2020-05-24,20.9517,85.0985
Puducherry,26,10,0,2020-05-24,11.9416,79.8083
Punjab,2045,1870,39,2020-05-24,31.1471,75.3412
Rajasthan,6742,3786,160,2020-05-24,27.0238,74.2179
Sikkim,1,0,0,2020-05-24,,
Tamil Nadu,15512,7491,103,2020-05-24,11.1271,78.6569
Telengana,1813,1065,49,2020-05-24,18.1124,79.0193
Tripura,189,153,0,2020-05-24,23.9408,91.9882
Uttarakhand,244,56,2,2020-05-24,30.0668,79.0193
Uttar Pradesh,6017,3406,155,2020-05-24,26.8467,80.9462
West Bengal,3459,1281,269,2020-05-24,22.9868,87.855
