States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-23,11.7401,92.6586
Andhra Pradesh,2709,1763,55,2020-05-23,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-23,28.218,94.7278
Assam,259,54,4,2020-05-23,26.2006,92.9376
Bihar,2177,629,11,2020-05-23,25.0961,85.3131
Chandigarh,218,178,3,2020-05-23,30.7333,76.7794
Chhattisgarh,172,62,0,2020-05-23,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-23,,
Delhi,12319,5897,208,2020-05-23,28.7041,77.1025
Goa,54,16,0,2020-05-23,15.2993,74.124
Gujarat,13268,5880,802,2020-05-23,22.2587,71.1924
Haryana,1067,706,16,2020-05-23,29.0588,76.0856
Himachal Pradesh,168,59,3,2020-05-23,31.1048,77.1734
Jammu and Kashmir,1489,720,20,2020-05-23,33.7782,76.5762
Jharkhand,308,136,3,2020-05-23,23.6102,85.2799
Karnataka,1743,597,41,2020-05-23,15.3173,75.7139
Kerala,732,512,4,2020-05-23,10.8505,76.2711
Ladakh,44,43,0,2020-05-23,34.2996,78.2932
Madhya Pradesh,6170,3089,272,2020-05-23,22.9734,78.6569
Maharashtra,44582,12583,1517,2020-05-23,19.7515,75.7139
Manipur,26,2,0,2020-05-23,24.6637,93.9063
Meghalaya,14,12,1,2020-05-23,25.467,91.3662
Mizoram,1,1,0,2020-05-23,23.1645,92.9376
Odisha,1189,436,7,2020-05-23,20.9517,85.0985
Puducherry,26,10,0,2020-05-23,11.9416,79.8083
Punjab,2029,1847,39,2020-05-23,31.1471,75.3412
Rajasthan,6494,3680,153,2020-05-23,27.0238,74.2179
Tamil Nadu,14753,7128,98,2020-05-23,11.1271,78.6569
Telengana,1761,1043,45,2020-05-23,18.1124,79.0193
Tripura,175,152,0,2020-05-23,23.9408,91.9882
Uttarakhand,153,56,1,2020-05-23,30.0668,79.0193
Uttar Pradesh,5735,3238,152,2020-05-23,26.8467,80.9462
West Bengal,3332,1221,265,2020-05-23,22.9868,87.855
