States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,34,2020-06-11,11.7401,92.6586
Andhra Pradesh,2899,78,5269,2020-06-11,15.9129,79.74
Arunachal Pradesh,2,0,57,2020-06-11,28.218,94.7278
Assam,1249,4,3092,2020-06-11,26.2006,92.9376
Bihar,3071,33,5710,2020-06-11,25.0961,85.3131
Chandigarh,286,5,327,2020-06-11,30.7333,76.7794
Chhattisgarh,402,6,1262,2020-06-11,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,2,0,28,2020-06-11,,
Delhi,12245,984,32810,2020-06-11,28.7041,77.1025
Goa,67,0,387,2020-06-11,15.2993,74.124
Gujarat,14735,1347,21521,2020-06-11,22.2587,71.1924
Haryana,2188,52,5579,2020-06-11,29.0588,76.0856
Himachal Pradesh,254,6,451,2020-06-11,31.1048,77.1734
Jammu and Kashmir,1671,51,4507,2020-06-11,33.7782,76.5762
Jharkhand,592,8,1489,2020-06-11,23.6102,85.2799
Karnataka,2862,69,6041,2020-06-11,15.3173,75.7139
Kerala,905,18,2161,2020-06-11,10.8505,76.2711
Ladakh,52,1,115,2020-06-11,34.2996,78.2932
Madhya Pradesh,6892,427,10049,2020-06-11,22.9734,78.6569
Maharashtra,44517,3438,94041,2020-06-11,19.7515,75.7139
Manipur,63,0,311,2020-06-11,24.6637,93.9063
Meghalaya,13,1,44,2020-06-11,25.467,91.3662
Mizoram,1,0,93,2020-06-11,23.1645,92.9376
Nagaland,22,0,128,2020-06-11,26.1584,94.5624
Odisha,2282,9,3250,2020-06-11,20.9517,85.0985
Puducherry,53,0,127,2020-06-11,11.9416,79.8083
Punjab,2232,55,2805,2020-06-11,31.1471,75.3412
Rajasthan,8569,259,11600,2020-06-11,27.0238,74.2179
Sikkim,0,0,13,2020-06-11,,
Tamil Nadu,19333,326,36841,2020-06-11,11.1271,78.6569
Telangana,1817,156,4111,2020-06-11,,
Tripura,239,1,895,2020-06-11,23.9408,91.9882
Uttarakhand,831,15,1562,2020-06-11,30.0668,79.0193
Uttar Pradesh,6871,321,11610,2020-06-11,26.8467,80.9462
West Bengal,3779,432,9328,2020-06-11,22.9868,87.855
