States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,130,0,176,2020-07-16,11.7401,92.6586
Andhra Pradesh,18378,452,35451,2020-07-16,15.9129,79.74
Arunachal Pradesh,153,3,462,2020-07-16,28.218,94.7278
Assam,12173,46,18666,2020-07-16,26.2006,92.9376
Bihar,13462,180,20612,2020-07-16,25.0961,85.3131
Chandigarh,459,11,625,2020-07-16,30.7333,76.7794
Chhattisgarh,3324,20,4539,2020-07-16,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,357,2,539,2020-07-16,,
Delhi,95699,3487,116993,2020-07-16,28.7041,77.1025
Goa,1674,18,2951,2020-07-16,15.2993,74.124
Gujarat,31286,2079,44552,2020-07-16,22.2587,71.1924
Haryana,17667,319,23306,2020-07-16,29.0588,76.0856
Himachal Pradesh,979,11,1341,2020-07-16,31.1048,77.1734
Jammu and Kashmir,6337,206,11666,2020-07-16,33.7782,76.5762
Jharkhand,2485,38,4320,2020-07-16,23.6102,85.2799
Karnataka,18466,928,47253,2020-07-16,15.3173,75.7139
Kerala,4634,35,9553,2020-07-16,10.8505,76.2711
Ladakh,964,1,1142,2020-07-16,34.2996,78.2932
Madhya Pradesh,13908,682,19643,2020-07-16,22.9734,78.6569
Maharashtra,152613,10928,275640,2020-07-16,19.7515,75.7139
Manipur,989,0,1700,2020-07-16,24.6637,93.9063
Meghalaya,66,2,346,2020-07-16,25.467,91.3662
Mizoram,159,0,238,2020-07-16,23.1645,92.9376
Nagaland,348,0,902,2020-07-16,26.1584,94.5624
Odisha,10476,77,14898,2020-07-16,20.9517,85.0985
Puducherry,889,21,1596,2020-07-16,11.9416,79.8083
Punjab,5867,221,8799,2020-07-16,31.1471,75.3412
Rajasthan,19502,530,26437,2020-07-16,27.0238,74.2179
Sikkim,87,0,220,2020-07-16,,
Tamil Nadu,102310,2167,151820,2020-07-16,11.1271,78.6569
Telangana,25999,386,39342,2020-07-16,,
Tripura,1604,3,2268,2020-07-16,23.9408,91.9882
Uttarakhand,2948,50,3785,2020-07-16,30.0668,79.0193
Uttar Pradesh,25743,1012,41383,2020-07-16,26.8467,80.9462
West Bengal,20680,1000,34427,2020-07-16,22.9868,87.855
