States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,36,0,47,2020-06-21,11.7401,92.6586
Andhra Pradesh,4111,101,8452,2020-06-21,15.9129,79.74
Arunachal Pradesh,14,0,135,2020-06-21,28.218,94.7278
Assam,3039,9,4904,2020-06-21,26.2006,92.9376
Bihar,5529,52,7533,2020-06-21,25.0961,85.3131
Chandigarh,316,6,404,2020-06-21,30.7333,76.7794
Chhattisgarh,1394,11,2041,2020-06-21,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,26,0,68,2020-06-21,,
Delhi,31294,2112,56746,2020-06-21,28.7041,77.1025
Goa,129,0,754,2020-06-21,15.2993,74.124
Gujarat,18694,1638,26680,2020-06-21,22.2587,71.1924
Haryana,5128,149,10223,2020-06-21,29.0588,76.0856
Himachal Pradesh,413,8,656,2020-06-21,31.1048,77.1734
Jammu and Kashmir,3336,81,5834,2020-06-21,33.7782,76.5762
Jharkhand,1335,11,1965,2020-06-21,23.6102,85.2799
Karnataka,5391,132,8697,2020-06-21,15.3173,75.7139
Kerala,1568,21,3039,2020-06-21,10.8505,76.2711
Ladakh,117,1,836,2020-06-21,34.2996,78.2932
Madhya Pradesh,8880,501,11724,2020-06-21,22.9734,78.6569
Maharashtra,64153,5984,128205,2020-06-21,19.7515,75.7139
Manipur,232,0,777,2020-06-21,24.6637,93.9063
Meghalaya,33,1,44,2020-06-21,25.467,91.3662
Mizoram,9,0,140,2020-06-21,23.1645,92.9376
Nagaland,138,0,201,2020-06-21,26.1584,94.5624
Odisha,3534,12,4856,2020-06-21,20.9517,85.0985
Puducherry,118,7,286,2020-06-21,11.9416,79.8083
Punjab,2678,98,3952,2020-06-21,31.1471,75.3412
Rajasthan,11274,337,14536,2020-06-21,27.0238,74.2179
Sikkim,25,0,70,2020-06-21,,
Tamil Nadu,31316,704,56845,2020-06-21,11.1271,78.6569
Telangana,3506,203,7072,2020-06-21,,
Tripura,680,1,1186,2020-06-21,23.9408,91.9882
Uttarakhand,1450,27,2301,2020-06-21,30.0668,79.0193
Uttar Pradesh,9995,507,16594,2020-06-21,26.8467,80.9462
West Bengal,7865,540,13531,2020-06-21,22.9868,87.855
