States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-14,11.7401,92.6586
Andhra Pradesh,2137,1142,47,2020-05-14,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-14,28.218,94.7278
Assam,80,39,2,2020-05-14,26.2006,92.9376
Bihar,940,388,7,2020-05-14,25.0961,85.3131
Chandigarh,187,28,3,2020-05-14,30.7333,76.7794
Chhattisgarh,59,55,0,2020-05-14,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-14,,
Delhi,7998,2858,106,2020-05-14,28.7041,77.1025
Goa,7,7,0,2020-05-14,15.2993,74.124
Gujarat,9267,3562,566,2020-05-14,22.2587,71.1924
Haryana,793,418,11,2020-05-14,29.0588,76.0856
Himachal Pradesh,66,39,2,2020-05-14,31.1048,77.1734
Jammu and Kashmir,971,466,11,2020-05-14,33.7782,76.5762
Jharkhand,173,79,3,2020-05-14,23.6102,85.2799
Karnataka,959,451,33,2020-05-14,15.3173,75.7139
Kerala,534,490,4,2020-05-14,10.8505,76.2711
Ladakh,43,22,0,2020-05-14,34.2996,78.2932
Madhya Pradesh,4173,2004,232,2020-05-14,22.9734,78.6569
Maharashtra,25922,5547,975,2020-05-14,19.7515,75.7139
Manipur,2,2,0,2020-05-14,24.6637,93.9063
Meghalaya,13,10,1,2020-05-14,25.467,91.3662
Mizoram,1,1,0,2020-05-14,23.1645,92.9376
Odisha,538,143,3,2020-05-14,20.9517,85.0985
Puducherry,13,9,1,2020-05-14,11.9416,79.8083
Punjab,1924,200,32,2020-05-14,31.1471,75.3412
Rajasthan,4328,2459,121,2020-05-14,27.0238,74.2179
Tamil Nadu,9227,2176,64,2020-05-14,11.1271,78.6569
Telengana,1367,940,34,2020-05-14,18.1124,79.0193
Tripura,155,16,0,2020-05-14,23.9408,91.9882
Uttarakhand,72,46,1,2020-05-14,30.0668,79.0193
Uttar Pradesh,3729,1902,83,2020-05-14,26.8467,80.9462
West Bengal,2290,702,207,2020-05-14,22.9868,87.855
