States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-10,11.7401,92.6586
Andhra Pradesh,1930,887,44,2020-05-10,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-10,28.218,94.7278
Assam,63,34,2,2020-05-10,26.2006,92.9376
Bihar,591,322,5,2020-05-10,25.0961,85.3131
Chandigarh,169,24,2,2020-05-10,30.7333,76.7794
Chhattisgarh,59,43,0,2020-05-10,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-10,,
Delhi,6542,2020,73,2020-05-10,28.7041,77.1025
Goa,7,7,0,2020-05-10,15.2993,74.124
Gujarat,7796,2091,472,2020-05-10,22.2587,71.1924
Haryana,675,290,9,2020-05-10,29.0588,76.0856
Himachal Pradesh,50,38,2,2020-05-10,31.1048,77.1734
Jammu and Kashmir,836,368,9,2020-05-10,33.7782,76.5762
Jharkhand,156,78,3,2020-05-10,23.6102,85.2799
Karnataka,794,386,30,2020-05-10,15.3173,75.7139
Kerala,505,485,4,2020-05-10,10.8505,76.2711
Ladakh,42,17,0,2020-05-10,34.2996,78.2932
Madhya Pradesh,3614,1676,215,2020-05-10,22.9734,78.6569
Maharashtra,20228,3800,779,2020-05-10,19.7515,75.7139
Manipur,2,2,0,2020-05-10,24.6637,93.9063
Meghalaya,13,10,1,2020-05-10,25.467,91.3662
Mizoram,1,1,0,2020-05-10,23.1645,92.9376
Odisha,294,63,2,2020-05-10,20.9517,85.0985
Puducherry,9,6,0,2020-05-10,11.9416,79.8083
Punjab,1762,157,31,2020-05-10,31.1471,75.3412
Rajasthan,3708,2026,106,2020-05-10,27.0238,74.2179
Tamil Nadu,6535,1824,44,2020-05-10,11.1271,78.6569
Telengana,1163,750,30,2020-05-10,18.1124,79.0193
Tripura,134,2,0,2020-05-10,23.9408,91.9882
Uttarakhand,67,46,1,2020-05-10,30.0668,79.0193
Uttar Pradesh,3373,1499,74,2020-05-10,26.8467,80.9462
