States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,11,0,2020-04-27,11.7401,92.6586
Andhra Pradesh,1097,231,31,2020-04-27,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-27,28.218,94.7278
Assam,36,27,1,2020-04-27,26.2006,92.9376
Bihar,274,56,2,2020-04-27,25.0961,85.3131
Chandigarh,30,17,0,2020-04-27,30.7333,76.7794
Chhattisgarh,37,32,0,2020-04-27,21.2787,81.8661
Delhi,2918,877,54,2020-04-27,28.7041,77.1025
Goa,7,7,0,2020-04-27,15.2993,74.124
Gujarat,3301,313,151,2020-04-27,22.2587,71.1924
Haryana,289,176,3,2020-04-27,29.0588,76.0856
Himachal Pradesh,40,22,1,2020-04-27,31.1048,77.1734
Jammu and Kashmir,523,137,6,2020-04-27,33.7782,76.5762
Jharkhand,82,13,3,2020-04-27,23.6102,85.2799
Karnataka,503,182,19,2020-04-27,15.3173,75.7139
Kerala,458,338,4,2020-04-27,10.8505,76.2711
Ladakh,20,14,0,2020-04-27,34.2996,78.2932
Madhya Pradesh,2096,302,103,2020-04-27,22.9734,78.6569
Maharashtra,8068,1076,342,2020-04-27,19.7515,75.7139
Manipur,2,2,0,2020-04-27,24.6637,93.9063
Meghalaya,12,0,1,2020-04-27,25.467,91.3662
Mizoram,1,0,0,2020-04-27,23.1645,92.9376
Odisha,103,35,1,2020-04-27,20.9517,85.0985
Puducherry,7,3,0,2020-04-27,11.9416,79.8083
Punjab,313,71,18,2020-04-27,31.1471,75.3412
Rajasthan,2185,518,33,2020-04-27,27.0238,74.2179
Tamil Nadu,1885,1020,24,2020-04-27,11.1271,78.6569
Telengana,1002,280,26,2020-04-27,18.1124,79.0193
Tripura,2,2,0,2020-04-27,23.9408,91.9882
Uttarakhand,50,28,0,2020-04-27,30.0668,79.0193
Uttar Pradesh,1868,289,29,2020-04-27,26.8467,80.9462
West Bengal,649,105,20,2020-04-27,22.9868,87.855
