States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,22,11,0,2020-04-24,11.7401,92.6586
Andhra Pradesh,955,145,29,2020-04-24,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-24,28.218,94.7278
Assam,36,19,1,2020-04-24,26.2006,92.9376
Bihar,176,46,2,2020-04-24,25.0961,85.3131
Chandigarh,27,14,0,2020-04-24,30.7333,76.7794
Chhattisgarh,36,28,0,2020-04-24,21.2787,81.8661
Delhi,2376,808,50,2020-04-24,28.7041,77.1025
Goa,7,7,0,2020-04-24,15.2993,74.124
Gujarat,2624,258,112,2020-04-24,22.2587,71.1924
Haryana,272,156,3,2020-04-24,29.0588,76.0856
Himachal Pradesh,40,18,1,2020-04-24,31.1048,77.1734
Jammu and Kashmir,427,92,5,2020-04-24,33.7782,76.5762
Jharkhand,55,8,3,2020-04-24,23.6102,85.2799
Karnataka,463,150,18,2020-04-24,15.3173,75.7139
Kerala,448,324,3,2020-04-24,10.8505,76.2711
Ladakh,18,14,0,2020-04-24,34.2996,78.2932
Madhya Pradesh,1852,203,83,2020-04-24,22.9734,78.6569
Maharashtra,6430,840,283,2020-04-24,19.7515,75.7139
Manipur,2,2,0,2020-04-24,24.6637,93.9063
Meghalaya,12,0,1,2020-04-24,25.467,91.3662
Mizoram,1,0,0,2020-04-24,23.1645,92.9376
Odisha,90,33,1,2020-04-24,20.9517,85.0985
Puducherry,7,3,0,2020-04-24,11.9416,79.8083
Punjab,277,65,16,2020-04-24,31.1471,75.3412
Rajasthan,1964,230,27,2020-04-24,27.0238,74.2179
Tamil Nadu,1683,752,20,2020-04-24,11.1271,78.6569
Telengana,984,253,26,2020-04-24,18.1124,79.0193
Tripura,2,1,0,2020-04-24,23.9408,91.9882
Uttarakhand,47,24,0,2020-04-24,30.0668,79.0193
Uttar Pradesh,1604,206,24,2020-04-24,26.8467,80.9462
West Bengal,514,103,15,2020-04-24,22.9868,87.855
