States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,33,2020-06-09,11.7401,92.6586
Andhra Pradesh,2745,75,4851,2020-06-09,15.9129,79.74
Arunachal Pradesh,1,0,51,2020-06-09,28.218,94.7278
Assam,665,4,2776,2020-06-09,26.2006,92.9376
Bihar,2499,31,5202,2020-06-09,25.0961,85.3131
Chandigarh,273,5,317,2020-06-09,30.7333,76.7794
Chhattisgarh,308,4,1160,2020-06-09,21.2787,81.8661
Dadar Nagar Haveli,2,0,22,2020-06-09,,
Delhi,11357,874,29943,2020-06-09,28.7041,77.1025
Goa,67,0,330,2020-06-09,15.2993,74.124
Gujarat,13956,1280,20545,2020-06-09,22.2587,71.1924
Haryana,2134,39,4854,2020-06-09,29.0588,76.0856
Himachal Pradesh,227,5,421,2020-06-09,31.1048,77.1734
Jammu and Kashmir,1324,45,4285,2020-06-09,33.7782,76.5762
Jharkhand,519,7,1256,2020-06-09,23.6102,85.2799
Karnataka,2519,64,5760,2020-06-09,15.3173,75.7139
Kerala,814,16,2005,2020-06-09,10.8505,76.2711
Ladakh,52,1,103,2020-06-09,34.2996,78.2932
Madhya Pradesh,6536,414,9638,2020-06-09,22.9734,78.6569
Maharashtra,40975,3169,88528,2020-06-09,19.7515,75.7139
Manipur,58,0,272,2020-06-09,24.6637,93.9063
Meghalaya,13,1,36,2020-06-09,25.467,91.3662
Mizoram,1,0,42,2020-06-09,23.1645,92.9376
Nagaland,8,0,123,2020-06-09,26.1584,94.5624
Odisha,1993,9,2994,2020-06-09,20.9517,85.0985
Puducherry,52,0,127,2020-06-09,11.9416,79.8083
Punjab,2128,53,2663,2020-06-09,31.1471,75.3412
Rajasthan,8004,246,10763,2020-06-09,27.0238,74.2179
Sikkim,0,0,7,2020-06-09,,
Tamil Nadu,17527,286,33229,2020-06-09,11.1271,78.6569
Telengana,1809,142,3742,2020-06-09,18.1124,79.0193
Tripura,192,0,838,2020-06-09,23.9408,91.9882
Uttarakhand,714,13,1411,2020-06-09,30.0668,79.0193
Uttar Pradesh,6344,283,10947,2020-06-09,26.8467,80.9462
West Bengal,3465,405,8613,2020-06-09,22.9868,87.855
