States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,51,0,109,2020-07-03,11.7401,92.6586
Andhra Pradesh,7313,198,16097,2020-07-03,15.9129,79.74
Arunachal Pradesh,66,1,195,2020-07-03,28.218,94.7278
Assam,6106,12,9013,2020-07-03,26.2006,92.9376
Bihar,8020,77,10471,2020-07-03,25.0961,85.3131
Chandigarh,389,6,450,2020-07-03,30.7333,76.7794
Chhattisgarh,2385,14,3013,2020-07-03,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,89,0,230,2020-07-03,,
Delhi,63007,2864,92175,2020-07-03,28.7041,77.1025
Goa,734,4,1482,2020-07-03,15.2993,74.124
Gujarat,24593,1886,33913,2020-07-03,22.2587,71.1924
Haryana,11019,251,15509,2020-07-03,29.0588,76.0856
Himachal Pradesh,628,10,1014,2020-07-03,31.1048,77.1734
Jammu and Kashmir,4974,115,7849,2020-07-03,33.7782,76.5762
Jharkhand,1983,15,2584,2020-07-03,23.6102,85.2799
Karnataka,8334,272,18016,2020-07-03,15.3173,75.7139
Kerala,2640,25,4753,2020-07-03,10.8505,76.2711
Ladakh,730,1,990,2020-07-03,34.2996,78.2932
Madhya Pradesh,10815,589,14106,2020-07-03,22.9734,78.6569
Maharashtra,101172,8178,186626,2020-07-03,19.7515,75.7139
Manipur,617,0,1279,2020-07-03,24.6637,93.9063
Meghalaya,42,1,56,2020-07-03,25.467,91.3662
Mizoram,126,0,162,2020-07-03,23.1645,92.9376
Nagaland,182,0,501,2020-07-03,26.1584,94.5624
Odisha,5502,27,7545,2020-07-03,20.9517,85.0985
Puducherry,331,12,802,2020-07-03,11.9416,79.8083
Punjab,4144,152,5784,2020-07-03,31.1471,75.3412
Rajasthan,14948,430,18662,2020-07-03,27.0238,74.2179
Sikkim,53,0,102,2020-07-03,,
Tamil Nadu,56021,1321,98392,2020-07-03,11.1271,78.6569
Telangana,9069,275,18570,2020-07-03,,
Tripura,1146,1,1435,2020-07-03,23.9408,91.9882
Uttarakhand,2405,42,2984,2020-07-03,30.0668,79.0193
Uttar Pradesh,17221,735,24825,2020-07-03,26.8467,80.9462
West Bengal,13037,699,19819,2020-07-03,22.9868,87.855
