States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,16,0,2020-05-01,11.7401,92.6586
Andhra Pradesh,1403,321,31,2020-05-01,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-01,28.218,94.7278
Assam,42,29,1,2020-05-01,26.2006,92.9376
Bihar,418,82,2,2020-05-01,25.0961,85.3131
Chandigarh,56,17,0,2020-05-01,30.7333,76.7794
Chhattisgarh,40,36,0,2020-05-01,21.2787,81.8661
Delhi,3515,1094,59,2020-05-01,28.7041,77.1025
Goa,7,7,0,2020-05-01,15.2993,74.124
Gujarat,4395,613,214,2020-05-01,22.2587,71.1924
Haryana,313,209,3,2020-05-01,29.0588,76.0856
Himachal Pradesh,40,28,1,2020-05-01,31.1048,77.1734
Jammu and Kashmir,614,216,8,2020-05-01,33.7782,76.5762
Jharkhand,109,20,3,2020-05-01,23.6102,85.2799
Karnataka,565,229,21,2020-05-01,15.3173,75.7139
Kerala,497,383,4,2020-05-01,10.8505,76.2711
Ladakh,22,16,0,2020-05-01,34.2996,78.2932
Madhya Pradesh,2660,482,137,2020-05-01,22.9734,78.6569
Maharashtra,10498,1773,459,2020-05-01,19.7515,75.7139
Manipur,2,2,0,2020-05-01,24.6637,93.9063
Meghalaya,12,0,1,2020-05-01,25.467,91.3662
Mizoram,1,0,0,2020-05-01,23.1645,92.9376
Odisha,142,39,1,2020-05-01,20.9517,85.0985
Puducherry,8,5,0,2020-05-01,11.9416,79.8083
Punjab,357,90,19,2020-05-01,31.1471,75.3412
Rajasthan,2584,836,58,2020-05-01,27.0238,74.2179
Tamil Nadu,2323,1258,27,2020-05-01,11.1271,78.6569
Telengana,1038,397,26,2020-05-01,18.1124,79.0193
Tripura,2,2,0,2020-05-01,23.9408,91.9882
Uttarakhand,57,36,0,2020-05-01,30.0668,79.0193
Uttar Pradesh,2203,513,39,2020-05-01,26.8467,80.9462
West Bengal,795,139,33,2020-05-01,22.9868,87.855
