States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,152,0,207,2020-07-21,11.7401,92.6586
Andhra Pradesh,24228,696,53724,2020-07-21,15.9129,79.74
Arunachal Pradesh,285,3,790,2020-07-21,28.218,94.7278
Assam,17095,58,25382,2020-07-21,26.2006,92.9376
Bihar,17433,217,27646,2020-07-21,25.0961,85.3131
Chandigarh,518,12,737,2020-07-21,30.7333,76.7794
Chhattisgarh,3944,25,5561,2020-07-21,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,448,2,684,2020-07-21,,
Delhi,104918,3663,123747,2020-07-21,28.7041,77.1025
Goa,2361,23,3853,2020-07-21,15.2993,74.124
Gujarat,35678,2162,49353,2020-07-21,22.2587,71.1924
Haryana,20226,355,26858,2020-07-21,29.0588,76.0856
Himachal Pradesh,1067,11,1631,2020-07-21,31.1048,77.1734
Jammu and Kashmir,8274,254,14650,2020-07-21,33.7782,76.5762
Jharkhand,2810,53,5756,2020-07-21,23.6102,85.2799
Karnataka,23795,1403,67420,2020-07-21,15.3173,75.7139
Kerala,5616,43,13274,2020-07-21,10.8505,76.2711
Ladakh,1007,2,1195,2020-07-21,34.2996,78.2932
Madhya Pradesh,15684,738,23310,2020-07-21,22.9734,78.6569
Maharashtra,175029,12030,318695,2020-07-21,19.7515,75.7139
Manipur,1307,0,1925,2020-07-21,24.6637,93.9063
Meghalaya,66,4,466,2020-07-21,25.467,91.3662
Mizoram,168,0,297,2020-07-21,23.1645,92.9376
Nagaland,484,0,1021,2020-07-21,26.1584,94.5624
Odisha,12910,97,18110,2020-07-21,20.9517,85.0985
Puducherry,1265,29,2092,2020-07-21,11.9416,79.8083
Punjab,7118,262,10510,2020-07-21,31.1471,75.3412
Rajasthan,22195,568,30390,2020-07-21,27.0238,74.2179
Sikkim,92,0,305,2020-07-21,,
Tamil Nadu,121776,2551,175678,2020-07-21,11.1271,78.6569
Telangana,34323,422,46274,2020-07-21,,
Tripura,1845,7,3079,2020-07-21,23.9408,91.9882
Uttarakhand,3212,55,4642,2020-07-21,30.0668,79.0193
Uttar Pradesh,30831,1192,51160,2020-07-21,26.8467,80.9462
West Bengal,26418,1147,44769,2020-07-21,22.9868,87.855
