States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-16,11.7401,92.6586
Andhra Pradesh,2307,1252,48,2020-05-16,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-16,28.218,94.7278
Assam,90,41,2,2020-05-16,26.2006,92.9376
Bihar,1018,438,7,2020-05-16,25.0961,85.3131
Chandigarh,191,37,3,2020-05-16,30.7333,76.7794
Chhattisgarh,66,56,0,2020-05-16,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-16,,
Delhi,8895,3518,123,2020-05-16,28.7041,77.1025
Goa,15,7,0,2020-05-16,15.2993,74.124
Gujarat,9931,4035,606,2020-05-16,22.2587,71.1924
Haryana,818,439,11,2020-05-16,29.0588,76.0856
Himachal Pradesh,76,39,3,2020-05-16,31.1048,77.1734
Jammu and Kashmir,1013,513,11,2020-05-16,33.7782,76.5762
Jharkhand,203,87,3,2020-05-16,23.6102,85.2799
Karnataka,1056,480,36,2020-05-16,15.3173,75.7139
Kerala,576,492,4,2020-05-16,10.8505,76.2711
Ladakh,43,22,0,2020-05-16,34.2996,78.2932
Madhya Pradesh,4595,2283,239,2020-05-16,22.9734,78.6569
Maharashtra,29100,6564,1068,2020-05-16,19.7515,75.7139
Manipur,3,2,0,2020-05-16,24.6637,93.9063
Meghalaya,13,11,1,2020-05-16,25.467,91.3662
Mizoram,1,1,0,2020-05-16,23.1645,92.9376
Odisha,672,166,3,2020-05-16,20.9517,85.0985
Puducherry,13,9,1,2020-05-16,11.9416,79.8083
Punjab,1935,305,32,2020-05-16,31.1471,75.3412
Rajasthan,4727,2677,125,2020-05-16,27.0238,74.2179
Tamil Nadu,10108,2599,71,2020-05-16,11.1271,78.6569
Telengana,1454,959,34,2020-05-16,18.1124,79.0193
Tripura,156,42,0,2020-05-16,23.9408,91.9882
Uttarakhand,82,51,1,2020-05-16,30.0668,79.0193
Uttar Pradesh,4057,2165,95,2020-05-16,26.8467,80.9462
West Bengal,2461,829,225,2020-05-16,22.9868,87.855
