States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-17,11.7401,92.6586
Andhra Pradesh,2355,1353,49,2020-05-17,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-17,28.218,94.7278
Assam,92,41,2,2020-05-17,26.2006,92.9376
Bihar,1179,453,7,2020-05-17,25.0961,85.3131
Chandigarh,191,51,3,2020-05-17,30.7333,76.7794
Chhattisgarh,67,56,0,2020-05-17,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-17,,
Delhi,9333,3926,129,2020-05-17,28.7041,77.1025
Goa,17,7,0,2020-05-17,15.2993,74.124
Gujarat,10988,4308,625,2020-05-17,22.2587,71.1924
Haryana,887,514,13,2020-05-17,29.0588,76.0856
Himachal Pradesh,78,43,3,2020-05-17,31.1048,77.1734
Jammu and Kashmir,1121,542,12,2020-05-17,33.7782,76.5762
Jharkhand,217,113,3,2020-05-17,23.6102,85.2799
Karnataka,1092,496,36,2020-05-17,15.3173,75.7139
Kerala,587,495,4,2020-05-17,10.8505,76.2711
Ladakh,43,22,0,2020-05-17,34.2996,78.2932
Madhya Pradesh,4789,2315,243,2020-05-17,22.9734,78.6569
Maharashtra,30706,7088,1135,2020-05-17,19.7515,75.7139
Manipur,7,2,0,2020-05-17,24.6637,93.9063
Meghalaya,13,11,1,2020-05-17,25.467,91.3662
Mizoram,1,1,0,2020-05-17,23.1645,92.9376
Odisha,737,196,3,2020-05-17,20.9517,85.0985
Puducherry,13,9,1,2020-05-17,11.9416,79.8083
Punjab,1946,1257,32,2020-05-17,31.1471,75.3412
Rajasthan,4960,2839,126,2020-05-17,27.0238,74.2179
Tamil Nadu,10585,3538,74,2020-05-17,11.1271,78.6569
Telengana,1509,971,34,2020-05-17,18.1124,79.0193
Tripura,167,64,0,2020-05-17,23.9408,91.9882
Uttarakhand,88,51,1,2020-05-17,30.0668,79.0193
Uttar Pradesh,4258,2441,104,2020-05-17,26.8467,80.9462
West Bengal,2576,872,232,2020-05-17,22.9868,87.855
