States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,37,0,48,2020-06-23,11.7401,92.6586
Andhra Pradesh,4495,111,9372,2020-06-23,15.9129,79.74
Arunachal Pradesh,21,0,139,2020-06-23,28.218,94.7278
Assam,3521,9,5586,2020-06-23,26.2006,92.9376
Bihar,5781,55,7825,2020-06-23,25.0961,85.3131
Chandigarh,322,6,411,2020-06-23,30.7333,76.7794
Chhattisgarh,1513,12,2303,2020-06-23,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,27,0,91,2020-06-23,,
Delhi,36602,2233,62655,2020-06-23,28.7041,77.1025
Goa,152,1,864,2020-06-23,15.2993,74.124
Gujarat,19909,1684,27825,2020-06-23,22.2587,71.1924
Haryana,5916,169,11025,2020-06-23,29.0588,76.0856
Himachal Pradesh,437,8,727,2020-06-23,31.1048,77.1734
Jammu and Kashmir,3531,85,6088,2020-06-23,33.7782,76.5762
Jharkhand,1469,11,2137,2020-06-23,23.6102,85.2799
Karnataka,5730,142,9399,2020-06-23,15.3173,75.7139
Kerala,1749,21,3310,2020-06-23,10.8505,76.2711
Ladakh,136,1,847,2020-06-23,34.2996,78.2932
Madhya Pradesh,9215,521,12078,2020-06-23,22.9734,78.6569
Maharashtra,67706,6283,135796,2020-06-23,19.7515,75.7139
Manipur,250,0,898,2020-06-23,24.6637,93.9063
Meghalaya,37,1,44,2020-06-23,25.467,91.3662
Mizoram,9,0,141,2020-06-23,23.1645,92.9376
Nagaland,141,0,280,2020-06-23,26.1584,94.5624
Odisha,3863,15,5303,2020-06-23,20.9517,85.0985
Puducherry,149,8,383,2020-06-23,11.9416,79.8083
Punjab,2825,101,4235,2020-06-23,31.1471,75.3412
Rajasthan,11910,356,15232,2020-06-23,27.0238,74.2179
Sikkim,29,0,78,2020-06-23,,
Tamil Nadu,34112,794,62087,2020-06-23,11.1271,78.6569
Telangana,4005,217,8674,2020-06-23,,
Tripura,782,1,1237,2020-06-23,23.9408,91.9882
Uttarakhand,1521,28,2402,2020-06-23,30.0668,79.0193
Uttar Pradesh,11601,569,18322,2020-06-23,26.8467,80.9462
West Bengal,8687,569,14358,2020-06-23,22.9868,87.855
