States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-12,11.7401,92.6586
Andhra Pradesh,2018,975,45,2020-05-12,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-12,28.218,94.7278
Assam,65,34,2,2020-05-12,26.2006,92.9376
Bihar,747,377,6,2020-05-12,25.0961,85.3131
Chandigarh,174,24,2,2020-05-12,30.7333,76.7794
Chhattisgarh,59,53,0,2020-05-12,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-12,,
Delhi,7233,2129,73,2020-05-12,28.7041,77.1025
Goa,7,7,0,2020-05-12,15.2993,74.124
Gujarat,8541,2780,513,2020-05-12,22.2587,71.1924
Haryana,730,337,11,2020-05-12,29.0588,76.0856
Himachal Pradesh,59,39,2,2020-05-12,31.1048,77.1734
Jammu and Kashmir,879,427,10,2020-05-12,33.7782,76.5762
Jharkhand,160,78,3,2020-05-12,23.6102,85.2799
Karnataka,862,426,31,2020-05-12,15.3173,75.7139
Kerala,519,489,4,2020-05-12,10.8505,76.2711
Ladakh,42,21,0,2020-05-12,34.2996,78.2932
Madhya Pradesh,3785,1747,221,2020-05-12,22.9734,78.6569
Maharashtra,23401,4786,868,2020-05-12,19.7515,75.7139
Manipur,2,2,0,2020-05-12,24.6637,93.9063
Meghalaya,13,10,1,2020-05-12,25.467,91.3662
Mizoram,1,1,0,2020-05-12,23.1645,92.9376
Odisha,414,85,3,2020-05-12,20.9517,85.0985
Puducherry,12,6,0,2020-05-12,11.9416,79.8083
Punjab,1877,168,31,2020-05-12,31.1471,75.3412
Rajasthan,3988,2264,113,2020-05-12,27.0238,74.2179
Tamil Nadu,8002,2051,53,2020-05-12,11.1271,78.6569
Telengana,1275,800,30,2020-05-12,18.1124,79.0193
Tripura,152,2,0,2020-05-12,23.9408,91.9882
Uttarakhand,68,46,1,2020-05-12,30.0668,79.0193
Uttar Pradesh,3573,1758,80,2020-05-12,26.8467,80.9462
West Bengal,2063,499,190,2020-05-12,22.9868,87.855
