States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,32,0,2020-05-04,11.7401,92.6586
Andhra Pradesh,1583,488,33,2020-05-04,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-04,28.218,94.7278
Assam,43,32,1,2020-05-04,26.2006,92.9376
Bihar,503,125,4,2020-05-04,25.0961,85.3131
Chandigarh,94,19,0,2020-05-04,30.7333,76.7794
Chhattisgarh,57,36,0,2020-05-04,21.2787,81.8661
Delhi,4549,1362,64,2020-05-04,28.7041,77.1025
Goa,7,7,0,2020-05-04,15.2993,74.124
Gujarat,5428,1042,290,2020-05-04,22.2587,71.1924
Haryana,442,245,5,2020-05-04,29.0588,76.0856
Himachal Pradesh,40,34,1,2020-05-04,31.1048,77.1734
Jammu and Kashmir,701,287,8,2020-05-04,33.7782,76.5762
Jharkhand,115,22,3,2020-05-04,23.6102,85.2799
Karnataka,614,293,25,2020-05-04,15.3173,75.7139
Kerala,500,401,4,2020-05-04,10.8505,76.2711
Ladakh,41,17,0,2020-05-04,34.2996,78.2932
Madhya Pradesh,2846,798,156,2020-05-04,22.9734,78.6569
Maharashtra,12974,2115,548,2020-05-04,19.7515,75.7139
Manipur,2,2,0,2020-05-04,24.6637,93.9063
Meghalaya,12,0,1,2020-05-04,25.467,91.3662
Mizoram,1,0,0,2020-05-04,23.1645,92.9376
Odisha,162,56,1,2020-05-04,20.9517,85.0985
Puducherry,8,5,0,2020-05-04,11.9416,79.8083
Punjab,1102,117,21,2020-05-04,31.1471,75.3412
Rajasthan,2886,1356,71,2020-05-04,27.0238,74.2179
Tamil Nadu,3023,1379,30,2020-05-04,11.1271,78.6569
Telengana,1082,490,29,2020-05-04,18.1124,79.0193
Tripura,16,2,0,2020-05-04,23.9408,91.9882
Uttarakhand,60,39,0,2020-05-04,30.0668,79.0193
Uttar Pradesh,2645,754,43,2020-05-04,26.8467,80.9462
