States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-20,11.7401,92.6586
Andhra Pradesh,2532,1621,52,2020-05-20,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-20,28.218,94.7278
Assam,142,41,4,2020-05-20,26.2006,92.9376
Bihar,1498,534,9,2020-05-20,25.0961,85.3131
Chandigarh,200,57,3,2020-05-20,30.7333,76.7794
Chhattisgarh,101,59,0,2020-05-20,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-20,,
Delhi,10554,4750,168,2020-05-20,28.7041,77.1025
Goa,46,7,0,2020-05-20,15.2993,74.124
Gujarat,12140,5043,719,2020-05-20,22.2587,71.1924
Haryana,964,627,14,2020-05-20,29.0588,76.0856
Himachal Pradesh,92,47,3,2020-05-20,31.1048,77.1734
Jammu and Kashmir,1317,653,17,2020-05-20,33.7782,76.5762
Jharkhand,231,127,3,2020-05-20,23.6102,85.2799
Karnataka,1397,544,40,2020-05-20,15.3173,75.7139
Kerala,642,497,4,2020-05-20,10.8505,76.2711
Ladakh,43,43,0,2020-05-20,34.2996,78.2932
Madhya Pradesh,5465,2630,258,2020-05-20,22.9734,78.6569
Maharashtra,37136,9639,1325,2020-05-20,19.7515,75.7139
Manipur,9,2,0,2020-05-20,24.6637,93.9063
Meghalaya,13,12,1,2020-05-20,25.467,91.3662
Mizoram,1,1,0,2020-05-20,23.1645,92.9376
Odisha,978,277,5,2020-05-20,20.9517,85.0985
Puducherry,18,9,1,2020-05-20,11.9416,79.8083
Punjab,2002,1642,38,2020-05-20,31.1471,75.3412
Rajasthan,5845,3337,143,2020-05-20,27.0238,74.2179
Tamil Nadu,12448,4895,84,2020-05-20,11.1271,78.6569
Telengana,1634,1010,38,2020-05-20,18.1124,79.0193
Tripura,173,116,0,2020-05-20,23.9408,91.9882
Uttarakhand,111,52,1,2020-05-20,30.0668,79.0193
Uttar Pradesh,4926,2918,123,2020-05-20,26.8467,80.9462
West Bengal,2961,1074,250,2020-05-20,22.9868,87.855
