States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,145,0,198,2020-07-19,11.7401,92.6586
Andhra Pradesh,21763,586,44609,2020-07-19,15.9129,79.74
Arunachal Pradesh,274,3,650,2020-07-19,28.218,94.7278
Assam,15165,53,22918,2020-07-19,26.2006,92.9376
Bihar,15536,208,25136,2020-07-19,25.0961,85.3131
Chandigarh,485,12,700,2020-07-19,30.7333,76.7794
Chhattisgarh,3658,24,5233,2020-07-19,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,414,2,602,2020-07-19,,
Delhi,101274,3597,121582,2020-07-19,28.7041,77.1025
Goa,2038,21,3484,2020-07-19,15.2993,74.124
Gujarat,34035,2122,47390,2020-07-19,22.2587,71.1924
Haryana,19318,344,25547,2020-07-19,29.0588,76.0856
Himachal Pradesh,1036,11,1457,2020-07-19,31.1048,77.1734
Jammu and Kashmir,7165,236,13198,2020-07-19,33.7782,76.5762
Jharkhand,2611,46,5342,2020-07-19,23.6102,85.2799
Karnataka,21775,1240,59652,2020-07-19,15.3173,75.7139
Kerala,5199,40,11659,2020-07-19,10.8505,76.2711
Ladakh,985,1,1159,2020-07-19,34.2996,78.2932
Madhya Pradesh,14864,706,21763,2020-07-19,22.9734,78.6569
Maharashtra,165663,11596,300937,2020-07-19,19.7515,75.7139
Manipur,1182,0,1891,2020-07-19,24.6637,93.9063
Meghalaya,66,2,418,2020-07-19,25.467,91.3662
Mizoram,167,0,284,2020-07-19,23.1645,92.9376
Nagaland,432,0,978,2020-07-19,26.1584,94.5624
Odisha,11937,86,16701,2020-07-19,20.9517,85.0985
Puducherry,1066,28,1894,2020-07-19,11.9416,79.8083
Punjab,6454,246,9792,2020-07-19,31.1471,75.3412
Rajasthan,21144,553,28500,2020-07-19,27.0238,74.2179
Sikkim,90,0,275,2020-07-19,,
Tamil Nadu,113856,2403,165714,2020-07-19,11.1271,78.6569
Telangana,30607,409,43780,2020-07-19,,
Tripura,1735,5,2654,2020-07-19,23.9408,91.9882
Uttarakhand,3081,52,4276,2020-07-19,30.0668,79.0193
Uttar Pradesh,28664,1108,47036,2020-07-19,26.8467,80.9462
