States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,27,11,0,2020-04-25,11.7401,92.6586
Andhra Pradesh,955,145,29,2020-04-25,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-25,28.218,94.7278
Assam,36,19,1,2020-04-25,26.2006,92.9376
Bihar,223,46,2,2020-04-25,25.0961,85.3131
Chandigarh,27,14,0,2020-04-25,30.7333,76.7794
Chhattisgarh,36,30,0,2020-04-25,21.2787,81.8661
Delhi,2514,857,53,2020-04-25,28.7041,77.1025
Goa,7,7,0,2020-04-25,15.2993,74.124
Gujarat,2815,265,127,2020-04-25,22.2587,71.1924
Haryana,272,156,3,2020-04-25,29.0588,76.0856
Himachal Pradesh,40,18,1,2020-04-25,31.1048,77.1734
Jammu and Kashmir,454,109,5,2020-04-25,33.7782,76.5762
Jharkhand,57,8,3,2020-04-25,23.6102,85.2799
Karnataka,474,152,18,2020-04-25,15.3173,75.7139
Kerala,450,331,3,2020-04-25,10.8505,76.2711
Ladakh,20,14,0,2020-04-25,34.2996,78.2932
Madhya Pradesh,1852,210,92,2020-04-25,22.9734,78.6569
Maharashtra,6817,840,301,2020-04-25,19.7515,75.7139
Manipur,2,2,0,2020-04-25,24.6637,93.9063
Meghalaya,12,0,1,2020-04-25,25.467,91.3662
Mizoram,1,0,0,2020-04-25,23.1645,92.9376
Odisha,94,33,1,2020-04-25,20.9517,85.0985
Puducherry,7,3,0,2020-04-25,11.9416,79.8083
Punjab,298,67,17,2020-04-25,31.1471,75.3412
Rajasthan,2034,230,27,2020-04-25,27.0238,74.2179
Tamil Nadu,1755,866,22,2020-04-25,11.1271,78.6569
Telengana,984,253,26,2020-04-25,18.1124,79.0193
Tripura,2,1,0,2020-04-25,23.9408,91.9882
Uttarakhand,48,25,0,2020-04-25,30.0668,79.0193
Uttar Pradesh,1621,247,25,2020-04-25,26.8467,80.9462
West Bengal,571,103,18,2020-04-25,22.9868,87.855
