States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,33,2020-06-01,11.7401,92.6586
Andhra Pradesh,2349,62,3679,2020-06-01,15.9129,79.74
Arunachal Pradesh,1,0,4,2020-06-01,28.218,94.7278
Assam,185,4,1272,2020-06-01,26.2006,92.9376
Bihar,1710,21,3815,2020-06-01,25.0961,85.3131
Chandigarh,199,4,293,2020-06-01,30.7333,76.7794
Chhattisgarh,115,1,498,2020-06-01,21.2787,81.8661
Dadar Nagar Haveli,0,0,2,2020-06-01,,
Delhi,8478,473,19844,2020-06-01,28.7041,77.1025
Goa,42,0,70,2020-06-01,15.2993,74.124
Gujarat,9919,1038,16779,2020-06-01,22.2587,71.1924
Haryana,1048,20,2091,2020-06-01,29.0588,76.0856
Himachal Pradesh,120,5,331,2020-06-01,31.1048,77.1734
Jammu and Kashmir,927,28,2446,2020-06-01,33.7782,76.5762
Jharkhand,256,5,610,2020-06-01,23.6102,85.2799
Karnataka,1218,51,3221,2020-06-01,15.3173,75.7139
Kerala,590,9,1269,2020-06-01,10.8505,76.2711
Ladakh,43,0,74,2020-06-01,34.2996,78.2932
Madhya Pradesh,4842,350,8089,2020-06-01,22.9734,78.6569
Maharashtra,29329,2286,67655,2020-06-01,19.7515,75.7139
Manipur,11,0,71,2020-06-01,24.6637,93.9063
Meghalaya,12,1,27,2020-06-01,25.467,91.3662
Mizoram,1,0,1,2020-06-01,23.1645,92.9376
Nagaland,0,0,43,2020-06-01,26.1584,94.5624
Odisha,1126,7,1948,2020-06-01,20.9517,85.0985
Puducherry,25,0,70,2020-06-01,11.9416,79.8083
Punjab,1987,45,2263,2020-06-01,31.1471,75.3412
Rajasthan,5927,194,8831,2020-06-01,27.0238,74.2179
Sikkim,0,0,1,2020-06-01,,
Tamil Nadu,12757,173,22333,2020-06-01,11.1271,78.6569
Telengana,1428,82,2698,2020-06-01,18.1124,79.0193
Tripura,173,0,313,2020-06-01,23.9408,91.9882
Uttarakhand,102,5,907,2020-06-01,30.0668,79.0193
Uttar Pradesh,4709,213,7823,2020-06-01,26.8467,80.9462
West Bengal,2157,317,5501,2020-06-01,22.9868,87.855
