States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,16,0,2020-05-02,11.7401,92.6586
Andhra Pradesh,1463,403,33,2020-05-02,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-02,28.218,94.7278
Assam,43,32,1,2020-05-02,26.2006,92.9376
Bihar,471,98,3,2020-05-02,25.0961,85.3131
Chandigarh,88,17,0,2020-05-02,30.7333,76.7794
Chhattisgarh,43,36,0,2020-05-02,21.2787,81.8661
Delhi,3738,1167,61,2020-05-02,28.7041,77.1025
Goa,7,7,0,2020-05-02,15.2993,74.124
Gujarat,4721,735,236,2020-05-02,22.2587,71.1924
Haryana,360,227,4,2020-05-02,29.0588,76.0856
Himachal Pradesh,40,30,1,2020-05-02,31.1048,77.1734
Jammu and Kashmir,639,247,8,2020-05-02,33.7782,76.5762
Jharkhand,111,20,3,2020-05-02,23.6102,85.2799
Karnataka,589,251,22,2020-05-02,15.3173,75.7139
Kerala,497,392,4,2020-05-02,10.8505,76.2711
Ladakh,22,17,0,2020-05-02,34.2996,78.2932
Madhya Pradesh,2719,524,145,2020-05-02,22.9734,78.6569
Maharashtra,11506,1879,485,2020-05-02,19.7515,75.7139
Manipur,2,2,0,2020-05-02,24.6637,93.9063
Meghalaya,12,0,1,2020-05-02,25.467,91.3662
Mizoram,1,0,0,2020-05-02,23.1645,92.9376
Odisha,149,55,1,2020-05-02,20.9517,85.0985
Puducherry,8,5,0,2020-05-02,11.9416,79.8083
Punjab,480,90,19,2020-05-02,31.1471,75.3412
Rajasthan,2666,1116,62,2020-05-02,27.0238,74.2179
Tamil Nadu,2526,1312,28,2020-05-02,11.1271,78.6569
Telengana,1039,441,26,2020-05-02,18.1124,79.0193
Tripura,2,2,0,2020-05-02,23.9408,91.9882
Uttarakhand,58,36,0,2020-05-02,30.0668,79.0193
Uttar Pradesh,2328,654,42,2020-05-02,26.8467,80.9462
West Bengal,795,139,33,2020-05-02,22.9868,87.855
