States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,11,0,2020-04-28,11.7401,92.6586
Andhra Pradesh,1183,235,31,2020-04-28,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-28,28.218,94.7278
Assam,36,27,1,2020-04-28,26.2006,92.9376
Bihar,345,57,2,2020-04-28,25.0961,85.3131
Chandigarh,40,17,0,2020-04-28,30.7333,76.7794
Chhattisgarh,37,32,0,2020-04-28,21.2787,81.8661
Delhi,3108,877,54,2020-04-28,28.7041,77.1025
Goa,7,7,0,2020-04-28,15.2993,74.124
Gujarat,3548,394,162,2020-04-28,22.2587,71.1924
Haryana,296,183,3,2020-04-28,29.0588,76.0856
Himachal Pradesh,40,22,1,2020-04-28,31.1048,77.1734
Jammu and Kashmir,546,164,7,2020-04-28,33.7782,76.5762
Jharkhand,82,13,3,2020-04-28,23.6102,85.2799
Karnataka,512,193,20,2020-04-28,15.3173,75.7139
Kerala,481,355,4,2020-04-28,10.8505,76.2711
Ladakh,20,14,0,2020-04-28,34.2996,78.2932
Madhya Pradesh,2168,302,110,2020-04-28,22.9734,78.6569
Maharashtra,8590,1282,369,2020-04-28,19.7515,75.7139
Manipur,2,2,0,2020-04-28,24.6637,93.9063
Meghalaya,12,0,1,2020-04-28,25.467,91.3662
Mizoram,1,0,0,2020-04-28,23.1645,92.9376
Odisha,118,37,1,2020-04-28,20.9517,85.0985
Puducherry,8,3,0,2020-04-28,11.9416,79.8083
Punjab,313,71,18,2020-04-28,31.1471,75.3412
Rajasthan,2262,669,46,2020-04-28,27.0238,74.2179
Tamil Nadu,1937,1101,24,2020-04-28,11.1271,78.6569
Telengana,1004,321,26,2020-04-28,18.1124,79.0193
Tripura,2,2,0,2020-04-28,23.9408,91.9882
Uttarakhand,51,33,0,2020-04-28,30.0668,79.0193
Uttar Pradesh,1955,335,31,2020-04-28,26.8467,80.9462
West Bengal,697,109,20,2020-04-28,22.9868,87.855
