States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,142,0,194,2020-07-18,11.7401,92.6586
Andhra Pradesh,20298,534,40646,2020-07-18,15.9129,79.74
Arunachal Pradesh,175,3,609,2020-07-18,28.218,94.7278
Assam,14105,51,20646,2020-07-18,26.2006,92.9376
Bihar,14621,201,23589,2020-07-18,25.0961,85.3131
Chandigarh,480,11,660,2020-07-18,30.7333,76.7794
Chhattisgarh,3512,23,4964,2020-07-18,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,401,2,585,2020-07-18,,
Delhi,99301,3571,120107,2020-07-18,28.7041,77.1025
Goa,1946,21,3304,2020-07-18,15.2993,74.124
Gujarat,32973,2106,46430,2020-07-18,22.2587,71.1924
Haryana,18718,327,24797,2020-07-18,29.0588,76.0856
Himachal Pradesh,1024,11,1417,2020-07-18,31.1048,77.1734
Jammu and Kashmir,6558,231,12757,2020-07-18,33.7782,76.5762
Jharkhand,2570,46,4921,2020-07-18,23.6102,85.2799
Karnataka,20757,1147,55115,2020-07-18,15.3173,75.7139
Kerala,4995,38,11066,2020-07-18,10.8505,76.2711
Ladakh,973,1,1151,2020-07-18,34.2996,78.2932
Madhya Pradesh,14514,697,21081,2020-07-18,22.9734,78.6569
Maharashtra,160357,11452,292589,2020-07-18,19.7515,75.7139
Manipur,1163,0,1800,2020-07-18,24.6637,93.9063
Meghalaya,66,2,403,2020-07-18,25.467,91.3662
Mizoram,160,0,282,2020-07-18,23.1645,92.9376
Nagaland,405,0,956,2020-07-18,26.1584,94.5624
Odisha,11330,83,16110,2020-07-18,20.9517,85.0985
Puducherry,1014,25,1832,2020-07-18,11.9416,79.8083
Punjab,6373,239,9442,2020-07-18,31.1471,75.3412
Rajasthan,20626,546,27789,2020-07-18,27.0238,74.2179
Sikkim,90,0,266,2020-07-18,,
Tamil Nadu,110807,2315,160907,2020-07-18,11.1271,78.6569
Telangana,28705,403,42496,2020-07-18,,
Tripura,1684,3,2366,2020-07-18,23.9408,91.9882
Uttarakhand,3021,51,4102,2020-07-18,30.0668,79.0193
Uttar Pradesh,27634,1084,45163,2020-07-18,26.8467,80.9462
West Bengal,22253,1049,38011,2020-07-18,22.9868,87.855
