States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,38,2020-06-13,11.7401,92.6586
Andhra Pradesh,3105,80,5680,2020-06-13,15.9129,79.74
Arunachal Pradesh,4,0,67,2020-06-13,28.218,94.7278
Assam,1537,8,3498,2020-06-13,26.2006,92.9376
Bihar,3587,36,6103,2020-06-13,25.0961,85.3131
Chandigarh,286,5,334,2020-06-13,30.7333,76.7794
Chhattisgarh,550,6,1429,2020-06-13,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,2,0,30,2020-06-13,,
Delhi,13398,1214,36824,2020-06-13,28.7041,77.1025
Goa,69,0,463,2020-06-13,15.2993,74.124
Gujarat,15493,1415,22527,2020-06-13,22.2587,71.1924
Haryana,2475,70,6334,2020-06-13,29.0588,76.0856
Himachal Pradesh,297,6,486,2020-06-13,31.1048,77.1734
Jammu and Kashmir,2086,53,4730,2020-06-13,33.7782,76.5762
Jharkhand,672,8,1617,2020-06-13,23.6102,85.2799
Karnataka,3440,79,6516,2020-06-13,15.3173,75.7139
Kerala,1000,19,2322,2020-06-13,10.8505,76.2711
Ladakh,62,1,239,2020-06-13,34.2996,78.2932
Madhya Pradesh,7201,440,10443,2020-06-13,22.9734,78.6569
Maharashtra,47796,3717,101141,2020-06-13,19.7515,75.7139
Manipur,77,0,385,2020-06-13,24.6637,93.9063
Meghalaya,22,1,44,2020-06-13,25.467,91.3662
Mizoram,1,0,104,2020-06-13,23.1645,92.9376
Nagaland,49,0,156,2020-06-13,26.1584,94.5624
Odisha,2474,10,3498,2020-06-13,20.9517,85.0985
Puducherry,67,2,157,2020-06-13,11.9416,79.8083
Punjab,2282,63,2986,2020-06-13,31.1471,75.3412
Rajasthan,8898,272,12068,2020-06-13,27.0238,74.2179
Sikkim,2,0,63,2020-06-13,,
Tamil Nadu,22047,367,40698,2020-06-13,11.1271,78.6569
Telangana,2278,174,4484,2020-06-13,,
Tripura,278,1,961,2020-06-13,23.9408,91.9882
Uttarakhand,947,21,1724,2020-06-13,30.0668,79.0193
Uttar Pradesh,7609,365,12616,2020-06-13,26.8467,80.9462
West Bengal,4206,451,10244,2020-06-13,22.9868,87.855
