States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-19,11.7401,92.6586
Andhra Pradesh,2474,1552,50,2020-05-19,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-19,28.218,94.7278
Assam,107,41,2,2020-05-19,26.2006,92.9376
Bihar,1391,494,9,2020-05-19,25.0961,85.3131
Chandigarh,196,54,3,2020-05-19,30.7333,76.7794
Chhattisgarh,93,59,0,2020-05-19,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-19,,
Delhi,10054,4485,168,2020-05-19,28.7041,77.1025
Goa,38,7,0,2020-05-19,15.2993,74.124
Gujarat,11745,4804,694,2020-05-19,22.2587,71.1924
Haryana,928,598,14,2020-05-19,29.0588,76.0856
Himachal Pradesh,90,44,3,2020-05-19,31.1048,77.1734
Jammu and Kashmir,1289,609,15,2020-05-19,33.7782,76.5762
Jharkhand,223,113,3,2020-05-19,23.6102,85.2799
Karnataka,1246,530,37,2020-05-19,15.3173,75.7139
Kerala,630,497,4,2020-05-19,10.8505,76.2711
Ladakh,43,41,0,2020-05-19,34.2996,78.2932
Madhya Pradesh,5236,2435,252,2020-05-19,22.9734,78.6569
Maharashtra,35058,8437,1249,2020-05-19,19.7515,75.7139
Manipur,7,2,0,2020-05-19,24.6637,93.9063
Meghalaya,13,11,1,2020-05-19,25.467,91.3662
Mizoram,1,1,0,2020-05-19,23.1645,92.9376
Odisha,876,220,4,2020-05-19,20.9517,85.0985
Puducherry,18,9,1,2020-05-19,11.9416,79.8083
Punjab,1980,1547,37,2020-05-19,31.1471,75.3412
Rajasthan,5507,3218,138,2020-05-19,27.0238,74.2179
Tamil Nadu,11760,4406,81,2020-05-19,11.1271,78.6569
Telengana,1597,1000,35,2020-05-19,18.1124,79.0193
Tripura,167,85,0,2020-05-19,23.9408,91.9882
Uttarakhand,93,52,1,2020-05-19,30.0668,79.0193
Uttar Pradesh,4605,2783,118,2020-05-19,26.8467,80.9462
West Bengal,2825,1006,244,2020-05-19,22.9868,87.855
