States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,145,0,203,2020-07-20,11.7401,92.6586
Andhra Pradesh,22890,642,49650,2020-07-20,15.9129,79.74
Arunachal Pradesh,282,3,740,2020-07-20,28.218,94.7278
Assam,16023,57,23999,2020-07-20,26.2006,92.9376
Bihar,16308,217,26569,2020-07-20,25.0961,85.3131
Chandigarh,488,12,717,2020-07-20,30.7333,76.7794
Chhattisgarh,3775,24,5407,2020-07-20,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,414,2,605,2020-07-20,,
Delhi,103134,3628,122793,2020-07-20,28.7041,77.1025
Goa,2218,22,3657,2020-07-20,15.2993,74.124
Gujarat,34901,2142,48355,2020-07-20,22.2587,71.1924
Haryana,19793,349,26164,2020-07-20,29.0588,76.0856
Himachal Pradesh,1059,11,1483,2020-07-20,31.1048,77.1734
Jammu and Kashmir,7811,244,13899,2020-07-20,33.7782,76.5762
Jharkhand,2716,49,5535,2020-07-20,23.6102,85.2799
Karnataka,23065,1331,63772,2020-07-20,15.3173,75.7139
Kerala,5371,42,12480,2020-07-20,10.8505,76.2711
Ladakh,1003,2,1178,2020-07-20,34.2996,78.2932
Madhya Pradesh,15311,721,22600,2020-07-20,22.9734,78.6569
Maharashtra,169569,11854,310455,2020-07-20,19.7515,75.7139
Manipur,1213,0,1911,2020-07-20,24.6637,93.9063
Meghalaya,66,2,450,2020-07-20,25.467,91.3662
Mizoram,167,0,284,2020-07-20,23.1645,92.9376
Nagaland,445,0,988,2020-07-20,26.1584,94.5624
Odisha,12453,91,17437,2020-07-20,20.9517,85.0985
Puducherry,1154,28,1999,2020-07-20,11.9416,79.8083
Punjab,6535,254,10100,2020-07-20,31.1471,75.3412
Rajasthan,21730,559,29434,2020-07-20,27.0238,74.2179
Sikkim,92,0,283,2020-07-20,,
Tamil Nadu,117915,2481,170693,2020-07-20,11.1271,78.6569
Telangana,32438,415,45076,2020-07-20,,
Tripura,1759,5,2878,2020-07-20,23.9408,91.9882
Uttarakhand,3116,52,4515,2020-07-20,30.0668,79.0193
Uttar Pradesh,29845,1146,49247,2020-07-20,26.8467,80.9462
