States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,18,11,0,2020-04-23,11.7401,92.6586
Andhra Pradesh,813,120,24,2020-04-23,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-23,28.218,94.7278
Assam,35,19,1,2020-04-23,26.2006,92.9376
Bihar,143,46,2,2020-04-23,25.0961,85.3131
Chandigarh,27,14,0,2020-04-23,30.7333,76.7794
Chhattisgarh,36,26,0,2020-04-23,21.2787,81.8661
Delhi,2248,724,48,2020-04-23,28.7041,77.1025
Goa,7,7,0,2020-04-23,15.2993,74.124
Gujarat,2407,179,103,2020-04-23,22.2587,71.1924
Haryana,262,140,3,2020-04-23,29.0588,76.0856
Himachal Pradesh,40,18,1,2020-04-23,31.1048,77.1734
Jammu and Kashmir,407,92,5,2020-04-23,33.7782,76.5762
Jharkhand,49,8,3,2020-04-23,23.6102,85.2799
Karnataka,427,131,17,2020-04-23,15.3173,75.7139
Kerala,438,323,3,2020-04-23,10.8505,76.2711
Ladakh,18,14,0,2020-04-23,34.2996,78.2932
Madhya Pradesh,1592,148,80,2020-04-23,22.9734,78.6569
Maharashtra,5652,789,269,2020-04-23,19.7515,75.7139
Manipur,2,2,0,2020-04-23,24.6637,93.9063
Meghalaya,12,0,1,2020-04-23,25.467,91.3662
Mizoram,1,0,0,2020-04-23,23.1645,92.9376
Odisha,83,32,1,2020-04-23,20.9517,85.0985
Puducherry,7,3,0,2020-04-23,11.9416,79.8083
Punjab,251,49,16,2020-04-23,31.1471,75.3412
Rajasthan,1890,230,27,2020-04-23,27.0238,74.2179
Tamil Nadu,1629,662,18,2020-04-23,11.1271,78.6569
Telengana,945,194,23,2020-04-23,18.1124,79.0193
Tripura,2,1,0,2020-04-23,23.9408,91.9882
Uttarakhand,46,23,0,2020-04-23,30.0668,79.0193
Uttar Pradesh,1449,173,21,2020-04-23,26.8467,80.9462
West Bengal,456,79,15,2020-04-23,22.9868,87.855
