States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-21,11.7401,92.6586
Andhra Pradesh,2602,1640,53,2020-05-21,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-21,28.218,94.7278
Assam,170,48,4,2020-05-21,26.2006,92.9376
Bihar,1674,571,10,2020-05-21,25.0961,85.3131
Chandigarh,202,57,3,2020-05-21,30.7333,76.7794
Chhattisgarh,115,59,0,2020-05-21,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-21,,
Delhi,11088,5192,176,2020-05-21,28.7041,77.1025
Goa,50,7,0,2020-05-21,15.2993,74.124
Gujarat,12537,5219,749,2020-05-21,22.2587,71.1924
Haryana,993,648,14,2020-05-21,29.0588,76.0856
Himachal Pradesh,110,54,3,2020-05-21,31.1048,77.1734
Jammu and Kashmir,1390,678,18,2020-05-21,33.7782,76.5762
Jharkhand,231,127,3,2020-05-21,23.6102,85.2799
Karnataka,1462,556,41,2020-05-21,15.3173,75.7139
Kerala,666,502,4,2020-05-21,10.8505,76.2711
Ladakh,44,43,0,2020-05-21,34.2996,78.2932
Madhya Pradesh,5735,2733,267,2020-05-21,22.9734,78.6569
Maharashtra,39297,10318,1390,2020-05-21,19.7515,75.7139
Manipur,25,2,0,2020-05-21,24.6637,93.9063
Meghalaya,14,12,1,2020-05-21,25.467,91.3662
Mizoram,1,1,0,2020-05-21,23.1645,92.9376
Odisha,1052,307,6,2020-05-21,20.9517,85.0985
Puducherry,18,9,0,2020-05-21,11.9416,79.8083
Punjab,2005,1794,38,2020-05-21,31.1471,75.3412
Rajasthan,6015,3404,147,2020-05-21,27.0238,74.2179
Tamil Nadu,13191,5882,87,2020-05-21,11.1271,78.6569
Telengana,1661,1015,40,2020-05-21,18.1124,79.0193
Tripura,173,133,0,2020-05-21,23.9408,91.9882
Uttarakhand,122,53,1,2020-05-21,30.0668,79.0193
Uttar Pradesh,5175,3066,127,2020-05-21,26.8467,80.9462
West Bengal,3103,1136,253,2020-05-21,22.9868,87.855
