States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,32,0,2020-05-06,11.7401,92.6586
Andhra Pradesh,1717,589,36,2020-05-06,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-06,28.218,94.7278
Assam,43,32,1,2020-05-06,26.2006,92.9376
Bihar,536,142,4,2020-05-06,25.0961,85.3131
Chandigarh,111,21,1,2020-05-06,30.7333,76.7794
Chhattisgarh,59,36,0,2020-05-06,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-06,,
Delhi,5104,1468,64,2020-05-06,28.7041,77.1025
Goa,7,7,0,2020-05-06,15.2993,74.124
Gujarat,6245,1381,368,2020-05-06,22.2587,71.1924
Haryana,548,256,6,2020-05-06,29.0588,76.0856
Himachal Pradesh,42,38,2,2020-05-06,31.1048,77.1734
Jammu and Kashmir,741,320,8,2020-05-06,33.7782,76.5762
Jharkhand,125,33,3,2020-05-06,23.6102,85.2799
Karnataka,671,331,29,2020-05-06,15.3173,75.7139
Kerala,502,462,4,2020-05-06,10.8505,76.2711
Ladakh,41,17,0,2020-05-06,34.2996,78.2932
Madhya Pradesh,3049,1000,176,2020-05-06,22.9734,78.6569
Maharashtra,15525,2819,617,2020-05-06,19.7515,75.7139
Manipur,2,2,0,2020-05-06,24.6637,93.9063
Meghalaya,12,10,1,2020-05-06,25.467,91.3662
Mizoram,1,0,0,2020-05-06,23.1645,92.9376
Odisha,175,60,1,2020-05-06,20.9517,85.0985
Puducherry,9,6,0,2020-05-06,11.9416,79.8083
Punjab,1451,133,25,2020-05-06,31.1471,75.3412
Rajasthan,3158,1525,89,2020-05-06,27.0238,74.2179
Tamil Nadu,4058,1485,33,2020-05-06,11.1271,78.6569
Telengana,1096,585,29,2020-05-06,18.1124,79.0193
Tripura,43,2,0,2020-05-06,23.9408,91.9882
Uttarakhand,61,39,1,2020-05-06,30.0668,79.0193
Uttar Pradesh,2880,987,56,2020-05-06,26.8467,80.9462
