States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,32,0,2020-05-07,11.7401,92.6586
Andhra Pradesh,1777,729,36,2020-05-07,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-07,28.218,94.7278
Assam,45,32,1,2020-05-07,26.2006,92.9376
Bihar,542,188,4,2020-05-07,25.0961,85.3131
Chandigarh,120,21,1,2020-05-07,30.7333,76.7794
Chhattisgarh,59,36,0,2020-05-07,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-07,,
Delhi,5532,1542,65,2020-05-07,28.7041,77.1025
Goa,7,7,0,2020-05-07,15.2993,74.124
Gujarat,6625,1500,396,2020-05-07,22.2587,71.1924
Haryana,594,260,7,2020-05-07,29.0588,76.0856
Himachal Pradesh,45,38,2,2020-05-07,31.1048,77.1734
Jammu and Kashmir,775,322,8,2020-05-07,33.7782,76.5762
Jharkhand,127,37,3,2020-05-07,23.6102,85.2799
Karnataka,693,354,29,2020-05-07,15.3173,75.7139
Kerala,503,469,4,2020-05-07,10.8505,76.2711
Ladakh,41,17,0,2020-05-07,34.2996,78.2932
Madhya Pradesh,3138,1099,185,2020-05-07,22.9734,78.6569
Maharashtra,16758,3094,651,2020-05-07,19.7515,75.7139
Manipur,2,2,0,2020-05-07,24.6637,93.9063
Meghalaya,12,10,1,2020-05-07,25.467,91.3662
Mizoram,1,0,0,2020-05-07,23.1645,92.9376
Odisha,185,61,2,2020-05-07,20.9517,85.0985
Puducherry,9,6,0,2020-05-07,11.9416,79.8083
Punjab,1516,135,27,2020-05-07,31.1471,75.3412
Rajasthan,3317,1596,92,2020-05-07,27.0238,74.2179
Tamil Nadu,4829,1516,35,2020-05-07,11.1271,78.6569
Telengana,1107,628,29,2020-05-07,18.1124,79.0193
Tripura,43,2,0,2020-05-07,23.9408,91.9882
Uttarakhand,61,39,1,2020-05-07,30.0668,79.0193
Uttar Pradesh,2998,1130,60,2020-05-07,26.8467,80.9462
