States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,33,2020-06-04,11.7401,92.6586
Andhra Pradesh,2421,64,3898,2020-06-04,15.9129,79.74
Arunachal Pradesh,1,0,22,2020-06-04,28.218,94.7278
Assam,324,4,1513,2020-06-04,26.2006,92.9376
Bihar,1946,24,4155,2020-06-04,25.0961,85.3131
Chandigarh,214,5,301,2020-06-04,30.7333,76.7794
Chhattisgarh,130,1,564,2020-06-04,21.2787,81.8661
Dadar Nagar Haveli,1,0,4,2020-06-04,,
Delhi,9243,556,22132,2020-06-04,28.7041,77.1025
Goa,57,0,79,2020-06-04,15.2993,74.124
Gujarat,11894,1092,17617,2020-06-04,22.2587,71.1924
Haryana,1069,23,2652,2020-06-04,29.0588,76.0856
Himachal Pradesh,140,5,345,2020-06-04,31.1048,77.1734
Jammu and Kashmir,953,33,2718,2020-06-04,33.7782,76.5762
Jharkhand,320,5,712,2020-06-04,23.6102,85.2799
Karnataka,1403,52,3796,2020-06-04,15.3173,75.7139
Kerala,627,11,1412,2020-06-04,10.8505,76.2711
Ladakh,47,1,81,2020-06-04,34.2996,78.2932
Madhya Pradesh,5221,364,8420,2020-06-04,22.9734,78.6569
Maharashtra,31333,2465,72300,2020-06-04,19.7515,75.7139
Manipur,14,0,89,2020-06-04,24.6637,93.9063
Meghalaya,12,1,27,2020-06-04,25.467,91.3662
Mizoram,1,0,13,2020-06-04,23.1645,92.9376
Nagaland,0,0,49,2020-06-04,26.1584,94.5624
Odisha,1325,7,2245,2020-06-04,20.9517,85.0985
Puducherry,25,0,82,2020-06-04,11.9416,79.8083
Punjab,2017,46,2342,2020-06-04,31.1471,75.3412
Rajasthan,6435,203,9373,2020-06-04,27.0238,74.2179
Sikkim,0,0,1,2020-06-04,,
Tamil Nadu,13706,197,24586,2020-06-04,11.1271,78.6569
Telengana,1526,92,2891,2020-06-04,18.1124,79.0193
Tripura,173,0,468,2020-06-04,23.9408,91.9882
Uttarakhand,252,7,1043,2020-06-04,30.0668,79.0193
Uttar Pradesh,5030,222,8361,2020-06-04,26.8467,80.9462
West Bengal,2410,335,6168,2020-06-04,22.9868,87.855
