States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-18,11.7401,92.6586
Andhra Pradesh,2407,1456,50,2020-05-18,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-18,28.218,94.7278
Assam,101,41,2,2020-05-18,26.2006,92.9376
Bihar,1262,475,8,2020-05-18,25.0961,85.3131
Chandigarh,191,51,3,2020-05-18,30.7333,76.7794
Chhattisgarh,86,59,0,2020-05-18,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-18,,
Delhi,10054,4485,160,2020-05-18,28.7041,77.1025
Goa,29,7,0,2020-05-18,15.2993,74.124
Gujarat,11379,4499,659,2020-05-18,22.2587,71.1924
Haryana,910,562,14,2020-05-18,29.0588,76.0856
Himachal Pradesh,80,44,3,2020-05-18,31.1048,77.1734
Jammu and Kashmir,1183,575,13,2020-05-18,33.7782,76.5762
Jharkhand,223,113,3,2020-05-18,23.6102,85.2799
Karnataka,1147,509,37,2020-05-18,15.3173,75.7139
Kerala,601,497,4,2020-05-18,10.8505,76.2711
Ladakh,43,24,0,2020-05-18,34.2996,78.2932
Madhya Pradesh,4977,2403,248,2020-05-18,22.9734,78.6569
Maharashtra,33053,7688,1198,2020-05-18,19.7515,75.7139
Manipur,7,2,0,2020-05-18,24.6637,93.9063
Meghalaya,13,11,1,2020-05-18,25.467,91.3662
Mizoram,1,1,0,2020-05-18,23.1645,92.9376
Odisha,828,220,4,2020-05-18,20.9517,85.0985
Puducherry,13,9,1,2020-05-18,11.9416,79.8083
Punjab,1964,1366,35,2020-05-18,31.1471,75.3412
Rajasthan,5202,2992,131,2020-05-18,27.0238,74.2179
Tamil Nadu,11224,4172,78,2020-05-18,11.1271,78.6569
Telengana,1551,992,34,2020-05-18,18.1124,79.0193
Tripura,167,85,0,2020-05-18,23.9408,91.9882
Uttarakhand,92,52,1,2020-05-18,30.0668,79.0193
Uttar Pradesh,4259,2441,104,2020-05-18,26.8467,80.9462
West Bengal,2677,959,238,2020-05-18,22.9868,87.855
