States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,43,0,72,2020-06-28,11.7401,92.6586
Andhra Pradesh,5480,157,12285,2020-06-28,15.9129,79.74
Arunachal Pradesh,54,1,177,2020-06-28,28.218,94.7278
Assam,4500,9,6816,2020-06-28,26.2006,92.9376
Bihar,6843,59,8931,2020-06-28,25.0961,85.3131
Chandigarh,335,6,428,2020-06-28,30.7333,76.7794
Chhattisgarh,1914,13,2545,2020-06-28,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,55,0,177,2020-06-28,,
Delhi,49301,2558,80188,2020-06-28,28.7041,77.1025
Goa,420,2,1128,2020-06-28,15.2993,74.124
Gujarat,22409,1789,30709,2020-06-28,22.2587,71.1924
Haryana,8472,218,13427,2020-06-28,29.0588,76.0856
Himachal Pradesh,509,9,894,2020-06-28,31.1048,77.1734
Jammu and Kashmir,4225,93,6966,2020-06-28,33.7782,76.5762
Jharkhand,1724,12,2339,2020-06-28,23.6102,85.2799
Karnataka,7287,191,11923,2020-06-28,15.3173,75.7139
Kerala,2110,22,4071,2020-06-28,10.8505,76.2711
Ladakh,554,1,960,2020-06-28,34.2996,78.2932
Madhya Pradesh,9971,550,12965,2020-06-28,22.9734,78.6569
Maharashtra,84245,7273,159133,2020-06-28,19.7515,75.7139
Manipur,432,0,1092,2020-06-28,24.6637,93.9063
Meghalaya,42,1,47,2020-06-28,25.467,91.3662
Mizoram,55,0,148,2020-06-28,23.1645,92.9376
Nagaland,164,0,387,2020-06-28,26.1584,94.5624
Odisha,4606,18,6350,2020-06-28,20.9517,85.0985
Puducherry,221,10,619,2020-06-28,11.9416,79.8083
Punjab,3320,128,5056,2020-06-28,31.1471,75.3412
Rajasthan,13367,391,16944,2020-06-28,27.0238,74.2179
Sikkim,46,0,87,2020-06-28,,
Tamil Nadu,44094,1025,78335,2020-06-28,11.1271,78.6569
Telangana,4928,243,13436,2020-06-28,,
Tripura,1071,1,1334,2020-06-28,23.9408,91.9882
Uttarakhand,1912,37,2791,2020-06-28,30.0668,79.0193
Uttar Pradesh,14215,649,21549,2020-06-28,26.8467,80.9462
West Bengal,10789,629,16711,2020-06-28,22.9868,87.855
