States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,44,2020-06-18,11.7401,92.6586
Andhra Pradesh,3641,90,7071,2020-06-18,15.9129,79.74
Arunachal Pradesh,7,0,99,2020-06-18,28.218,94.7278
Assam,2642,8,4605,2020-06-18,26.2006,92.9376
Bihar,4926,44,6942,2020-06-18,25.0961,85.3131
Chandigarh,303,6,368,2020-06-18,30.7333,76.7794
Chhattisgarh,1180,10,1864,2020-06-18,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,12,0,57,2020-06-18,,
Delhi,17457,1904,47102,2020-06-18,28.7041,77.1025
Goa,96,0,656,2020-06-18,15.2993,74.124
Gujarat,17430,1560,25093,2020-06-18,22.2587,71.1924
Haryana,3952,130,8832,2020-06-18,29.0588,76.0856
Himachal Pradesh,372,8,569,2020-06-18,31.1048,77.1734
Jammu and Kashmir,2914,65,5406,2020-06-18,33.7782,76.5762
Jharkhand,1151,10,1895,2020-06-18,23.6102,85.2799
Karnataka,4804,102,7734,2020-06-18,15.3173,75.7139
Kerala,1326,20,2697,2020-06-18,10.8505,76.2711
Ladakh,92,1,687,2020-06-18,34.2996,78.2932
Madhya Pradesh,8388,482,11244,2020-06-18,22.9734,78.6569
Maharashtra,59166,5651,116752,2020-06-18,19.7515,75.7139
Manipur,192,0,552,2020-06-18,24.6637,93.9063
Meghalaya,30,1,44,2020-06-18,25.467,91.3662
Mizoram,1,0,121,2020-06-18,23.1645,92.9376
Nagaland,103,0,193,2020-06-18,26.1584,94.5624
Odisha,3047,11,4338,2020-06-18,20.9517,85.0985
Puducherry,109,7,245,2020-06-18,11.9416,79.8083
Punjab,2538,78,3497,2020-06-18,31.1471,75.3412
Rajasthan,10467,313,13542,2020-06-18,27.0238,74.2179
Sikkim,4,0,70,2020-06-18,,
Tamil Nadu,27624,576,50193,2020-06-18,11.1271,78.6569
Telangana,3071,192,5675,2020-06-18,,
Tripura,556,1,1135,2020-06-18,23.9408,91.9882
Uttarakhand,1254,26,2023,2020-06-18,30.0668,79.0193
Uttar Pradesh,8904,435,14598,2020-06-18,26.8467,80.9462
West Bengal,6533,506,12300,2020-06-18,22.9868,87.855
