States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,43,0,56,2020-06-25,11.7401,92.6586
Andhra Pradesh,4779,124,10331,2020-06-25,15.9129,79.74
Arunachal Pradesh,38,0,158,2020-06-25,28.218,94.7278
Assam,3958,9,6198,2020-06-25,26.2006,92.9376
Bihar,6113,57,8209,2020-06-25,25.0961,85.3131
Chandigarh,323,6,420,2020-06-25,30.7333,76.7794
Chhattisgarh,1627,12,2419,2020-06-25,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,30,0,120,2020-06-25,,
Delhi,41437,2365,70390,2020-06-25,28.7041,77.1025
Goa,289,2,951,2020-06-25,15.2993,74.124
Gujarat,21088,1735,28943,2020-06-25,22.2587,71.1924
Haryana,6925,188,12010,2020-06-25,29.0588,76.0856
Himachal Pradesh,466,8,806,2020-06-25,31.1048,77.1734
Jammu and Kashmir,3818,88,6422,2020-06-25,33.7782,76.5762
Jharkhand,1570,11,2207,2020-06-25,23.6102,85.2799
Karnataka,6151,164,10118,2020-06-25,15.3173,75.7139
Kerala,1888,22,3603,2020-06-25,10.8505,76.2711
Ladakh,274,1,941,2020-06-25,34.2996,78.2932
Madhya Pradesh,9473,534,12448,2020-06-25,22.9734,78.6569
Maharashtra,73792,6739,142900,2020-06-25,19.7515,75.7139
Manipur,328,0,970,2020-06-25,24.6637,93.9063
Meghalaya,42,1,46,2020-06-25,25.467,91.3662
Mizoram,19,0,142,2020-06-25,23.1645,92.9376
Nagaland,148,0,347,2020-06-25,26.1584,94.5624
Odisha,4123,17,5752,2020-06-25,20.9517,85.0985
Puducherry,176,9,461,2020-06-25,11.9416,79.8083
Punjab,3099,113,4627,2020-06-25,31.1471,75.3412
Rajasthan,12611,375,16009,2020-06-25,27.0238,74.2179
Sikkim,39,0,84,2020-06-25,,
Tamil Nadu,37763,866,67468,2020-06-25,11.1271,78.6569
Telangana,4361,225,10444,2020-06-25,,
Tripura,897,1,1259,2020-06-25,23.9408,91.9882
Uttarakhand,1721,35,2623,2020-06-25,30.0668,79.0193
Uttar Pradesh,12586,596,19557,2020-06-25,26.8467,80.9462
West Bengal,9702,591,15173,2020-06-25,22.9868,87.855
