Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Congo (Kinshasa),2021-09-15 06:21:33,-4.0383,21.7587,56215,1068,,,62.766992799710906,,,1.8998487948056568,180,COD,2714,18
Costa Rica,2021-09-15 06:21:33,9.7489,-83.7534,496736,5851,,,9751.175572435168,,,1.1778892610964375,188,CRI,62655,582
Cote d'Ivoire,2021-09-15 06:21:33,7.54,-5.5471,58226,534,,,220.7346765472724,,,0.9171160649881496,384,CIV,5643,169
Croatia,2021-09-15 06:21:33,45.1,15.2,385056,8456,,,9379.558167700623,,,2.196044211751018,191,HRV,17647,168
Cuba,2021-09-15 06:21:33,21.521757,-77.78116700000002,761060,6449,,,6719.21781404084,,,0.8473707723438362,192,CUB,224451,2293
Cyprus,2021-09-15 06:21:33,35.1264,33.4299,116494,534,,,9648.64692498764,,,0.4583927069205281,196,CYP,6829,70
Czechia,2021-09-15 06:21:33,49.8175,15.473,1683802,30416,,,15723.268560914565,,,1.8063881620285518,203,CZE,7284,40
Denmark,2021-09-15 06:21:33,56.2639,9.5018,354511,2616,,,6120.486453945071,,,0.7379178643257897,208,DNK,20639,52
Diamond Princess,2021-09-15 06:21:33,,,712,13,,,,,,1.8258426966292132,9999,,0,0
Djibouti,2021-09-15 06:21:33,11.8251,42.5903,11897,157,,,1204.147360025587,,,1.3196604185929226,262,DJI,208,1
Dominica,2021-09-15 06:21:33,15.415,-61.371,2634,8,,,3658.7906821686042,,,0.30372057706909644,212,DMA,1681,8
Dominican Republic,2021-09-15 06:21:33,18.7357,-70.1627,353887,4020,,,3262.2615391876625,,,1.1359558277077146,214,DOM,7377,35
Ecuador,2021-09-15 06:21:33,-1.8312,-78.1834,505628,32491,,,2865.8747405495424,,,6.425870402746684,218,ECU,11511,578
Egypt,2021-09-15 06:21:33,26.820553000000004,30.802498,293951,16895,,,287.245531690843,,,5.747556565550041,818,EGY,8374,265
El Salvador,2021-09-15 06:21:33,13.7942,-88.8965,99701,3043,,,1537.124736035778,,,3.052125856310368,222,SLV,9572,239
Equatorial Guinea,2021-09-15 06:21:33,1.6508,10.2679,10498,131,,,748.261741928816,,,1.2478567346161171,226,GNQ,1526,8
Eritrea,2021-09-15 06:21:33,15.1794,39.7823,6661,40,,,187.82284253982957,,,0.6005104338687884,232,ERI,52,3
Estonia,2021-09-15 06:21:33,58.5953,25.0136,147357,1313,,,11108.380530086186,,,0.8910333407981976,233,EST,9843,34
Eswatini,2021-09-15 06:21:33,-26.5225,31.4659,45084,1186,,,3886.0023238093927,,,2.630645018188271,748,SWZ,7823,235
Ethiopia,2021-09-15 06:21:33,9.145,40.4897,325379,5001,,,283.02788718754533,,,1.5369768792700205,231,ETH,34561,506
Fiji,2021-09-15 06:21:33,-17.7134,178.065,49244,539,,,5493.260036321287,,,1.0945495897977418,242,FJI,8067,134
Finland,2021-09-15 06:21:33,61.9241,25.7482,134305,1052,,,2423.9638256269313,,,0.7832917612896021,246,FIN,15658,46
France,2021-09-15 06:21:33,46.2276,2.2137,7007436,116454,,,10735.497118647454,,,1.661863197894351,250,FRA,425435,3275
Gabon,2021-09-15 06:21:33,-0.8037,11.6094,26903,173,,,1208.7281105328234,,,0.6430509608593837,266,GAB,1296,8
Gambia,2021-09-15 06:21:33,13.4432,-15.3101,9848,328,,,407.5038979353357,,,3.3306255077173033,270,GMB,653,57
