Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities
Kuldeep Rai Sharma,INC,0,Graduate Professional,52,132233012,Andaman And Nicobar Islands,80450870
Ayan Mandal,AITC,0,Graduate,30,7270440,Andaman And Nicobar Islands,1500000
C G Saji Kumar,All India Hindustan Congress Party,0,12th Pass,48,120000,Andaman And Nicobar Islands,0
C U Rasheed,IND,0,12th Pass,34,202808,Andaman And Nicobar Islands,1700000
Gour Chandra Majumder,IND,0,Graduate,52,6062000,Andaman And Nicobar Islands,0
Henry,IND,0,10th Pass,50,56459,Andaman And Nicobar Islands,0
K Kalimuthu,IND,0,8th Pass,66,5850000,Andaman And Nicobar Islands,0
K Venkat Ram Babu,IND,0,10th Pass,45,352000,Andaman And Nicobar Islands,0
Minati Biswas,IND,0,8th Pass,51,3198500,Andaman And Nicobar Islands,400000
Paritosh Kumar Haldar,IND,0,Post Graduate,61,19916000,Andaman And Nicobar Islands,1311000
Prakash Minj,BSP,0,Post Graduate,43,1250000,Andaman And Nicobar Islands,240000
S Sudershan Rao,IND,0,Doctorate,58,8760000,Andaman And Nicobar Islands,8000000
Sanjay Meshack,AAP,0,12th Pass,49,99887782,Andaman And Nicobar Islands,1791076
V V Khalid,IND,0,8th Pass,51,1512000,Andaman And Nicobar Islands,350000
Vishal Jolly,BJP, 1 ,Graduate Professional,46,85140573,Andaman And Nicobar Islands,4633914
Chinta Anuradha,YSRCP,0,Graduate,46,85993362,Amalapuram,2431407
Ganti Harish Madhur,TDP,0,Graduate Professional,30,73049918,Amalapuram,1537488
Janga Goutham,INC,0,Graduate,49,14768500,Amalapuram,0
Manepalli Ayyaji Vema,BJP,0,Graduate Professional,59,6785061,Amalapuram,0
Mojas Raja Sekhar Duggirala,Janasena Party, 1 ,Post Graduate,59,28930012,Amalapuram,0
Mortha Sivarama Krishna,Pyramid Party of India,0,Graduate,29,Nil,Amalapuram,0
Muralikrishna Kanderi,India Praja Bandhu Party,0,Others,41,12796,Amalapuram,0
Panthagada Vijaya Chakravarthy,RPI(Khobragade),0,Post Graduate,65,550000,Amalapuram,0
Rajani Chelle,Jana Jagruti Party,0,Graduate,30,261767,Amalapuram,0
Revu Sudhakar,IND,0,10th Pass,34,11000,Amalapuram,0
Dr.Beesetti Venkata Satyavathi,YSRCP,0,Graduate Professional,52,91526244,Anakapalle,11139279
Adari Anand Kumar,TDP,0,10th Pass,43,410547212,Anakapalle,205591400
Appala Naidu Tummagonta,IND,0,10th Pass,38,Nil,Anakapalle,0
Chintala Partha Sarathi,Janasena Party,0,Post Graduate,56,335308506,Anakapalle,110928567
Dr Gandi Venkata Satyanarayana Rao,BJP,0,Post Graduate,65,57688924,Anakapalle,9497894
K B Swaroop,Jana Jagruti Party,0,Graduate Professional,51,24454500,Anakapalle,0
P.S.Ajay Kumar,CPI(ML)(L), 3 ,Post Graduate,57,1258000,Anakapalle,0
Ruthala Srirama Murthy,INC,0,Graduate Professional,49,27611641,Anakapalle,0
Taadi Veera Jagadeeshwari,Pyramid Party of India,0,5th Pass,65,286242307,Anakapalle,318680
Vadlamuri Krishna Swaroop,Dalita Bahujana Party,0,Post Graduate,46,16500,Anakapalle,0
Talari Rangaiah,YSRCP, 2 ,Doctorate,48,11773091,Anantapur,1135547
G. Lalitha,SUCI(C),0,Graduate,56,1279676,Anantapur,0
Giddama Ranganayakulu,Vishwa Jana Party,0,Post Graduate,43,661000,Anantapur,0
Hamsa Devineni,BJP,0,Post Graduate,33,8762212,Anantapur,1700000
Jagadeesh Devaragudi,CPI, 9 ,8th Pass,58,25613277,Anantapur,2761973
Juturu Chinna Reddy Pavan Reddy,TDP,0,Graduate,46,373887429,Anantapur,84550726
K Rajiv Reddy,INC,0,Graduate Professional,30,7264263,Anantapur,1700000
Lingutla Rangaiah,IND,0,5th Pass,70,208000,Anantapur,40000
M.Venkatesulu,Pyramid Party of India,0,10th Pass,49,2345567,Anantapur,312273
Padchuri Radha Krishna,Radical Democrats Party,0,Graduate,40,1045000,Anantapur,0
Pothuru Rangaiah,IND,0,8th Pass,48,1509000,Anantapur,130000
Somanath Deshmukh,IND,0,10th Pass,50,9327000,Anantapur,300000
Vadde Kasinath,IND,0,Others,28,1054611,Anantapur,350000
Viswa Prasad Yadav Sankireddy	,IND,0,Post Graduate,51,4165000,Anantapur,0
Goddeti Madhavi,YSRCP,0,Graduate Professional,26,141179,Araku,0
Anumula Vamsi Krishna,IND,0,Post Graduate,41,50000,Araku,100000
Biddika Ramaiah,IND,0,Illiterate,57,415000,Araku,0
Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,BJP,0,Doctorate,54,11443485,Araku,2200000
Kangala Baladora,IND,0,Illiterate,61,340500,Araku,0
Narava Satyavathi,IND,0,10th Pass,37,964000,Araku,0
Shruti Devi Vyricherla,INC,0,Graduate Professional,46,23592023,Araku,0
Swamula Subrahamanyam,Jana Jagruti Party,0,Graduate,50,2100000,Araku,870000
Vampuru Gangulaiah,Janasena Party, 3 ,10th Pass,49,2567059,Araku,320000
Vyricherla Kishore Chandra Suryanarayana Deo,TDP,0,Post Graduate,72,65729020,Araku,0
Suresh Babu Nandigam,YSRCP,0,8th Pass,43,4158610,Bapatla,269000
Bussa Nagaraju,IND, 1 ,Others,29,194000,Bapatla,0
Challagali Kishore Kumar,BJP, 1 ,Graduate Professional,43,3185877,Bapatla,0
China Nageswara Rao Sadhu,Mundadugu Praja Party,0,Post Graduate,35,1259090,Bapatla,196000
Gadde Haribabu,Navodayam Party,0,Graduate,40,20000,Bapatla,100000
Gella Nagamalli,IND,0,Graduate Professional,34,448500,Bapatla,465000
Golla Baburao,IND,0,Post Graduate,46,78000,Bapatla,0
Jesudasu Seelam,INC,0,Post Graduate,67,126397634,Bapatla,8342498
Kanthiraj Devanand,BSP,0,Post Graduate,64,34436000,Bapatla,1200000
Kattepogu Vijay Kumar,Pyramid Party of India,0,5th Pass,53,454000,Bapatla,0
Malyadri Sriram,TDP,0,Post Graduate,65,42520353,Bapatla,598794
Nuthakki Rama Rao,All India Praja Party,0,Post Graduate,71,72376055,Bapatla,0
Thumati Ravi,All Peoples Party,0,Post Graduate,46,3418000,Bapatla,0
N. Reddeppa,YSRCP,0,Post Graduate,68,17355862,Chittoor,1341542
A. Hemanth,IND,0,5th Pass,28,50000,Chittoor,0
C. Punyamurthy,BSP, 4 ,Others,45,30323800,Chittoor,21635686
Cheemala. Rangappa,INC,0,Graduate Professional,60,12832000,Chittoor,0
Jayaram Duggani,BJP,0,Graduate,70,5100000,Chittoor,0
Naramalli Siva Prasad,TDP,0,Graduate Professional,68,69628816,Chittoor,0
P. Ramachandran,IND,0,Graduate Professional,42,3580500,Chittoor,2313000
Pallipattu. Abhinav Vishnu,Mundadugu Praja Party,0,Graduate Professional,27,92600,Chittoor,0
Sridhar Kotagiri	,YSRCP,0,Graduate,46,462808829,Eluru,33560974
Alaga Ravi Kumar,IND,0,10th Pass,49,Nil,Eluru,0
Chinnam Rama Kotayya,BJP,0,10th Pass,58,100961778,Eluru,7713964
Gurunadha Rao Jetti,INC,0,Graduate,55,69600598,Eluru,2402881
Josyula China Venkata Suryanarayana,Pyramid Party of India,0,Graduate,62,12035000,Eluru,2500000
Maganti Venkateswara Rao,TDP, 1 ,10th Pass,59,199762023,Eluru,33303902
Mathe Bobby,RPI(A),0,12th Pass,29,10000,Eluru,0
Mendem Santhosh Kumar,IND,0,Others,46,10000,Eluru,0
V Siva Rama Krishna,Jana Jagruti Party,0,10th Pass,55,2700000,Eluru,0
Jayadev Galla,TDP,0,Graduate,53,3051485242,Guntur,203452417
Araveti Hazarath Rao,Pyramid Party of India,0,Graduate Professional,68,14924686,Guntur,180700
Bonaboyina Srinivasa Rao,Janasena Party, 1 ,10th Pass,50,32876690,Guntur,12482935
Dasari Kiran Babu,IND,0,8th Pass,37,5980980,Guntur,2645782
Doppalapudi Veera Das,IND,0,Graduate,60,5990000,Guntur,880000
Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi, 2 ,Post Graduate,51,3073000,Guntur,0
Jayaprakash Narayana Valluru,BJP,0,Graduate Professional,44,39526187,Guntur,0
Jeldi Raja Mohan,All India Praja Party,0,12th Pass,61,4209000,Guntur,30000
Mannava Hariprasad,CPI(ML) Red Star,0,Graduate Professional,55,14668071,Guntur,107102
Modugula Venugopala Reddy,YSRCP, 3 ,Graduate Professional,52,137466129,Guntur,1675274
Ramarao Simhadri,Praja Shanthi Party,0,5th Pass,41,219000,Guntur,0
Samudrala Chinna Kotaiah,National Dalitha Dhal Party,0,10th Pass,41,2024577,Guntur,1500000
Sarabandi Raju Sikhinam,Indian Labour Party (Ambedkar Phule),0,Post Graduate,35,30000,Guntur,0
Shaik Jaleel,Navarang Congress Party,0,5th Pass,43,72625000,Guntur,0
Shaik Mastanvali,INC, 1 ,Post Graduate,53,62806111,Guntur,0
Ullagi David Jayakumar,Hardam Manavtawadi Rashtriya Dal,0,Doctorate,61,131900,Guntur,0
Umar Basha Shaik,IND,0,Graduate Professional,29,15008000,Guntur,2000000
Yanamadala Venkata Suresh,IND,0,Graduate,50,1302000,Guntur,0
Kuruva Gorantla Madhav,YSRCP, 2 ,Graduate,50,1787356,Hindupur,730332
Gogula Pulakunta Jayanth,IND,0,Graduate,61,3196142,Hindupur,16710
K.T.Sreedhar,INC, 1 ,Post Graduate,41,43462500,Hindupur,8128000
Mitta Parthasarathi,BJP, 2 ,Graduate,60,357849990,Hindupur,106820000
Mugi Surya Prakash,IND,0,Graduate,63,43266800,Hindupur,0
N.Kristappa,TDP, 4 ,Graduate,63,51375301,Hindupur,1011804
Ramamohan D.G.,IND,0,12th Pass,51,447500,Hindupur,0
S.R.Anjaneyulu,IND,0,Post Graduate,35,43000,Hindupur,0
S.Ram Mohan,Pyramid Party of India,0,10th Pass,33,89797,Hindupur,0
Yeduguri Sandinti Avinash Reddy,YSRCP, 4 ,Post Graduate,34,186969794,Kadapa,22833319
Ameen Peeran Shaik,Ambedkar National Congress,0,Post Graduate,48,83993,Kadapa,9000
Chadipirala Adi Narayana Reddy,TDP,0,Post Graduate,61,30742398,Kadapa,961319
Chadipiralla Siva Narayana Reddy,Navarang Congress Party,0,Others,53,11320100,Kadapa,591000
Gona Purushottam Reddy,IND, 4 ,Graduate,40,22473647,Kadapa,9206703
Gujjula Eswaraiah,CPI, 1 ,Post Graduate,50,327881,Kadapa,100000
Gundlakunta Sreeramulu,INC,0,12th Pass,42,16452000,Kadapa,1130000
Jakku Chenna Krishna Reddy,IND, 1 ,10th Pass,44,24746957,Kadapa,12380000
Lakshmi Reddy Putha,Rajyadhikara Party, 3 ,Graduate Professional,32,7300000,Kadapa,0
Nyamatulla Shaik,IND,0,Graduate,31,4909000,Kadapa,1000000
Pedakala Varalakshmi,Pyramid Party of India,0,Graduate Professional,43,11034583,Kadapa,2402564
Siva Chandra Reddy Komma,Anna YSR Congress Party,0,Post Graduate,0,5160000,Kadapa,1100000
Sri Rama Chandra Singareddy,BJP,0,Graduate,50,84971019,Kadapa,15886451
Venu Gopal Rachineni,IND,0,10th Pass,39,3100000,Kadapa,200000
Vanga Geetha Viswanatham,YSRCP,0,Post Graduate,55,202528594,Kakinada,34416887
Ankadi Sathibabu,IND,0,Illiterate,45,50000,Kakinada,0
Appalakonda Vangalapudi,Mundadugu Praja Party,0,Post Graduate,28,514707,Kakinada,508707
Buddala Geetha Devi,Praja Shanthi Party,0,5th Pass,34,32000,Kakinada,0
Donam Neelakantam,All India Praja Party,0,Post Graduate,49,1477500,Kakinada,640000
Godugu Satyanarayana,CPI(ML)(L),0,Graduate,40,28000,Kakinada,0
Jyothula Venkateswara Rao,Janasena Party,0,12th Pass,62,173451539,Kakinada,1150000
Kakileti Ravindra,IND,0,10th Pass,41,1820000,Kakinada,750000
Mallipudi Sri Ramachandra Murthy,INC,0,5th Pass,66,3995000,Kakinada,595000
Medisetti Vijaya Kumar,IND, 8 ,12th Pass,53,46243484,Kakinada,11358500
Peddimsetti Venkateswara Rao,Jana Jagruti Party, 2 ,12th Pass,46,23742000,Kakinada,0
Sathi Veera Lakshmi,Pyramid Party of India,0,Illiterate,38,30000,Kakinada,0
Sunil Kumar Chalamalasetty,TDP,0,Post Graduate,49,253266524,Kakinada,18310000
Vasamsetty Venakta Ramana,AIFB,0,10th Pass,0,4850000,Kakinada,2170000
Yalla Venkata Rama Mohana Rao,BJP, 1 ,Graduate,46,107992410,Kakinada,18424937
Dr Sanjeev Kumar,YSRCP,0,Post Graduate,52,325914387,Kurnool,62070621
Abdul Waris,SDPI, 4 ,8th Pass,58,5110000,Kurnool,0
Ahmed Ali Khan,INC,0,12th Pass,42,158831414,Kurnool,0
B. Shiva Kumar,IND,0,10th Pass,40,5237200,Kurnool,627000
Dandu Seshu Yadav,SP,0,Graduate Professional,39,1950000,Kurnool,0
Devarapogu Maddilety,IND, 1 ,10th Pass,45,523616,Kurnool,0
G Sanjeeva Kumar,Samajwadi Forward Bloc,0,10th Pass,38,160000,Kurnool,0
Hatcholi Thomas	,IND,0,10th Pass,47,2752615,Kurnool,238020
Kasula Rajasekhar,Pyramid Party of India,0,10th Pass,46,4650560,Kurnool,1808144
Kommireddy Prabhakar Reddy,CPI(M), 1 ,Graduate Professional,58,1659077,Kurnool,85000
Kotla Jaya Surya Prakash Reddy	,TDP,0,Graduate,67,174762674,Kurnool,1450000
M. Naganna,SUCI(C), 1 ,Illiterate,66,444500,Kurnool,15000
P.V. Parthasarathi,BJP,0,Post Graduate,48,297510890,Kurnool,62328052
P.V. Srihari,IND,0,Doctorate,51,25865207,Kurnool,5975759
S.Md. Shafath,Rayalaseema Rashtra Samithi,0,Graduate Professional,30,5000000,Kurnool,0
T. Beechupally,IND,0,Graduate,26,192000,Kurnool,0
Balashowry Vallabhaneni,YSRCP, 2 ,Post Graduate,50,990575840,Machilipatnam,746310844
Bandreddi Ramakrishna,Janasena Party,0,Post Graduate,44,100800000,Machilipatnam,37600000
Gandhi Dhanekula	,IND,0,10th Pass,70,1530000,Machilipatnam,700000
Gollu Krishna,INC, 5 ,Others,55,8795000,Machilipatnam,11400000
Gudivaka Ramanjaneyulu	,BJP,0,Graduate,57,32695161,Machilipatnam,10500000
Gudivaka Venkata Naga Basava Rao,IND,0,12th Pass,26,10375500,Machilipatnam,1830000
Konakalla Narayana Rao,TDP,0,12th Pass,68,58649214,Machilipatnam,16809408
Nadakuditi Naga Gayathri,IND,0,Post Graduate,38,8921500,Machilipatnam,4390000
Peram Siva Nageswara Rao,RPI(A),0,8th Pass,51,32000000,Machilipatnam,1000000
Valluru Venkateswara Rao,Pyramid Party of India,0,Graduate,78,21825290,Machilipatnam,1200000
Vijaya Lakshmi Chalapaka,IND,0,Graduate,39,1208274,Machilipatnam,0
Yarlagadda Rama Mohana Rao,Bahujan Maha Party,0,12th Pass,56,10086000,Machilipatnam,0
Pocha Brahmananda Reddy,YSRCP, 1 ,Post Graduate,60,585932911,Nandyal,177035582
Adinarayana Inty,BJP, 1 ,Post Graduate,67,33885898,Nandyal,4479155
B.C. Ramanatha Reddy,IND, 1 ,Graduate,54,26418457,Nandyal,2329020
Bhuma Kishor Reddy,IND,0,10th Pass,35,19574000,Nandyal,2275000
C. Surendra Nath Reddy,IND,0,12th Pass,54,925000,Nandyal,0
D. Mahammad Rafi,B. C. United Front,0,10th Pass,29,50000,Nandyal,190000
D. P. Jamal Basha,Anna YSR Congress Party,0,10th Pass,48,450000,Nandyal,70000
Dr. Lakshmi Kantha Reddy Chitla,IND,0,Doctorate,34,170000,Nandyal,90000
Elluri Bhupal,IND,0,Graduate,39,20000,Nandyal,20000
I.V. Pakkir Reddy,IND, 2 ,Graduate,70,10948558,Nandyal,390264
Jestadi Sudhakar,IND, 1 ,10th Pass,38,462788,Nandyal,0
K.P. Kambagiriswamy,IND, 1 ,10th Pass,40,1400000,Nandyal,600000
Lakshmi Narasaiah Jangiti,INC,0,Post Graduate,33,3305200,Nandyal,877441
Mandra Sivananda Reddy,TDP,0,Graduate Professional,57,348903562,Nandyal,68693655
Poluru Guruvaiah,IND,0,Illiterate,30,50000,Nandyal,0
Pula. Nagamaddilety,Ambedkar National Congress,0,10th Pass,40,50000,Nandyal,0
Ruddireddy Radhakrishna,AIFB,0,Others,38,500000,Nandyal,280000
S. A. Indumathi,IND,0,Graduate Professional,42,1960002,Nandyal,3498000
S.P.Y. Reddy,Janasena Party, 1 ,Graduate,69,333760526,Nandyal,9594811
Vangala Parameswara Reddy.,IND, 3 ,10th Pass,40,2300000,Nandyal,2500000
Lavu Sri Krishna Devarayalu,YSRCP,0,Graduate Professional,36,177710073,Narasaraopet,10142413
Allu Venkata Reddy,Pyramid Party of India,0,Graduate Professional,49,16364000,Narasaraopet,1290000
Durgampudi Rami Reddy,IND,0,Illiterate,66,1945300,Narasaraopet,70000
Gaddala Venu,IND,0,Graduate,28,15000,Narasaraopet,0
Kanakam Srinivasarao,National Nava Kranthi Party,0,10th Pass,40,50000,Narasaraopet,0
Kanna Lakshmi Narayana,BJP,0,Graduate,64,391360844,Narasaraopet,22561506
Kante Sayanna,IND,0,Graduate,40,2251000,Narasaraopet,0
Narasimharao Parimi,IND, 1 ,Illiterate,31,451000,Narasaraopet,0
Pakkala Suribabu,INC, 1 ,Post Graduate,60,74537563,Narasaraopet,19126000
Rayapati Sambasiva Rao,TDP,0,Graduate,75,437940180,Narasaraopet,1233171
Reddyboina Prasanna Kumar,IND,0,5th Pass,50,12500,Narasaraopet,0
Shaik Nayub Kamal,Janasena Party,0,12th Pass,50,55264531,Narasaraopet,5468120
Surabhi Devasahayam,IUML,0,8th Pass,47,423688,Narasaraopet,0
Kanumuru Raghu Rama Krishna Raju,YSRCP, 3 ,Post Graduate,57,3259405378,Narsapuram,1014467354
Dasari Krishna Murthy,India Praja Bandhu Party,0,10th Pass,32,703000,Narsapuram,153000
G S Raju,SP,0,10th Pass,51,1700000,Narsapuram,0
Ganji Purnima,RPI(A),0,Graduate,35,99000,Narsapuram,0
Gottumukkala Shivaji,IND,0,Post Graduate,48,8084000,Narsapuram,0
Gurugubilli Rambabu,Marxist Communist Party of India (United),0,5th Pass,52,30000,Narsapuram,0
K.A.Paul,Praja Shanthi Party, 2 ,12th Pass,55,78000,Narsapuram,207017
Kanumuru Bapiraju,INC, 1 ,10th Pass,71,143319558,Narsapuram,0
Medapati Varahala Reddy,IND,0,10th Pass,44,26680000,Narsapuram,1300000
Nagababu Konidela,Janasena Party,0,Graduate Professional,58,367820773,Narsapuram,21678798
Nallam Surya Chandra Rao,Pyramid Party of India,0,Graduate,59,20935000,Narsapuram,898000
Nalli Rajesh,IND, 6 ,10th Pass,36,3239775,Narsapuram,2362420
Pydikondala Manikyala Rao,BJP, 3 ,12th Pass,58,22392505,Narsapuram,1242976
Venkata Sivarama Raju Vetukuri,TDP, 1 ,Graduate,48,60940339,Narsapuram,0
Yella Venugopal Rao,Nava Samaj Party,0,Post Graduate,63,1000000,Narsapuram,200000
Adala Prabhakara Reddy,YSRCP,0,12th Pass,70,2211663364,Nellore,152281255
Beeda Masthan Rao,TDP,0,Graduate,60,1654392880,Nellore,680973688
Butti Nagaraju,IND,0,Post Graduate,49,9430000,Nellore,4073216
Chandra Rajagopal,CPI(M), 2 ,10th Pass,67,2353200,Nellore,240000
Chevuru Devakumar Reddy,INC, 2 ,12th Pass,61,73819429,Nellore,3948741
Chinni Venkateswarlu,Pyramid Party of India,0,Literate,67,1280000,Nellore,0
Dr. S. Suresh Babu,IND,0,Doctorate,42,9550548,Nellore,0
Kankanala Penchala Naidu,IND,0,8th Pass,33,Nil,Nellore,0
Meda Malla Reddy,IND,0,5th Pass,68,1640000,Nellore,0
Narasapuram Prasad,IND,0,Others,50,8563000,Nellore,0
Sannapureddy Suresh Reddy,BJP, 1 ,Graduate,58,28828964,Nellore,700000
Shaik Mahaboob Basha (Mabu),RPI(A), 1 ,Graduate Professional,35,Nil,Nellore,0
Magunta Sreenivasulu Reddy,YSRCP,0,Graduate,65,266583686,Ongole,91302133
Bellamkonda Saibabu,Janasena Party,0,Graduate Professional,49,13866784,Ongole,2472903
Billa Chennaiah,IND,0,12th Pass,49,2837000,Ongole,1846848
Dr Sirivella Prasad,INC,0,Doctorate,51,2069078,Ongole,0
Kavuri Venu Babu Naidu,IND,0,10th Pass,41,2291000,Ongole,1050000
Konda Praveen Kumar,Navodayam Party,0,10th Pass,45,20000,Ongole,0
Madhu Yattapu,IND,0,Graduate,33,2800000,Ongole,900000
Maram Srinivasa Reddy,Praja Shanthi Party,0,Post Graduate,27,52197,Ongole,0
Mohan Ayyappa,IND,0,Post Graduate,29,136431,Ongole,47495
Sidda Raghava Rao,TDP,0,Graduate,61,916836770,Ongole,129414369
Thoganti Sreenivasulu,BJP,0,Graduate Professional,44,19563101,Ongole,2920000
Venkatesan Baburao,India Praja Bandhu Party,0,Graduate,34,850000,Ongole,0
Venkatesh Vepuri,IND,0,10th Pass,32,41836,Ongole,0
Margani Bharat Ram,YSRCP, 2 ,Graduate,36,458205360,Rajahmundry,17814757
Akula Satyanarayana,Janasena Party,0,Post Graduate,55,673924565,Rajahmundry,461954372
Bandaru Rajeswara Rao,Jana Jagruti Party,0,5th Pass,59,205700,Rajahmundry,0
Geddam David Nelson Babu,Ambedkarite Party of India, 1 ,Post Graduate,60,5020544,Rajahmundry,760000
Kuruvella Bhanu Chandar,IND,0,10th Pass,34,40000,Rajahmundry,0
Meda Srinivasa Rao,Rashtriya Praja Congress (Secular), 2 ,Post Graduate,50,35830000,Rajahmundry,400000
Nalluri Vijaya Srinivasa Rao,INC,0,12th Pass,55,562700,Rajahmundry,261693
Paravasthu Satya Gopinath Das,BJP,0,12th Pass,48,3939990,Rajahmundry,0
Roopa Rammohan Maganti,TDP,0,Graduate,45,431848590,Rajahmundry,324874000
Srinivasa Rao Sangisetti,Pyramid Party of India,0,Illiterate,50,6835000,Rajahmundry,200000
Venu Kollapu,IND, 1 ,Graduate,41,1330000,Rajahmundry,900000
P.V.Midhun Reddy,YSRCP, 3 ,Post Graduate,42,665085701,Rajampet,205473477
Asadi Venkatadri,Rashtriya Krantikari Samajwadi Party,0,12th Pass,61,850000,Rajampet,80000
D.A. Sathya Prabha,TDP,0,12th Pass,68,2204833211,Rajampet,593275186
Karimulla Khan Pattan,Navataram Party,0,Post Graduate,40,1677823,Rajampet,0
Khader Valli Shaik,IUML,0,10th Pass,35,25648000,Rajampet,444000
M.Shajahan Basha,INC, 2 ,10th Pass,48,27400500,Rajampet,5600000
Mukram Syed,Janasena Party,0,10th Pass,42,600000,Rajampet,1200000
Naresh Kumar Poojala,IND,0,Others,25,73786,Rajampet,0
Pasupuleti Venkataramana,IND,0,Post Graduate,42,595000,Rajampet,0
Rammohannaidu Kinjarapu,TDP, 1 ,Post Graduate,32,122791042,Srikakulam,12000000
Betha Vivekananda Maharaj,IND,0,Graduate,33,133000,Srikakulam,0
Dola Jagan Mohana Rao,INC,0,Post Graduate,53,12390000,Srikakulam,3846000
Matta Satish Chakravarthy,Pyramid Party of India,0,Post Graduate,37,1450117,Srikakulam,10060
Metta Ramarao,Janasena Party,0,Post Graduate,53,63385326,Srikakulam,0
Naidugari Rajasekhar,IND,0,Post Graduate,35,41500,Srikakulam,0
Namballa Krishna Mohan,IND, 1 ,Graduate,44,707000,Srikakulam,500000
Perla Samba Murthy,BJP,0,Post Graduate,58,375199993,Srikakulam,120000000
Srinivas Duvvada,YSRCP, 13 ,Post Graduate,52,52821196,Srikakulam,25848939
Balli Durgaprasad Rao,YSRCP,0,Graduate Professional,63,17426921,Tirupati,0
B Ramesh,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,43,2124951,Tirupati,398000
Bommi Srihari Rao,BJP,0,Graduate,44,1702000,Tirupati,0
Chinta Mohan,INC,0,Graduate Professional,64,22808300,Tirupati,2007093
Doctor Daggumati Sreehari Rao,BSP,0,Graduate Professional,52,6045000,Tirupati,5279699
K.S. Munirathnam,IND,0,Others,65,5892600,Tirupati,0
Karra Siva,Pyramid Party of India,0,12th Pass,0,15000,Tirupati,0
Kattamanchi Prabhakar,IND,0,Post Graduate,51,326587,Tirupati,0
M. Solomon,Andhra Rastra Praja Samithi,0,Graduate Professional,65,1000000,Tirupati,0
"Neeruguttu Nagesh, M.A., Philosophy",Janapaalana Party (Democratic),0,Post Graduate,32,1338000,Tirupati,180000
Panabaka Lakshmi,TDP,0,Doctorate,60,94021818,Tirupati,0
Viruvuru Sudhakar,Vishwa Jana Party,0,Graduate Professional,36,1117000,Tirupati,500000
Srinivas Kesineni,TDP,0,10th Pass,53,808152415,Vijayawada,512332955
Andukuri Vijaya Bhaskar,India Praja Bandhu Party,0,Graduate Professional,49,5000,Vijayawada,0
Anil Kumar Maddineni,IND, 1 ,Post Graduate,39,865565,Vijayawada,0
Bolisetty Hari Babu,IND, 1 ,Illiterate,60,45608000,Vijayawada,10944696
Dileep Kilaru,BJP,0,Graduate Professional,48,1369017847,Vijayawada,4262122
Gandhi Dhanekula,IND,0,10th Pass,71,10590000,Vijayawada,800000
Lurthu Meri Daila,Mundadugu Praja Party,0,12th Pass,43,50000,Vijayawada,0
Madabathula Chandra Sekhar,Pyramid Party of India,0,10th Pass,31,160000,Vijayawada,0
Mohammad Ishaq,IND,0,12th Pass,47,5276961,Vijayawada,512010
Muttamasetty Lakshmana Siva Prasad Babu,Janasena Party,0,Post Graduate,66,33169811,Vijayawada,137447
Nandini Nallaghatla,IND,0,Post Graduate,43,509343,Vijayawada,409343
Naraharisetty Narasimha Rao,INC, 1 ,Graduate Professional,58,19342702,Vijayawada,6788257
Prasad Veera Potluri,YSRCP, 1 ,Post Graduate,48,3477616326,Vijayawada,209577562
Riyaz Dada Miya Shaik,IUML,0,10th Pass,32,45000,Vijayawada,0
Siva Prasad Padala	,Navarang Congress Party,0,10th Pass,62,1650000,Vijayawada,0
M V V Satyanarayana,YSRCP, 1 ,10th Pass,52,2023905124,Visakhapatnam,160030959
Anmish Varma,IND,0,Post Graduate,26,75000,Visakhapatnam,0
B. Jaya Venu Gopal,Pyramid Party of India,0,12th Pass,30,95000,Visakhapatnam,0
Bharat Mathukumilli,TDP,0,Post Graduate,29,2325373550,Visakhapatnam,9591144
Daggubati Purandeswari,BJP,0,Graduate,58,324038450,Visakhapatnam,34949036
Durgaprasad. Guntu,IND,0,Post Graduate,51,3803500,Visakhapatnam,497400
Gampala Somasundaram,IND,0,Graduate,76,3340000,Visakhapatnam,0
Gannu Mallayya,IND,0,Graduate,70,2113580,Visakhapatnam,0
George Bangari,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,46,1200000,Visakhapatnam,500000
Kothapalli Geetha,IND, 1 ,Post Graduate,48,86754722,Visakhapatnam,2394398
Pedada Ramanikumari,INC,0,Post Graduate,48,117936000,Visakhapatnam,0
Pulapaka Raja Sekhar,IND,0,Graduate,41,67295,Visakhapatnam,50000
R. Udaya Gowri,IND,0,Illiterate,44,6110000,Visakhapatnam,5543000
V.V. Lakshmi Narayana,Janasena Party,0,Post Graduate,53,86465496,Visakhapatnam,0
Bellana Chandra Sekhar,YSRCP, 4 ,Graduate Professional,57,21035766,Vizianagaram,11130148
Adiraju Yedla,INC,0,Post Graduate,52,47214000,Vizianagaram,3088876
Anandsagar Pogru,Samaanya Praja Party,0,8th Pass,55,4697147,Vizianagaram,1702000
Ashok Gajapathi Raju Pusapati,TDP,0,12th Pass,67,183534582,Vizianagaram,0
Dhanalakoti Ramana,IND,0,Post Graduate,29,860000,Vizianagaram,0
Govinda Rao Lagudu,Jana Jagruti Party,0,Doctorate,40,280456,Vizianagaram,0
Kovvuri Surya Bhavani,Pyramid Party of India,0,8th Pass,38,1710000,Vizianagaram,0
