Institute ID,Name,City,State,PR Score,PR Rank,Score,Year,Rank
IR-O-U-0487,Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,2.02,135,40.88,2019,70
IR-O-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,0.00,222,40.87,2019,72
IR-O-U-0232,Kuvempu University,Shimoga,Karnataka,0.82,186,40.60,2019,73
IR-O-U-0195,University of Jammu,Jammu Tawi,Jammu and Kashmir,2.02,135,40.43,2019,74
IR-O-U-0453,The Gandhigram Rural Institute,Gandhigram,Tamil Nadu,6.15,70,40.42,2019,75
IR-O-U-0345,Mizoram University,Aizawl,Mizoram,2.02,135,40.27,2019,76
IR-O-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,11.83,43,40.24,2019,77
IR-O-U-0036,Sri Venkateswara Institute of Medical Sciences,Tirupati,Andhra Pradesh,0.41,200,40.24,2019,77
IR-O-U-0784,Professor Jayashankar Telangana State Agricultural University,Hyderabad,Telangana,1.63,148,40.17,2019,79
IR-O-U-0181,Dr. Y. S. Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,2.41,123,40.07,2019,80
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,7.91,57,40.03,2019,81
IR-O-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,15.99,30,39.97,2019,82
IR-O-U-0246,University of Agricultural Sciences,Dharwad,Karnataka,1.63,148,39.59,2019,83
IR-O-U-0011,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,2.02,135,39.42,2019,84
IR-O-U-0298,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,4.33,87,39.33,2019,85
IR-O-U-0051,Dibrugarh University,Dibrugarh,Assam,5.07,80,39.30,2019,86
IR-O-U-0233,Mangalore University,Mangalagangotri,Karnataka,1.63,148,39.26,2019,87
IR-O-U-0321,Padmashree Dr. D. Y. Patil Vidyapeeth,Mumbai,Maharashtra,0.41,200,39.18,2019,88
IR-O-U-0569,The University of Burdwan,Barddhaman,West Bengal,2.41,123,38.98,2019,89
IR-O-I-1280,Maharshi Dayanand University,Rohtak,Haryana,2.41,123,38.94,2019,90
IR-O-U-0576,Kalyani University,Kalyani,West Bengal,4.70,83,38.85,2019,91
IR-O-U-0460,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,12.76,41,38.79,2019,92
IR-O-U-0464,Manonmaniam Sundaranar University,Tirunelveli,Tamil Nadu,8.25,55,38.76,2019,93
IR-O-U-0121,Goa University,Goa,Goa,1.63,148,38.76,2019,93
IR-O-U-0250,Yenepoya,Mangalore,Karnataka,1.22,164,38.68,2019,95
IR-O-U-0372,Central University of Punjab,Bathinda,Punjab,7.91,57,38.68,2019,95
IR-O-U-0050,Assam University,Silchar,Assam,4.70,83,38.67,2019,97
IR-O-U-0164,Kurukshetra University,Kurukshetra,Haryana,8.25,55,38.60,2019,98
IR-O-U-0047,Rajiv Gandhi University,Itanagar,Arunachal Pradesh,0.41,200,38.48,2019,99
IR-O-U-0465,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,0.00,222,38.45,2019,100
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,100.00,1,84.18,2020,1
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.24,3,70.16,2020,2
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,53.99,6,63.15,2020,3
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,44.33,13,62.27,2020,4
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,71.44,2,61.99,2020,5
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,58.32,5,61.70,2020,6
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,47.99,9,61.53,2020,7
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,43.95,15,61.51,2020,8
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,44.99,11,61.13,2020,9
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,31.60,41,61.07,2020,10
IR-O-U-0120,University of Delhi,Delhi,Delhi,53.44,7,60.10,2020,11
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,65.89,4,58.71,2020,12
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,37.18,26,58.30,2020,13
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,33.54,34,56.04,2020,14
IR-O-U-0391,Birla Institute of Technology & Science,Pilani,Rajasthan,41.37,17,55.79,2020,15
