Institute ID,Name,City,State,PR Score,PR Rank,Score,Year,Rank
IR17-I-2-18356,Mahatma Gandhi Unversity,Kottayam,Kerala,2.43,103,36.79,2017,67
IR17-I-2-18446,Rajasthan University of Veterinary & Animal Sciences,Bikaner,Rajasthan,0.60,155,36.78,2017,68
IR17-I-2-1-663,Sri Sathya Sai Institute of Higher Learning,Anantapur,Andhra Pradesh,0.94,130,36.75,2017,69
IR17-I-2-1-445,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,0.09,185,36.47,2017,70
IR17-I-2-18312,Karunya Institute of Technology and Sciences-Coimbatore,Coimbatore,Tamil Nadu,7.82,50,36.44,2017,71
IR17-I-2-1-2812766280,Dayalbagh Educational Institute,Agra,Uttar Pradesh,15.65,22,36.36,2017,72
IR17-I-2-1-351,University of Kashmir,Srinagar,Jammu And Kashmir,0.10,184,36.32,2017,73
IR17-I-2-1-159,Dibrugarh University,Dibrugarh,Assam,0.68,143,36.28,2017,74
IR17-I-2-18406,Nirma University,Ahmedabad,Gujarat,14.37,27,36.21,2017,75
IR17-I-2-18449,Rajiv Gandhi University,Rono Hills,Arunachal Pradesh,0.57,160,36.15,2017,76
IR17-I-2-18342,Madurai Kamraj University,Madurai,Tamil Nadu,3.33,92,36.04,2017,77
IR17-I-2-1-670,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,0.05,202,35.92,2017,78
IR17-I-2-1-570,Rajasthan University,Jaipur,Rajasthan,0.64,150,35.85,2017,79
IR17-I-2-18110,Guru Nanak Dev University,Amritsar,Punjab,4.65,71,35.83,2017,80
IR17-I-2-1-321,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,3.91,81,35.69,2017,81
IR17-I-2-12969,Guru Gobind Singh Indraprastha University,Dwarka,Delhi,3.37,90,35.60,2017,82
IR17-I-2-1-653,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,4.34,74,35.50,2017,83
IR17-I-2-18407,NITTE University,Mangalore,Karnataka,3.95,79,35.50,2017,83
IR17-I-2-18422,Periyar University,Salem,Tamil Nadu,5.85,61,35.44,2017,85
IR17-I-2-18161,Cochin University of Science and Technology,Cochin,Kerala,1.89,109,35.42,2017,86
IR17-I-2-15640,Vidyasagar University,Midnapore,West Bengal,0.03,214,35.23,2017,87
IR17-I-2-30492,Bharathidasan University,Tiruchirappalli,Tamil Nadu,8.03,48,35.14,2017,88
IR17-I-2-1-2812182676,Gandhi Institute of Technology and Management (GITAM),Visakhapatnam,Andhra Pradesh,15.35,24,35.09,2017,89
IR17-I-2-18311,Karpagam Academy of Higher Education,Coimbatore,Tamil Nadu,3.39,89,34.86,2017,90
IR17-I-2-12265,The Gandhigram Rural Institute - Deemed University,Gandhigram,Tamil Nadu,6.91,56,34.56,2017,91
IR17-I-2-277952,Assam University-Silchar,Silchar,Assam,5.65,64,34.38,2017,92
IR17-I-2-18296,Jaypee University of Information Technology-Solan,Solan,Himachal Pradesh,2.61,101,34.14,2017,93
IR17-I-2-1-541,PES University,Bengaluru,Karnataka,13.75,29,33.94,2017,94
IR17-I-2-18551,University of Allahabad,Allahabad,Uttar Pradesh,2.84,98,33.86,2017,95
IR17-I-2-1-N001,Sri Krishnadevaraya University,Anantapur,Andhra Pradesh,0.04,205,33.76,2017,96
IR17-I-2-18168,Alagappa University,Karaikudi,Tamil Nadu,4.17,77,33.66,2017,97
IR17-I-2-18385,Narsee Monjee Institute of Management Studies -Mumbai,Mumbai,Maharashtra,6.10,59,33.60,2017,98
IR17-I-1-18289,Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh,4.32,76,33.44,2017,99
IR17-I-2-1-57,B.S. Abdur Rahman Institute of Science and Technology,Chennai,Tamil Nadu,6.07,60,32.99,2017,100
IR-1-O-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,100.00,1,82.16,2018,1
IR-1-O-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,46.28,3,67.57,2018,2
IR-3-O-OMD-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,43.62,4,63.52,2018,3
IR-4-O-OEMA-U-0439,Anna University,Chennai,Tamil Nadu,63.22,2,62.82,2018,4
IR-1-O-O-U-0042,University of Hyderabad,Hyderabad,Telangana,21.66,19,60.54,2018,5
IR-2-O-OE-U-0575,Jadavpur University,Kolkata,West Bengal,35.50,6,59.68,2018,6
IR-1-O-O-U-0120,University of Delhi,Delhi,Delhi,33.15,8,58.69,2018,7
IR-1-O-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,31.44,9,58.46,2018,8
IR-1-O-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,15.04,26,58.24,2018,9
IR-7-O-OEMALDC-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,26.30,11,57.78,2018,10
IR-1-O-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,26.30,11,57.37,2018,11
IR-5-O-OEMAL-U-0108,Jamia Millia Islamia,New Delhi,Delhi,11.76,33,56.18,2018,12
IR-1-O-C-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,22.63,17,55.08,2018,13
IR-1-O-O-U-0570,Calcutta University,Kolkata,West Bengal,26.30,11,53.38,2018,14
IR-1-O-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,3.93,75,52.73,2018,15
IR-3-O-OEM-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,36.71,5,52.68,2018,16
IR-3-O-OEP-U-0391,Birla Institute of Technology & Science,Pilani,Rajasthan,35.32,7,52.15,2018,17
IR-1-O-O-I-1357,University of Madras,Chennai,Tamil Nadu,26.52,10,51.52,2018,18
IR-3-O-OEP-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,15.90,25,51.39,2018,19
IR-6-O-OEMLDP-U-0078,Panjab University,Chandigarh,Chandigarh,23.58,16,50.94,2018,20
IR-1-O-O-U-0446,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,2.40,100,50.74,2018,21
IR-6-O-OEMALP-U-0006,Andhra University,Visakhapatnam,Andhra Pradesh,9.53,43,50.39,2018,22
IR-5-O-OEMDP-U-0107,Jamia Hamdard,New Delhi,Delhi,2.01,115,50.31,2018,23
IR-2-O-OD-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,7.17,51,49.59,2018,24
IR-1-O-O-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,12.07,32,49.22,2018,25
IR-1-O-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,9.85,42,48.98,2018,26
IR-1-O-C-U-0435,Alagappa University,Karaikudi,Tamil Nadu,24.50,15,48.25,2018,27
IR-1-O-O-U-0027,Osmania University,Hyderabad,Telangana,5.76,59,48.02,2018,28
IR-1-O-O-U-0056,Tezpur University,Tezpur,Assam,10.82,37,48.00,2018,29
IR-1-O-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,7.17,51,47.72,2018,30
IR-1-O-O-U-0589,Visva Bharati,Kolkata,West Bengal,5.03,67,47.62,2018,31
IR-1-O-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,10.18,40,47.46,2018,32
IR-2-O-EM-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,3.55,82,47.11,2018,33
IR-1-O-O-U-0554,G. B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,5.03,67,46.56,2018,34
IR-1-O-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,6.82,55,46.56,2018,34
IR-4-O-OEML-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,11.45,36,46.33,2018,36
IR-2-O-OP-U-0222,JSS Academy of Higher Education and Research,Mysore,Karnataka,6.47,56,45.76,2018,37
IR-1-O-O-U-0381,Punjab Agricultural University,Ludhiana,Punjab,5.40,64,45.56,2018,38
IR-1-O-O-U-0052,Gauhati University,Guwahati,Assam,6.11,57,45.44,2018,39
IR-3-O-ODP-I-1486,Sri Ramachandra Medical College and Research Institute,Chennai,Tamil Nadu,5.76,59,45.29,2018,40
IR-5-O-OEMDP-U-0473,SRM Institute of Science and Technology,Chennai,Tamil Nadu,8.53,46,45.17,2018,41
IR-5-O-OEMLD-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,3.55,82,44.81,2018,42
IR-5-O-OEMAP-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,10.50,38,44.71,2018,43
IR-1-O-O-U-0329,Symbiosis International,Pune,Maharashtra,6.11,57,44.62,2018,44
IR-4-O-OEMA-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,4.30,71,44.34,2018,45
IR-2-O-OD-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,3.17,88,44.00,2018,46
IR-1-O-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,0.00,203,43.96,2018,47
IR-1-O-O-U-0642,Shiv Nadar University,Chithera,Uttar Pradesh,0.00,203,43.68,2018,48
IR-2-O-OE-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,2.01,115,43.44,2018,49
IR-1-O-O-U-0159,Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,2.01,115,43.21,2018,50
IR-3-O-OML-U-0195,University of Jammu,Jammu Tawi,Jammu and Kashmir,1.22,134,43.19,2018,51
IR-2-O-OD-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,1.22,134,43.15,2018,52
IR-6-O-OEMALP-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,5.40,64,42.99,2018,53
IR-1-O-O-U-0463,Madurai Kamraj University,Madurai,Tamil Nadu,16.18,24,42.98,2018,54
IR-6-O-OEMAPC-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,0.81,146,42.80,2018,55
IR-2-O-EM-U-0020,Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,0.00,203,42.78,2018,56
IR-1-O-O-U-0225,KLE Academy of Higher Education and Research,Belagavi,Karnataka,2.79,96,42.76,2018,57
IR-1-O-O-U-0246,University of Agricultural Sciences,Dharwad,Karnataka,1.22,134,42.55,2018,58
IR-3-O-OEM-U-0369,Pondicherry University,Puducherry,Pondicherry,14.76,28,42.36,2018,59
IR-1-O-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,7.17,51,42.36,2018,59
IR-1-O-O-U-0341,North Eastern Hill University,Shillong,Meghalaya,5.03,67,42.34,2018,61
IR-1-O-D-U-0036,Sri Venkateswara Institute of Medical Sciences,Tirupati,Andhra Pradesh,0.41,167,42.33,2018,62
IR-2-O-OE-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,12.38,30,41.95,2018,63
IR-4-O-OEMP-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,4.30,71,41.88,2018,64
IR-1-O-O-U-0487,Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,3.93,75,41.73,2018,65
IR-1-O-O-I-1361,Bharati Vidyapeeth,Pune,Maharashtra,14.76,28,41.71,2018,66
IR-1-O-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,26.30,11,41.63,2018,67
IR-1-O-O-U-0121,Goa University,Goa,Goa,2.01,115,40.66,2018,68
IR-1-O-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,18.88,20,40.53,2018,69
IR-2-O-OE-U-0098,Delhi Technological University,New Delhi,Delhi,15.04,26,40.52,2018,70
IR-1-O-O-U-0181,Dr. Y. S. Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,2.01,115,40.30,2018,71
IR-1-O-D-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,0.00,203,40.25,2018,72
IR-1-O-O-U-0251,Calicut University,Malappuram,Kerala,5.76,59,40.06,2018,73
IR-5-O-OEMAL-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,2.40,100,40.05,2018,74
IR-1-O-O-U-0568,Bidhan Chandra Krishi Vishwavidyalaya,Nadia,West Bengal,0.81,146,39.98,2018,75
IR-1-O-O-I-1280,Maharshi Dayanand University,Rohtak,Haryana,1.22,134,39.87,2018,76
IR-1-O-O-U-0239,NITTE,Mangalore,Karnataka,8.53,46,39.70,2018,77
IR-1-O-O-U-0232,Kuvempu University,Shimoga,Karnataka,0.81,146,39.68,2018,78
IR-1-O-O-U-0453,The Gandhigram Rural Institute,Gandhigram,Tamil Nadu,10.50,38,39.50,2018,79
IR-5-O-OEMLP-U-0164,Kurukshetra University,Kurukshetra,Haryana,3.93,75,39.45,2018,80
IR-1-O-O-U-0345,Mizoram University,Aizwal,Mizoram,0.81,146,39.36,2018,81
IR-1-O-O-U-0784,Professor Jayashankar Telangana State Agricultural University,Hyderabad,Telangana,0.00,203,39.30,2018,82
IR-1-O-O-U-0123,Anand Agricultural University,Anand,Gujarat,5.40,64,39.21,2018,83
IR-1-O-O-U-0051,Dibrugarh University,Dibrugarh,Assam,2.79,96,39.13,2018,84
IR-1-O-O-U-0011,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,2.01,115,39.02,2018,85
IR-1-O-O-U-0576,Kalyani University,Kalyani,West Bengal,3.17,88,38.87,2018,86
IR-1-O-O-U-0050,Assam University,Silchar,Assam,2.40,100,38.79,2018,87
IR-2-O-OD-U-0465,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,0.81,146,38.70,2018,88
IR-3-O-OEM-U-0460,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,10.18,40,38.61,2018,89
IR-1-O-O-U-0470,Periyar University,Salem,Tamil Nadu,4.30,71,38.58,2018,90
IR-1-O-O-U-0360,Orissa University of Agriculture & Technology,Khordha,Odisha,0.81,146,38.55,2018,91
IR-2-O-OD-U-0250,Yenepoya,Mangalore,Karnataka,0.41,167,38.53,2018,92
IR-1-O-O-U-0035,Sri Sathya Sai Institute of Higher Learning,Anantapur,Andhra Pradesh,1.62,128,38.53,2018,92
IR-1-O-O-U-0146,Nirma University,Ahmedabad,Gujarat,7.51,49,38.15,2018,94
IR-1-O-O-U-0347,Nagaland University,Zunheboto,Nagaland,0.41,167,38.14,2018,95
IR-1-O-O-U-0569,The University of Burdwan,Barddhaman,West Bengal,2.40,100,37.68,2018,96
IR-1-O-D-U-0294,D. Y. Patil Educational Society,Kolhapur,Maharashtra,0.00,203,37.61,2018,97
IR-1-O-E-U-0014,International Institute of Information Technology,Hyderabad,Telangana,8.87,45,37.52,2018,98
IR-3-O-OEM-U-0733,PES University,Bengaluru,Karnataka,3.17,88,37.51,2018,99
IR-2-O-OE-U-0522,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,18.35,22,37.47,2018,100
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,100.00,1,82.28,2019,1
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,55.27,3,68.68,2019,2
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,47.28,5,64.55,2019,3
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,36.71,8,61.85,2019,4
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,37.39,7,60.87,2019,5
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,51.83,4,60.53,2019,6
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,62.72,2,60.35,2019,7
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,31.01,12,59.22,2019,8
